mangaid,plateifu,required_product,present_in_repository
1-274440,8455-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-282035,8262-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-235983,8980-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-44722,8714-9102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-278079,8993-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-94773,9026-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-322291,9870-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-266244,8333-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-174947,8989-9101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-44047,8143-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-210728,8604-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-188530,8995-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-236144,8980-12703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-318513,9048-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-418023,8446-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-248410,8979-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-457547,8982-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-635590,8615-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-234115,8465-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-298940,9508-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-149172,8997-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-167555,8453-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-42660,9195-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-45016,8718-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-339061,8138-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-297822,9492-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-113520,7815-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
12-84617,7443-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-115097,7977-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-275185,8455-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-188177,8991-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-386322,9506-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-593328,9868-12704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-38347,8083-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-94690,9026-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-113698,8618-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-37494,8154-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-323766,9027-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-314719,9045-12701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-556514,8146-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-166613,8461-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-248869,8604-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-246175,8547-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-167044,8459-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-135244,9029-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-121871,9485-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-137890,8249-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-633000,9872-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-37155,8154-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-136248,8606-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-47248,8243-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
