cluster,radius_kpc,log_gbar,log_gtot,err_log_gbar,err_log_gtot,gbar,gtot,dataset,group_id,normalized_cluster,overlaps_fox_calibration,B_model,log_gtot_pred,residual_dex,sigma_residual_dex,ratio_predicted_observed,B_obs
A209,14.3,-10.015,-9.579,0.043,0.089,9.660508789898121e-11,2.636331385825376e-10,Tian2020_CLASH,A209,a209,False,8.446265977972306,-9.299315016721268,0.2796849832787327,0.08937877109149127,1.9040790878291478,3.4801588746795376
A383,14.3,-9.91,-9.288,0.039,0.128,1.2302687708123812e-10,5.152286445817561e-10,Tian2020_CLASH,A383,a383,False,8.446265977972306,-9.279591453364775,0.008408546635225278,0.1282074490515356,1.019550041452248,8.2347759362933
A611,22.2,-10.136,-9.381,0.036,0.124,7.311390834834187e-11,4.159106104940219e-10,Tian2020_CLASH,A611,a611,False,8.446265977972306,-9.323523045447091,0.05747695455290902,0.12423292886489463,1.1415027301933227,7.208659202236487
A2261,23.6,-9.793,-9.364,0.04,0.097,1.610645635178273e-10,4.325138310350079e-10,Tian2020_CLASH,A2261,a2261,False,8.446265977972306,-9.2570905630255,0.10690943697450095,0.09733397175618158,1.2791145437754212,5.846270061366332
MACS0329,22.2,-9.871,-9.145,0.032,0.112,1.345860354055947e-10,7.161434102129027e-10,Tian2020_CLASH,MACS0329,macs0329,False,8.446265977972306,-9.272262306427082,-0.1272623064270828,0.11216370889823579,0.7459980522706465,12.290554260700723
MACS0416,14.3,-10.67,-9.541,0.043,0.096,2.1379620895022323e-11,2.877398414735667e-10,Tian2020_CLASH,MACS0416,macs0416,True,8.446265977972306,-9.475852532003023,0.06514746799697768,0.09725013236214995,1.1618430595223053,7.18933006085506
MACS0429,17.2,-9.743,-9.328,0.036,0.148,1.8071741260109256e-10,4.69894108605216e-10,Tian2020_CLASH,MACS0429,macs0429,False,8.446265977972306,-9.246707216359388,0.08129278364061143,0.14820162764672157,1.2058486003935316,6.329203457122741
MACS0647,14.3,-10.007,-9.279,0.043,0.156,9.840111057611345e-11,5.260172663907063e-10,Tian2020_CLASH,MACS0647,macs0647,False,8.446265977972306,-9.297789046514374,-0.01878904651437452,0.1562145737779147,0.9576591301042308,8.910354304763555
MACS0717,14.3,-10.184,-9.557,0.043,0.078,6.54636174067276e-11,2.773320104651838e-10,Tian2020_CLASH,MACS0717,macs0717,True,8.446265977972306,-9.333924428641462,0.22307557135853884,0.078584126657942,1.6713814252267956,4.495500746395018
MACS0744,14.3,-9.668,-9.283,0.043,0.139,2.1478304741305376e-10,5.211947111050811e-10,Tian2020_CLASH,MACS0744,macs0744,False,8.446265977972306,-9.229609649084491,0.05339035091550848,0.13939202866136194,1.1308118500437563,6.908976917539537
