draw,B_constant,B200_radial,radial_exponent
0,5.459651703141647,5.605922126037782,-0.15596295953058306
1,5.2017559853664395,5.343549394049772,-0.1524214082226993
2,4.873913428767613,5.070703215859907,-0.20654172814561372
3,4.979996937150069,5.1938841267356155,-0.15665584785680267
4,5.1127765982767315,5.328087188638648,-0.2112532823656429
5,5.326116383531673,5.400359656407167,-0.14673547681200005
6,5.088853125509313,5.275757659711678,-0.19601257566062386
7,5.064858984554688,5.239880071317537,-0.14025749037113927
8,5.270396069146943,5.4336167954812735,-0.15083547495760824
9,5.167438202787907,5.307866252106797,-0.15543017636079604
10,4.823508198331497,4.921465122092674,-0.16141585352074622
11,5.023898179016039,5.310290016458933,-0.18186078895870522
12,5.195544059705046,5.35458873093484,-0.1631509154285857
13,5.12397521604953,5.235944561071129,-0.1382035093391979
14,5.369924682451045,5.4099720425187625,-0.12274254916868095
15,5.360697951769438,5.5119764899665125,-0.1601439190844023
16,5.048871780204768,5.22373403367717,-0.15164809550456354
17,5.0346281306456495,5.267604918080928,-0.21123476481785225
18,5.426518954689467,5.5963101333402685,-0.1451152275427134
19,5.18779383992413,5.374259824302204,-0.1465158788193779
20,5.00134412187787,5.191513247977488,-0.13471421691500812
21,4.939126620433953,5.10050760769669,-0.1503760810937152
22,5.400496992955752,5.576482638108712,-0.1506566581732861
23,4.692713331510855,4.838671917529242,-0.15725201548407197
24,5.110587300526408,5.391291041065636,-0.18589541773122426
25,5.187706444909614,5.415472210923216,-0.20059537600842214
26,5.371019394017944,5.658606315624865,-0.15963671335885432
27,5.136708673403331,5.182799479302937,-0.1797457884251175
28,4.977124176405429,5.08093905131828,-0.1388654912004827
29,5.377006801826498,5.473923826693815,-0.14257534370550906
30,5.249171564579564,5.46486458265891,-0.1527426667957407
31,4.922497398751761,5.171895054677494,-0.17309269253564102
32,5.037644540604547,5.280051334471737,-0.19960839846406875
33,5.409708617326502,5.595018398391891,-0.15019766184314998
34,5.148603850812055,5.2739122316006135,-0.20415533337819808
35,5.28972616082753,5.520798065314532,-0.19545521575331848
36,5.538318824272491,5.673283382414324,-0.14620967898870135
37,5.086615648487142,5.2823065589081,-0.18779369149427427
38,5.202004732917753,5.3654158248577035,-0.14264643129534557
39,4.927783336805962,5.193922263468998,-0.16368993133360885
40,5.534383469920229,5.581670385339869,-0.14520857243712068
41,5.520326425752206,5.646127155815782,-0.12609082669482594
42,5.1148881944068965,5.24021735259294,-0.16177129155816772
43,5.29778093138297,5.459807316809629,-0.1308867284240486
44,5.529316532803202,5.840625989195226,-0.19462715315468
45,5.175081096630988,5.336012567168801,-0.16103652562348936
46,4.989805890570478,5.111782895205799,-0.17738451052860194
47,5.619624227772237,5.790982958095267,-0.18384474547497678
48,5.210769835574368,5.3764501397335795,-0.1892720791595386
49,5.432143645316537,5.524729553715166,-0.1722559529982416
50,5.011130908089526,5.226266349421379,-0.16439116494774955
51,5.319689208398067,5.574912838316896,-0.16073759114942884
52,5.360902382244136,5.5135093521127505,-0.14516576332841938
53,4.892546237643332,5.1441365434406885,-0.1696301253417625
54,5.394111345704071,5.551371641978037,-0.1413566387667804
55,4.809192444098257,4.99391046750242,-0.14479587457759371
56,5.133324227287385,5.291655420323577,-0.18761047766751576
57,5.230118923915698,5.39291329510697,-0.14689019001956377
58,5.567371953297488,5.702488083051599,-0.15951510394326937
59,5.118057328605946,5.281019902989723,-0.12500551429212467
60,5.196598191022299,5.416370563500333,-0.1657555412062566
61,5.485507043923572,5.653417503104911,-0.16656399635469896
62,5.479772116607627,5.72414903777145,-0.16374048211577097
63,5.143203037679937,5.288414454905483,-0.16646548148705753
64,5.5894000621189015,5.792571401332124,-0.16832437122434446
65,5.442016398321289,5.5902800323700585,-0.1580058216705041
66,5.1376034950284755,5.129089307628628,-0.1450794407150412
67,5.075534348441031,5.208284649103386,-0.15898522596221754
68,4.933244871313211,5.113746169534662,-0.17208681529348002
69,5.393791810926013,5.495127134352047,-0.17234356038526438
70,5.200016842662599,5.394962072090123,-0.14440169912325213
71,5.161846545626095,5.318938267419643,-0.1807937029565596
72,5.364877841017342,5.519645056215263,-0.12457668623836285
73,4.9388319169561345,5.223760041058999,-0.21131373581436166
74,5.183465628704391,5.266621841471069,-0.16215726632688243
75,5.0765671363290785,5.148343010443692,-0.14674460732228967
76,4.713311292081866,5.00338692572482,-0.22820711213533085
77,5.52204848020736,5.724250153711704,-0.18271611537891247
78,4.871592925894031,5.003813375072682,-0.12551455861677427
79,5.3257513749686165,5.459599466308496,-0.17481445326521083
80,5.571739182641848,5.774904483480224,-0.17446396884101575
81,5.070432766076035,5.2005157844787355,-0.1453395565823068
82,5.498968282241464,5.540688273303972,-0.1107294561661811
83,5.569900101552855,5.732854742810027,-0.19486717011735277
84,5.445885451472212,5.583618275974632,-0.14072850390270988
85,4.930766766724264,5.076925081724522,-0.16809251278178747
86,5.372120194123467,5.466612437058492,-0.1508415427107761
87,4.976454136684266,5.016862548644206,-0.1619473166191969
88,4.95349237431972,5.039136654263396,-0.08555108694955363
89,5.422035937759141,5.4967545624568865,-0.147365951829899
90,5.595115770644741,5.808583621737523,-0.18747604675477714
91,5.160015385635397,5.2951209116427504,-0.15656939786596838
92,4.9607578117237905,5.063145687148709,-0.16792705480918557
93,5.374592432336041,5.392500139083674,-0.25576398983919285
94,5.26069965424157,5.452794923211813,-0.19095685914590213
95,4.941074912596872,5.041075918985626,-0.11415274075939848
96,4.865011817270717,4.930329001388278,-0.13162030563871713
97,5.155687455569348,5.360809353049638,-0.15951252839948218
98,5.044993245731661,5.1801283823594115,-0.18457904585685825
