galaxy,radius_over_Rdisk,g_qumond_exact,g_qumond_exact_grid49_interpolated,grid49_to_grid65_relative_difference
UGC05716,0.9846153846153846,7.450706750903952e-11,7.678418813735094e-11,0.030562478224433587
UGC05716,1.2307692307692306,7.618611137587083e-11,7.480254915740233e-11,-0.018160294487830853
UGC05716,1.476923076923077,7.385721535787367e-11,7.403605674292952e-11,0.0024214477108197574
UGC05716,1.723076923076923,7.25807662384636e-11,7.240978300171071e-11,-0.0023557651098794485
UGC05716,1.9692307692307691,6.888158412418554e-11,6.845981372704809e-11,-0.006123122783834978
UGC05716,2.2153846153846155,6.644014985221666e-11,6.639717878967262e-11,-0.0006467634802092004
UGC05716,2.4615384615384612,6.231068287724495e-11,6.260495618615228e-11,0.0047226782843490245
UGC05716,2.7076923076923074,5.949345844139129e-11,5.888900585816011e-11,-0.010159983955658647
UGC05716,2.953846153846154,5.5358976072135966e-11,5.627277776439702e-11,0.016506838765773413
UGC05716,3.1999999999999997,5.253473337101389e-11,5.192267424564041e-11,-0.011650561183035979
UGC05716,3.446153846153846,4.858546673262362e-11,4.8996583708683995e-11,0.008461727419905918
UGC05716,3.6923076923076925,4.592496183237262e-11,4.592839003597894e-11,7.464793588374263e-05
UGC05716,3.9384615384615382,4.2233026905054234e-11,4.206278729144189e-11,-0.0040309593246788955
UGC05716,4.184615384615384,3.980421490675443e-11,3.993271636161138e-11,0.0032283378822564046
UGC05716,4.430769230769231,3.6377499248039534e-11,3.664060663737288e-11,0.007232695890923013
UGC05716,4.676923076923076,3.419201982194387e-11,3.37674270775354e-11,-0.012417890098904816
UGC05716,4.9230769230769225,3.100207555616155e-11,3.214023277603189e-11,0.03671229101446838
