case_mangaid,case_plateifu,control_mangaid,control_plateifu,match_rank,standardized_distance
1-274440,8455-1902,1-247629,8488-1902,1,1.0021465145578963
1-274440,8455-1902,1-218009,8940-3704,2,1.176876164619061
1-274440,8455-1902,1-495023,8310-6103,3,1.248388907949453
1-274440,8455-1902,1-208472,8593-1901,4,1.4267349863368364
1-274440,8455-1902,1-457376,11004-6102,5,1.4288885520179457
1-282035,8262-1902,1-210778,8602-3702,1,0.7634530032176039
1-282035,8262-1902,1-51568,9189-1902,2,0.8829110701792068
1-282035,8262-1902,1-51634,8727-1902,3,0.9736071337534166
1-282035,8262-1902,1-298864,9508-1902,4,1.0238303519076464
1-282035,8262-1902,1-176155,11833-3704,5,1.0858550899898989
1-235983,8980-3701,1-174119,8946-1901,1,0.7370548815820795
1-235983,8980-3701,1-94584,9026-3701,2,0.8262022959123466
1-235983,8980-3701,1-38618,8084-1902,3,0.8517050513369198
1-235983,8980-3701,1-283164,11953-1901,4,0.9045327870336594
1-235983,8980-3701,1-134312,8487-3701,5,0.9571884021629548
1-44722,8714-9102,1-23459,11025-3701,1,0.7233306903884911
1-44722,8714-9102,1-421128,12620-9102,2,0.9785655019101716
1-44722,8714-9102,1-229890,9503-1902,3,1.025774164167583
1-44722,8714-9102,1-457185,9880-12702,4,1.045400864582051
1-44722,8714-9102,1-456716,9874-3704,5,1.0570789909138698
1-278079,8993-3704,1-119315,8087-6104,1,0.6991962861301431
1-278079,8993-3704,1-198879,9870-3704,2,0.7200685025726994
1-278079,8993-3704,1-321823,9033-1902,3,0.7700641695327346
1-278079,8993-3704,1-261280,8337-1901,4,0.7813532402748967
1-278079,8993-3704,1-569077,8979-6103,5,0.8374182239294315
1-94773,9026-1902,1-149496,8992-3701,1,0.6982210761210036
1-94773,9026-1902,1-594515,11941-1902,2,0.7149813506272482
1-94773,9026-1902,1-189376,10510-3704,3,0.7802480574349918
1-94773,9026-1902,1-523154,8311-1901,4,0.8124174675881602
1-94773,9026-1902,1-187562,9000-6101,5,0.813184906173907
1-322291,9870-3701,1-189522,11872-3703,1,0.8187163285259853
1-322291,9870-3701,1-363769,11962-3702,2,0.8833392297010065
1-322291,9870-3701,1-322262,9871-6104,3,0.897334265770963
1-322291,9870-3701,1-591255,9863-1901,4,0.9208301819174233
1-322291,9870-3701,1-300759,10505-12705,5,0.9309721556679895
1-266244,8333-1902,1-118491,12089-1902,1,0.6720030309278371
1-266244,8333-1902,1-201307,8937-1901,2,0.7242048415107515
1-266244,8333-1902,1-322159,9872-1901,3,0.8089138962071363
1-266244,8333-1902,1-382318,10218-1901,4,0.8161806644152171
1-266244,8333-1902,1-420979,12621-1901,5,0.8389013894151917
1-174947,8989-9101,1-197307,9864-6103,1,0.647856891003994
1-174947,8989-9101,1-32786,12696-6103,2,0.6608336646954338
1-174947,8989-9101,1-623722,8951-3703,3,0.6945284154978336
1-174947,8989-9101,1-627945,8443-6104,4,0.7045586015544152
1-174947,8989-9101,1-247661,9036-9101,5,0.716318164499712
1-44047,8143-1902,1-72211,9183-3702,1,0.6394376687584525
1-44047,8143-1902,1-178035,7961-1901,2,0.6479052776846863
1-44047,8143-1902,1-93053,8562-3703,3,0.6627759295368519
1-44047,8143-1902,1-279666,8945-3703,4,0.6677884379805474
1-44047,8143-1902,1-296398,9040-1902,5,0.6998746274208494
1-210728,8604-3701,1-135475,12673-12705,1,0.593444522240045
1-210728,8604-3701,1-605726,8248-3703,2,0.6645881133541531
1-210728,8604-3701,1-211006,8312-3701,3,0.7280792522355416
1-210728,8604-3701,1-456416,11871-12702,4,0.7435351051103836
1-210728,8604-3701,1-602989,12078-6103,5,0.825808675585052
1-188530,8995-3703,1-28070,12070-12702,1,0.5877621643435514
1-188530,8995-3703,1-402872,8323-6102,2,0.5879754453776778
1-188530,8995-3703,1-250652,8331-3703,3,0.7649147105085877
1-188530,8995-3703,1-390514,8150-12704,4,0.7688951143141299
1-188530,8995-3703,1-490074,8450-3702,5,0.7700622431856873
1-236144,8980-12703,1-605026,10492-9101,1,0.5624673141095409
1-236144,8980-12703,1-585206,9507-12705,2,0.5739917426493418
