cluster,radius_kpc,log_gtot_tian,log_gtot_mistele,difference_dex,mistele_stat_sigma_dex,covariance_used
A209,400.0,-9.803,-9.73627375424656,0.06672624575344166,0.07597220010556151,True
A209,600.0,-9.896,-9.737053182775169,0.15894681722483206,0.05317107471099073,True
A2261,400.0,-9.621,-9.559838447237146,0.0611615527628544,0.054040661043335936,True
A2261,600.0,-9.726,-9.676091244449832,0.04990875555016849,0.04998812125419355,True
A383,200.0,-9.567,-9.412830392599824,0.15416960740017593,0.11701159707440192,True
A383,400.0,-9.772,-9.769494841718533,0.0025051582814672457,0.0928860397614534,True
A611,400.0,-9.683,-9.7867993709297,-0.10379937092969982,0.13170086872017542,True
A611,600.0,-9.801,-9.819576892654373,-0.018576892654373012,0.11403672251814909,True
MACS0416,400.0,-9.82,-9.741439748651684,0.0785602513483159,0.07110745864518116,True
MACS0717,600.0,-9.778,-9.596715955345474,0.18128404465452697,0.07642320302542871,True
MACS0744,600.0,-9.709,-9.499096059339413,0.20990394066058649,0.06826996279199658,True
MACS1206,400.0,-9.627,-9.494534311836546,0.13246568816345494,0.0898134401264403,True
MACS1206,600.0,-9.744,-9.740894219026458,0.0031057809735415276,0.0995098818978915,True
MACS1720,400.0,-9.67,-9.477452772236292,0.1925472277637077,0.08993377950622392,True
MACS1931,400.0,-9.668,-9.58718166963782,0.08081833036217922,0.14030318955148594,True
MACS1931,600.0,-9.793,-9.705818418511988,0.0871815814880108,0.17480288856409118,True
RXJ1347,400.0,-9.529,-9.320682388595113,0.2083176114048868,0.07949028941903834,True
RXJ1347,600.0,-9.623,-9.43649193098952,0.186508069010479,0.086009275721664,True
RXJ1532,400.0,-9.857,-9.666936158437546,0.19006384156245382,0.09091702981925202,True
RXJ1532,600.0,-10.014,-10.110552802389808,-0.09655280238980879,0.1730548883347586,True
RXJ2129,400.0,-9.843,-9.822093621759434,0.02090637824056607,0.08599818824570257,True
RXJ2129,600.0,-10.002,-10.20243687877006,-0.20043687877005922,0.1350015335551243,True
RXJ2248,400.0,-9.661,-9.822831318468536,-0.16183131846853627,0.19070374231615325,True
RXJ2248,600.0,-9.773,-9.943967929703678,-0.17096792970367858,0.16864937972230845,True
