case,domain,scenario,mode,activation_weighted_mean,activation_median,activation_p90,activation_maximum,activation_r80_kpc,activation_active_pixels,activation_global_minimum,activation_global_maximum,mismatch_weighted_mean,trace_length_weighted_mean_kpc
CVnIdwA,sealed_galaxy_baryons_only,low,quadratic_cancellation,0.0006680516425478335,6.880129806549559e-05,0.001396245119306467,0.04137948250958229,1.4437871090776333,723,1.0909089534058706e-12,0.04137948250958229,0.011472577027050757,0.8160030958821122
CVnIdwA,sealed_galaxy_baryons_only,low,linear_chord_mix,0.005915801157131986,0.003019984501930979,0.013947437997509448,0.13400865153171673,1.4437871090776333,723,4.4419935535953426e-07,0.13400865153171673,0.08619416441365466,0.8160030958821122
CVnIdwA,sealed_galaxy_baryons_only,low,oriented_cross_mix,0.002496826714988071,0.001165476416381937,0.005501724379708401,0.05437833795539184,1.4437871090776333,723,1.4349696682283863e-07,0.05437833795539184,0.03602597897830733,0.8160030958821122
CVnIdwA,sealed_galaxy_baryons_only,nominal,quadratic_cancellation,0.0008485917436962056,0.00012565786878676355,0.0024018780884372194,0.019815202191332735,1.4380676828974952,721,2.0677335565631213e-12,0.019815202191332735,0.017983982366215085,0.7961102802085851
CVnIdwA,sealed_galaxy_baryons_only,nominal,linear_chord_mix,0.007087134593985448,0.004043357805357338,0.01718461622602222,0.08199013750947506,1.4380676828974952,721,6.113183219211268e-07,0.08199013750947506,0.11217296481690794,0.7961102802085851
CVnIdwA,sealed_galaxy_baryons_only,nominal,oriented_cross_mix,0.003917371712109785,0.002140699407091665,0.008280265791351387,0.05266246526655148,1.4380676828974952,721,2.7199303620267216e-07,0.05266246526655148,0.061280137052754036,0.7961102802085851
CVnIdwA,sealed_galaxy_baryons_only,high,quadratic_cancellation,0.001065867741142063,0.00021622113576375427,0.003591449006377343,0.015155012594480821,1.4165728733360534,700,3.7293500576197205e-12,0.015155012594480821,0.026396723685183233,0.7635978495593632
CVnIdwA,sealed_galaxy_baryons_only,high,linear_chord_mix,0.00825769510440638,0.005312976419091302,0.017394848660873534,0.07803381651679392,1.4165728733360534,700,8.203377375322902e-07,0.07803381651679392,0.1424869059355731,0.7635978495593632
CVnIdwA,sealed_galaxy_baryons_only,high,oriented_cross_mix,0.0057408473812268785,0.0035903327517314777,0.011503845269730452,0.05975193684800025,1.4165728733360534,700,4.905606979603903e-07,0.05975193684800025,0.09645803247525156,0.7635978495593632
DDO101,sealed_galaxy_baryons_only,low,quadratic_cancellation,0.001240582414785498,0.0002781315186709771,0.004182140004869635,0.02605911584420264,2.4686239545754516,1258,6.7572671657511695e-12,0.02605911584420264,0.01680419900804521,1.421446956712804
