mode,domain,scenario,systems,median_activation,minimum_activation,maximum_activation,median_mismatch,median_trace_length_kpc
linear_chord_mix,sealed_cluster_baryons_only,high,4,0.08488755919658345,0.05142129498866237,0.1621923554420996,0.17453632521764095,168.02364323119468
linear_chord_mix,sealed_cluster_baryons_only,low,4,0.08268560328420793,0.04458986006629337,0.15841490163866703,0.14328748515953474,191.49057053241842
linear_chord_mix,sealed_cluster_baryons_only,nominal,4,0.08549613946136884,0.04936401539380615,0.16401604472258194,0.1623978762724168,176.91366515467993
linear_chord_mix,sealed_galaxy_baryons_only,high,13,0.011626349270987012,0.0029901624193595885,0.024895142623818305,0.15317539980609857,1.0863297631071207
linear_chord_mix,sealed_galaxy_baryons_only,low,13,0.008773569879708903,0.003864384175336022,0.019190759278877534,0.11647087236223147,1.0834197284028844
linear_chord_mix,sealed_galaxy_baryons_only,nominal,13,0.010839019492230147,0.004202826967124677,0.02293781466220006,0.1441984071531714,1.0835040251608592
oriented_cross_mix,sealed_cluster_baryons_only,high,4,0.03619964641475375,0.014797984704138269,0.06972013941104664,0.06901465745488423,168.02364323119468
oriented_cross_mix,sealed_cluster_baryons_only,low,4,0.03107068623227098,0.010258813295385333,0.058805166073480346,0.05069121276166276,191.49057053241842
oriented_cross_mix,sealed_cluster_baryons_only,nominal,4,0.034889041663610725,0.0130826052204626,0.06682290986098449,0.06187073239905649,176.91366515467993
oriented_cross_mix,sealed_galaxy_baryons_only,high,13,0.009137507768033761,0.0014502080886579273,0.020554830359711146,0.12354370229751246,1.0863297631071207
oriented_cross_mix,sealed_galaxy_baryons_only,low,13,0.006357134288087532,0.0018857503026510768,0.012371753016839732,0.0785661785783103,1.0834197284028844
oriented_cross_mix,sealed_galaxy_baryons_only,nominal,13,0.008693448980533529,0.0026780772745333206,0.01783801459237582,0.0975311324799316,1.0835040251608592
quadratic_cancellation,sealed_cluster_baryons_only,high,4,0.021618484493640087,0.009357756375357702,0.047171416852087686,0.03985966889098601,168.02364323119468
quadratic_cancellation,sealed_cluster_baryons_only,low,4,0.01902316226110344,0.006517159754694462,0.040350771894505894,0.029914993225505143,191.49057053241842
quadratic_cancellation,sealed_cluster_baryons_only,nominal,4,0.021022386822975084,0.008257139882051491,0.04554622151670161,0.03566566700821727,176.91366515467993
quadratic_cancellation,sealed_galaxy_baryons_only,high,13,0.0014461000763159588,0.0002804190873652129,0.004112225639172237,0.026396723685183233,1.0863297631071207
quadratic_cancellation,sealed_galaxy_baryons_only,low,13,0.000999441572992834,0.0003086509497977299,0.0024322482071996747,0.018413021154107315,1.0834197284028844
quadratic_cancellation,sealed_galaxy_baryons_only,nominal,13,0.001126900727002061,0.00037398817618695425,0.003466353300135944,0.024691028383931994,1.0835040251608592
