stage,closure,lambda,fold,fit_images,validation_images,fit_RMS_arcsec,fit_roots,validation_RMS_arcsec,validation_roots,optimizer_cost
exact_grid,gas_minus_star_flux,3.5,0,12,3,0.40418754969970644,12,3.868348625994005,3,24.50548972790238
exact_grid,gas_minus_star_flux,3.5,1,11,4,0.17121118438938204,11,inf,3,7.1961999078041705
exact_grid,gas_minus_star_flux,3.5,2,12,3,0.39906402614258296,12,1.3276603253877293,3,25.210863303180293
exact_grid,gas_minus_star_flux,3.5,3,13,2,0.38756176762770084,13,1.104686175795117,2,25.801142287811672
exact_grid,gas_minus_star_flux,3.5,4,12,3,0.2603823467432449,12,2.6279409592582326,3,12.17498322606583
exact_grid,gas_minus_star_flux,5.0,0,12,3,0.40560443704510185,12,3.568352760657103,3,24.88733582236756
exact_grid,gas_minus_star_flux,5.0,1,11,4,0.1804162370180245,11,inf,3,6.965749126759486
exact_grid,gas_minus_star_flux,5.0,2,12,3,0.40331124096776627,12,inf,2,24.932390762157187
exact_grid,gas_minus_star_flux,5.0,3,13,2,0.37760244062025833,13,1.1117503909582684,2,24.540130679898358
exact_grid,gas_minus_star_flux,5.0,4,12,3,0.2589063379768112,12,2.4566651952367784,3,11.986196479918272
exact_grid,gas_minus_star_flux,6.5,0,12,3,0.4026123950331089,12,4.715169505196258,3,24.001013733359123
exact_grid,gas_minus_star_flux,6.5,1,11,4,0.40741350832730316,11,2.67962196431338,4,23.084652959247073
exact_grid,gas_minus_star_flux,6.5,2,12,3,0.3985977384006433,12,1.3171070544425685,3,25.074716303530845
exact_grid,gas_minus_star_flux,6.5,3,13,2,0.3683059533555105,13,1.1136605053408217,2,23.43111882954156
exact_grid,gas_minus_star_flux,6.5,4,12,3,0.2573538403668604,12,2.34188093926673,3,11.829157957333196
exact_grid,gas_minus_star_flux,8.0,0,12,3,0.40288419439672085,12,4.295542759856159,3,24.364258414546676
exact_grid,gas_minus_star_flux,8.0,1,11,4,0.4072068106856557,11,2.7141338970124544,4,23.071268836260433
exact_grid,gas_minus_star_flux,8.0,2,12,3,0.4036796550727058,12,1.1413291009623558,3,25.409114443954607
exact_grid,gas_minus_star_flux,8.0,3,13,2,0.35921178662802633,13,1.116309941578588,2,22.35066906214465
exact_grid,gas_minus_star_flux,8.0,4,12,3,0.2555745418527548,12,2.183365081241448,3,11.6944488019482
exact_grid,gas_minus_star_flux,10.0,0,12,3,0.37522364689943616,12,4.7833384991321,3,18.344683678160813
exact_grid,gas_minus_star_flux,10.0,1,11,4,0.4072363768709378,11,2.046916974645613,4,22.823765396375777
exact_grid,gas_minus_star_flux,10.0,2,12,3,0.400847844647771,12,1.3598509336140263,3,25.504233686671714
exact_grid,gas_minus_star_flux,10.0,3,13,2,0.3477270692594639,13,1.1150327462469027,2,21.03308633133837
exact_grid,gas_minus_star_flux,10.0,4,12,3,0.2532821499442735,12,2.039567096373943,3,11.523837183948983
exact_grid,gas_minus_star_flux,12.5,0,12,3,0.40374698301571177,12,2.6510895424717646,3,24.56407426558396
exact_grid,gas_minus_star_flux,12.5,1,11,4,0.4086571227202564,11,3.1817612509484205,4,23.367371121651203
exact_grid,gas_minus_star_flux,12.5,2,12,3,0.3988497799304754,12,1.3745038876356905,3,25.46688282522589
exact_grid,gas_minus_star_flux,12.5,3,13,2,0.33447860592804635,13,1.1201656468231582,2,19.615941281883064
exact_grid,gas_minus_star_flux,12.5,4,12,3,0.2509840300507017,12,1.8397786011072887,3,11.368784967343021
