bin_id,pixels,science_counts,scaled_background_counts,background_variance,net_counts,signal_to_noise,source_fraction,valid,gate_target_signal_to_noise,gate_minimum_net_counts,gate_minimum_source_fraction
0,35,1652.0,8.88314509,0.4356483071065041,1643.11685491,40.420918027500974,0.9946227935290557,True,True,True,True
1,37,1628.0,8.579292895999998,0.416939769378085,1619.420707104,40.13071360398532,0.9947301640687961,True,True,True,True
2,38,1631.0,10.866126531,0.5282450117727191,1620.133873469,40.11008699402953,0.9933377519736358,True,True,True,True
3,47,1645.0,9.685615694999997,0.45747087111450435,1635.314384305,40.31418885113204,0.9941120877234042,True,True,True,True
4,42,1688.0,11.910136067999998,0.5916317875113372,1676.089863932,40.78824162654825,0.9929442321872038,True,True,True,True
5,40,1657.0,12.991314064,0.6517962435292403,1644.008685936,40.37917611419316,0.992159738042245,True,True,True,True
6,40,1635.0,12.440965696,0.6106388420017916,1622.559034304,40.11996481846534,0.9923908466691131,True,True,True,True
7,42,1675.0,13.260282608,0.6471869173465219,1661.739717392,40.594921807119725,0.9920834133683583,True,True,True,True
8,42,1662.0,13.377106816,0.6783535405057355,1648.622893184,40.43125339062358,0.9919511992683514,True,True,True,True
9,53,1952.0,14.318982945999997,0.6888500268385284,1937.681017054,43.849612657181325,0.9926644554579918,True,True,True,True
10,42,1637.0,13.929061525,0.6969862158789185,1623.070938475,40.10705067647829,0.9914911047495418,True,True,True,True
11,49,1654.0,10.126511373000001,0.498106659772786,1643.873488627,40.41431798556723,0.9938775626523578,True,True,True,True
12,43,1656.0,14.649683659999999,0.7447133980008565,1641.35031634,40.324917400092076,0.9911535726690822,True,True,True,True
13,59,2246.0,20.369389167,1.0268724033416585,2225.630610833,46.95144390908524,0.990930815152716,True,True,True,True
14,52,1716.0,15.141520361,0.7536833917127672,1700.858479639,41.05009680322115,0.9911762701858975,True,True,True,True
15,11736,7016.0,3579.1298174880003,179.25935938088043,3436.8701825119997,40.51724446036362,0.4898617705974914,False,True,True,False
16,48,1666.0,14.541273746,0.7164773154065383,1651.458726254,40.45170763266585,0.9912717444501802,True,True,True,True
17,46,1638.0,14.155611494999999,0.717388348251601,1623.844388505,40.11366819446743,0.991357990540293,True,True,True,True
18,45,1658.0,14.264108041,0.7294245956289735,1643.735891959,40.35935936522093,0.9913967985277442,True,True,True,True
19,46,1658.0,13.933603817999998,0.7006850871981146,1644.066396182,40.367824090956276,0.9915961376248492,True,True,True,True
20,47,1697.0,14.520412552999996,0.7071358212995437,1682.479587447,40.83367020299439,0.9914434811119623,True,True,True,True
21,46,1678.0,13.789476747999998,0.6887915342846387,1664.210523252,40.61843333253153,0.9917821950250298,True,True,True,True
