Lc_kpc,q,sealed_cluster_baryons_only,sealed_galaxy_baryons_only,cluster_to_galaxy_ratio
3.0,0.5,0.02153716371520256,0.007871764132591427,2.7360021657702296
3.0,1.0,0.0222227379518025,0.003170585658908866,7.009032507719819
3.0,2.0,0.022257062977874043,0.001299740735974508,17.12423282723869
10.0,0.5,0.019633585107797523,0.004745245830112151,4.1375274981978105
10.0,1.0,0.021022386822975084,0.001126900727002061,18.655047706732585
10.0,2.0,0.021741201818610216,0.00014214933106898115,152.94621265618065
30.0,0.5,0.016542909475955297,0.0028833369455542966,5.737418063976934
30.0,1.0,0.017319489986124398,0.0003971317368993075,43.61144773104786
30.0,2.0,0.017230197989838388,1.6276035684356896e-05,1058.6237535961259
100.0,0.5,0.012285286818610758,0.0016311268762614402,7.531778795018548
100.0,1.0,0.011053076320051019,0.00012160625288127835,90.89233537063186
100.0,2.0,0.009703836041750822,1.4703839821470551e-06,6599.525130558943
