case,domain,scenario,Lc_kpc,q,activation_weighted_mean,activation_median,activation_p90,activation_maximum,activation_r80_kpc,activation_active_pixels,geometry_weighted_mean,cancellation_weighted_mean,trace_length_weighted_mean_kpc
CVnIdwA,sealed_galaxy_baryons_only,low,3.0,0.5,0.0037988670075107126,0.00034857992293322936,0.008286013781089414,0.13810373615188867,1.4437871090776333,723,0.003992217369233917,0.011472577027050757,0.8160030958821122
CVnIdwA,sealed_galaxy_baryons_only,low,3.0,1.0,0.001994301595520977,0.0002067106029847617,0.004372303861509828,0.1025986014036907,1.4437871090776333,723,0.0020974435215993644,0.011472577027050757,0.8160030958821122
CVnIdwA,sealed_galaxy_baryons_only,low,3.0,2.0,0.0006697321860002946,5.640211433355813e-05,0.0011931022586132076,0.09882401142616826,1.4437871090776333,723,0.0007038432431668736,0.011472577027050757,0.8160030958821122
CVnIdwA,sealed_galaxy_baryons_only,low,10.0,0.5,0.0023014529917183488,0.00021196622835684814,0.0050028502419536885,0.08146016426818588,1.4437871090776333,723,0.0024187460184080176,0.011472577027050757,0.8160030958821122
CVnIdwA,sealed_galaxy_baryons_only,low,10.0,1.0,0.0006680516425478336,6.880129806549559e-05,0.001396245119306467,0.04137948250958229,1.4437871090776333,723,0.000702527407565033,0.011472577027050757,0.8160030958821122
CVnIdwA,sealed_galaxy_baryons_only,low,10.0,2.0,7.543684205045199e-05,5.279982631985603e-06,0.00011244509254264985,0.012881808213346073,1.4437871090776333,723,7.92179130201711e-05,0.011472577027050757,0.8160030958821122
CVnIdwA,sealed_galaxy_baryons_only,low,30.0,0.5,0.001402187803321642,0.0001301020330317313,0.0030387639221342326,0.048886745195693755,1.4437871090776333,723,0.0014736954495773538,0.011472577027050757,0.8160030958821122
CVnIdwA,sealed_galaxy_baryons_only,low,30.0,1.0,0.00023061180517234886,2.3553367647068503e-05,0.000477516190018038,0.015108949094009679,1.4437871090776333,723,0.00024250197092327678,0.011472577027050757,0.8160030958821122
CVnIdwA,sealed_galaxy_baryons_only,low,30.0,2.0,8.639572536005134e-06,5.882537783946841e-07,1.2615387175769005e-05,0.001482486521035002,1.4437871090776333,723,9.071941312130664e-06,0.011472577027050757,0.8160030958821122
CVnIdwA,sealed_galaxy_baryons_only,low,100.0,0.5,0.0007945903360667677,7.415051888879112e-05,0.0017167495693538217,0.027431463455163452,1.4437871090776333,723,0.0008351273113361612,0.011472577027050757,0.8160030958821122
