radius_grid_cells,radius,cells,single_coherence_mean,single_coherence_median,dual_coherence_mean,dual_coherence_median
1,0.4,18,0.3138013404587533,0.3461775229044391,0.2540611687736052,0.2870454846483478
2,0.8,62,0.520496203028844,0.5230073358299256,0.40462408015202966,0.4094925645174299
3,1.2000000000000002,98,0.6813358632613774,0.6875164072981979,0.5016578424542546,0.5054248005505007
4,1.6,210,0.8008461013746404,0.8105137626164026,0.5724259860416585,0.5775838191992448
5,2.0,350,0.884339362151821,0.8865520694898024,0.6309232363914721,0.6554998054735481
6,2.4000000000000004,450,0.9279126607403628,0.9297551624266771,0.6899487823321693,0.7173776782924204
7,2.8000000000000003,602,0.9491310491329935,0.9494664869339622,0.7447594243793131,0.7676780054061499
8,3.2,762,0.9618542899656405,0.962403440817829,0.7935243030893256,0.8033123201593381
9,3.6,1142,0.9706765677927023,0.9711668573914956,0.8401744142324549,0.843514592406996
10,4.0,1250,0.9767482848884942,0.9765960904026791,0.8712142968478347,0.8697031568165835
11,4.4,1458,0.9808234341700828,0.9808038841000442,0.8941464730149611,0.8938168358030578
12,4.800000000000001,1814,0.9838948564129116,0.9840725177533014,0.9104971875060967,0.907191168305494
13,5.2,2178,0.9863803541385429,0.9863885638936101,0.9232514951431637,0.9204112452631357
14,5.6000000000000005,2498,0.9883164085113086,0.9883620364429576,0.9334568896178581,0.9293123154249971
15,6.0,2622,0.989802325652048,0.9898353406805445,0.9413284763382735,0.9377795396760527
16,6.4,3338,0.9910448823938879,0.9910846552772351,0.9480299318837946,0.9450537722065455
17,6.800000000000001,3380,0.992088551815362,0.9921160265391439,0.9538066826245325,0.9510860067686533
18,7.2,3084,0.9929704212827561,0.9929775647146458,0.9587967550320183,0.9576173478188803
19,7.6000000000000005,2600,0.9936840731633506,0.993704747593904,0.9628147990101196,0.9627839501358988
20,8.0,2412,0.9942954539846516,0.9943098606254367,0.9662469147275086,0.9670846694474984
21,8.4,2060,0.9948419339739861,0.9948445167014164,0.9693190336593969,0.9709375466034521
22,8.8,1464,0.9953072666555346,0.9953167465269579,0.9719671113589142,0.9732394572953502
23,9.200000000000001,1028,0.995703969059317,0.9957015186471404,0.974241351445493,0.9751720649699165
24,9.600000000000001,536,0.9960659265158337,0.9960418367174938,0.9763318435834556,0.9768433375268919
25,10.0,336,0.9963799413754225,0.9963618341622144,0.9781452070843542,0.9787022622563399
26,10.4,104,0.996632952470054,0.9966540464908279,0.9796113572942476,0.9797146586664838
27,10.8,72,0.9968406810892927,0.9968015062179472,0.9808220333211134,0.9812340692158572
