R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
5.49,198.0,10.0,0.0,186.83,108.11,215.85462932260685
6.17,195.0,5.0,10.14,197.4,102.7,222.74844466348134
6.92,194.0,4.0,19.07,203.18,97.43,226.13797160140976
7.69,195.0,3.0,24.03,205.95,92.74,227.14213831871882
8.36,195.0,3.0,26.62,205.73,88.92,225.69941005682756
9.12,195.0,3.0,28.67,202.75,85.21,221.78880832900472
9.88,192.0,7.0,29.74,195.44,81.9,213.98334327699433
10.56,188.0,8.0,29.63,185.44,79.23,203.82179324105653
11.31,186.0,7.0,29.42,175.66,76.58,193.8722992074938
12.08,186.0,6.0,29.85,166.96,74.1,185.08774702826764
12.77,186.0,5.0,30.5,160.29,72.07,178.37381814604964
13.47,185.0,6.0,31.57,154.56,70.18,172.65772760001215
14.17,180.0,10.0,32.44,149.44,68.41,167.52490949109625
14.98,163.0,8.0,32.98,144.15,66.54,162.15571066108035
15.68,162.0,6.0,32.44,140.03,65.04,157.76867908428466
16.37,164.0,5.0,31.79,136.17,63.66,153.6407127033717
17.19,166.0,5.0,30.82,132.07,62.12,149.16853455068866
17.88,166.0,5.0,29.63,128.95,60.91,145.65736335661165
18.58,166.0,5.0,28.56,126.05,59.75,142.38798615051763
19.39,166.0,5.0,27.91,122.95,58.49,138.98471390768123
20.09,168.0,5.0,27.26,120.47,57.46,136.22694337024524
20.79,172.0,5.0,26.4,118.15,56.49,133.59454554733887
21.48,173.0,5.0,25.97,116.0,55.57,131.21915180338576
22.3,171.0,5.0,26.08,113.61,54.54,128.69347341648682
22.99,170.0,5.0,26.4,111.72,53.72,126.74445471104445
23.69,172.0,5.0,27.16,109.89,52.92,124.9560086590477
24.39,173.0,5.0,28.88,108.16,52.15,123.50005060727707
25.2,176.0,5.0,30.17,106.26,51.31,121.79545393814993
25.9,178.0,5.0,29.96,104.71,50.61,120.09645207082514
26.59,180.0,6.0,29.63,103.24,49.95,118.45436674095218
27.41,180.0,8.0,29.1,101.58,49.19,116.55454731583835
28.1,180.0,5.0,28.45,100.24,48.59,114.97151038409471
28.8,180.0,5.0,28.02,98.94,47.99,113.47812167990797
29.61,178.0,5.0,27.59,97.5,47.33,111.83732382348927
30.31,174.0,5.0,27.59,96.31,46.78,110.56759290135605
31.01,170.0,10.0,26.19,95.16,46.25,108.99726693821272
