R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.6,16.0,3.53,6.82,12.59,0.0,14.318536936433135
0.73,16.6,4.83,8.12,14.22,0.0,16.375066412079065
0.85,18.6,2.5,9.3,15.27,0.0,17.879119105817267
0.98,20.0,7.58,10.41,17.04,0.0,19.968217246414362
1.07,21.4,4.03,11.27,18.03,0.0,21.26249750146958
1.54,28.9,2.74,15.22,22.44,0.0,27.1146086086449
2.02,32.9,2.65,18.74,24.92,0.0,31.18002565746218
2.49,35.2,2.88,21.52,25.85,0.0,33.63529247680181
2.96,37.6,3.05,23.28,26.01,0.0,34.90671138907245
3.43,40.6,3.68,24.59,25.36,0.0,35.32418010371932
3.9,42.7,3.25,25.62,25.01,0.0,35.80341464162322
4.37,45.5,2.99,26.35,24.48,0.0,35.96655251758222
4.86,48.9,1.96,27.08,23.7,0.0,35.986336295877635
5.34,51.5,1.53,27.81,22.69,0.0,35.891951744088814
5.81,53.0,1.86,28.4,21.59,0.0,35.67475437897225
6.28,55.0,1.48,28.98,20.86,0.0,35.70686208559918
6.75,57.6,0.99,29.57,20.11,0.0,35.760271251767655
7.22,59.7,1.19,30.3,19.38,0.0,35.96768549684563
7.69,60.5,1.26,31.18,18.7,0.0,36.35770069737634
8.16,61.8,1.33,32.06,18.06,0.0,36.796836820574676
8.64,62.9,1.35,32.64,17.47,0.0,37.021216889778216
9.11,63.0,2.09,33.23,16.94,0.0,37.29874662773536
9.58,64.5,2.38,33.38,16.44,0.0,37.20884303495609
10.05,65.6,1.08,33.38,15.98,0.0,37.007901858927376
10.52,67.5,3.22,32.79,15.57,0.0,36.29888428037424
10.99,66.8,2.37,32.06,15.18,0.0,35.472186287287116
11.46,66.8,0.95,31.18,14.81,0.0,34.518524012477705
11.94,66.6,0.96,30.3,14.47,0.0,33.57783346197309
12.41,66.8,0.99,29.42,14.16,0.0,32.650298620380184
12.9,66.3,0.74,28.69,13.86,0.0,31.86244968611171
13.37,66.1,1.31,27.81,13.59,0.0,30.952935240458213
