R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.25,4.25,2.0,1.87,2.88,0.0,3.433846240005513
0.41,6.84,2.0,3.32,3.93,0.0,5.14463798532025
0.57,9.56,2.0,4.8,4.8,0.0,6.788225099390856
0.74,12.3,2.0,6.44,6.36,0.0,9.051143574156804
0.9,15.1,2.0,8.03,7.43,0.0,10.940100547984008
1.07,17.5,2.0,9.79,8.56,0.0,13.004526135157713
1.24,19.7,2.0,11.57,9.52,0.0,14.983167221919402
1.4,21.8,2.0,13.11,10.08,0.0,16.537185371156724
1.57,24.4,2.0,14.44,10.55,0.0,17.883402920026153
1.72,27.3,2.0,15.54,10.95,0.0,19.01036822368257
1.89,30.3,2.0,16.53,11.36,0.0,20.057180759019946
2.06,32.6,2.0,17.3,11.57,0.0,20.81237372334064
2.46,33.3,2.0,18.07,12.23,0.0,21.81966544198146
2.79,34.6,2.0,18.07,12.94,0.0,22.22540213359479
3.13,34.2,2.0,17.41,12.45,0.0,21.403518402356188
