R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.22,12.4,7.0,0.92,38.29,0.0,38.3010508994205
0.78,37.5,4.0,2.67,85.69,0.0,85.73158694436958
1.33,56.5,4.0,3.9,104.0,0.0,104.07309931005226
2.33,69.1,4.0,5.34,114.45,0.0,114.57450894505287
3.44,85.5,7.5,7.09,107.32,0.0,107.55394228014146
3.78,87.1,8.4,7.29,103.7,0.0,103.95592383313227
4.77,105.0,4.0,8.42,92.03,0.0,92.41437821031963
5.44,112.0,6.7,8.94,86.43,0.0,86.89113015722607
6.11,116.0,4.0,9.45,81.42,0.0,81.96657184486857
7.22,124.0,4.0,10.47,76.23,0.0,76.94565484808093
9.33,135.0,4.0,11.28,68.45,0.0,69.3732001568329
11.1,140.0,4.0,11.8,64.24,0.0,65.31475790355499
15.55,144.0,5.0,11.28,55.43,0.0,56.566096736472815
