R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
1.23,28.7,3.4,13.65,27.5,0.0,30.701343618806
1.84,37.6,2.6,18.65,32.63,0.0,37.58376511207998
2.46,43.1,1.2,21.85,36.38,0.0,42.437329086548324
3.07,50.1,2.8,25.04,38.7,0.0,46.09437709742914
3.68,58.1,4.5,28.73,39.68,0.0,48.98893038228126
4.3,64.6,4.1,32.28,39.98,0.0,51.38481098534858
4.91,68.5,2.7,34.59,39.99,0.0,52.87407871537811
5.52,72.3,0.8,36.37,39.87,0.0,53.96659892933776
6.14,74.2,2.4,37.73,39.71,0.0,54.776244851212645
6.75,78.9,2.6,38.68,39.75,0.0,55.463545685431974
7.37,82.4,2.3,39.3,40.35,0.0,56.32594872702989
7.98,84.3,4.8,39.72,41.04,0.0,57.11357106677887
8.59,85.4,7.3,40.39,41.57,0.0,57.96047791383367
9.21,85.3,4.6,40.44,42.03,0.0,58.32593334015324
9.82,86.8,4.0,39.94,42.44,0.0,58.27827382481399
10.43,85.4,5.7,39.15,42.87,0.0,58.0565190138024
11.05,85.4,7.0,37.71,43.32,0.0,57.43401866489929
11.66,86.2,4.1,36.23,43.95,0.0,56.95801436145751
12.28,86.1,6.2,35.41,44.71,0.0,57.033781217801085
12.89,87.4,2.5,34.67,45.88,0.0,57.50637616821286
13.5,86.5,5.5,33.61,48.0,0.0,58.597202151638605
