R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.71,24.1,7.55,0.75,14.22,0.0,14.239764745247726
1.42,33.6,5.02,2.55,19.97,0.0,20.132148419878092
2.14,44.8,3.38,7.39,23.97,0.0,25.08332115171354
2.85,54.4,2.9,10.7,26.52,0.0,28.597209654090378
3.55,57.4,2.89,12.26,27.06,0.0,29.707763295138864
4.26,61.4,3.44,12.02,28.45,0.0,30.88499473854577
4.97,63.8,3.64,14.16,29.24,0.0,32.48820093510873
5.69,65.5,3.82,15.95,29.3,0.0,33.3600434651995
6.4,67.6,3.54,18.56,30.76,0.0,35.92563430198554
7.11,69.2,2.91,22.61,29.42,0.0,37.10456171416124
7.82,70.3,2.79,26.3,28.8,0.0,39.001666631055656
8.52,71.4,2.93,28.44,27.59,0.0,39.62375171535376
9.25,73.2,3.0,29.27,27.31,0.0,40.03209962017981
9.95,73.0,2.81,30.7,26.87,0.0,40.798123731367845
10.66,73.1,2.79,31.41,26.73,0.0,41.24416322341866
