R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.22,10.7,4.9,0.47,5.59,0.0,5.6097237008608545
0.76,24.7,4.9,1.87,17.63,0.0,17.728897314836022
1.31,38.9,4.9,3.27,26.64,0.0,26.83994225031045
1.94,42.7,7.89,4.87,32.27,0.0,32.63540715235525
3.92,55.0,4.9,8.5,38.26,0.0,39.19282587413161
4.35,57.2,4.9,9.17,38.43,0.0,39.508907856330325
5.0,59.8,4.9,10.3,39.09,0.0,40.42422664690074
5.05,62.5,3.43,10.4,39.06,0.0,40.42083126309997
5.83,61.8,3.98,12.1,38.38,0.0,40.24219675912338
6.09,64.4,4.9,12.72,38.13,0.0,40.195712457922674
6.74,67.2,4.9,14.18,39.23,0.0,41.714089945724574
7.29,69.9,4.9,15.33,36.96,0.0,40.0131290953357
