R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.13,232.0,33.4,-2.47,8.23,149.99,150.2359274607775
0.25,233.0,16.9,-2.73,15.54,220.78,221.34306607617054
0.38,234.0,14.6,-2.63,23.07,253.99,255.04913624633195
0.51,235.0,10.6,-2.41,30.21,269.15,270.85083477811173
0.63,236.0,9.12,-2.13,36.51,276.27,278.68015699005196
0.76,237.0,10.3,-1.79,43.02,278.6,281.90758148726684
0.89,238.0,9.95,-1.58,49.25,279.31,283.62322718705536
1.01,239.0,3.51,-1.03,54.76,280.44,285.73818803233144
1.14,240.0,3.18,0.66,60.48,280.12,286.57543579309095
1.27,240.0,5.19,1.42,65.96,277.94,285.663056064308
1.39,241.0,3.54,1.91,70.82,277.61,286.50729938345376
1.52,242.0,2.6,2.31,75.88,276.52,286.75149677028713
1.65,242.0,1.75,2.69,80.73,274.47,286.1089825573465
1.77,243.0,1.94,3.02,85.03,272.42,285.39775349501264
1.9,244.0,3.09,3.34,89.52,270.29,284.74843300710194
2.03,244.0,1.6,3.66,93.85,268.35,284.31134447995566
2.16,244.0,3.0,3.96,97.99,266.67,284.1313263264014
2.28,245.0,2.19,4.26,101.66,265.58,284.4040077073458
2.41,245.0,3.01,4.56,105.49,264.78,285.05680504067954
2.54,246.0,2.64,4.87,109.17,264.37,286.065207076988
2.66,246.0,2.38,5.17,112.45,264.0,286.9977898869606
2.79,246.0,3.72,5.46,115.87,263.68,288.06737215450136
2.92,247.0,3.54,5.76,119.17,263.16,288.9426450006991
3.04,247.0,3.74,6.05,122.1,262.58,289.64334775720295
3.17,247.0,5.11,6.34,125.13,261.72,290.1638690464407
3.3,247.0,3.63,6.65,128.05,260.64,290.47243345970026
3.42,247.0,3.84,6.94,130.65,259.42,290.54487174961463
3.55,248.0,5.12,7.23,133.35,257.92,290.4431472767089
3.68,248.0,2.77,7.53,135.94,256.73,290.5971049408442
3.8,248.0,3.24,7.83,138.27,255.39,290.52358578951896
3.93,248.0,6.79,8.14,140.68,253.66,290.1732544532662
4.06,248.0,8.39,8.44,143.0,251.85,289.7389447416415
4.18,248.0,2.73,8.74,145.04,249.97,289.1331701828761
4.31,248.0,13.7,9.04,147.17,247.82,288.36692407417326
4.44,248.0,4.89,9.34,149.24,245.63,287.5654883674326
4.56,248.0,5.71,9.66,151.08,243.5,286.72413920003316
4.69,248.0,15.1,9.96,152.98,241.12,285.728781189435
4.82,248.0,10.5,10.27,154.8,238.76,284.73645797473847
4.94,248.0,1.58,10.63,156.43,236.51,283.76102956537216
4.99,248.0,4.77,10.73,157.09,235.57,283.34718262230876
5.07,248.0,4.36,10.94,158.13,234.04,282.6649997788902
5.2,248.0,8.45,11.25,159.77,231.52,281.5218034184919
5.45,247.0,8.25,11.88,162.71,226.76,279.348843026063
5.58,247.0,2.34,12.19,164.01,224.24,278.0853354637745
5.7,247.0,2.34,12.5,165.02,222.01,276.90484015271386
5.83,247.0,6.13,12.81,165.84,219.54,275.4356790613736
6.47,247.0,6.89,14.58,169.31,208.79,269.2057142781334
6.59,246.0,5.95,14.9,170.15,206.9,268.2920843036559
6.66,246.0,2.29,15.11,170.65,205.85,267.81328775846805
6.72,246.0,4.73,15.31,171.08,204.88,267.3547772155942
6.85,246.0,3.02,15.63,172.07,202.98,266.5581778899308
6.97,246.0,5.81,16.04,173.03,201.26,265.8989471585023
7.1,246.0,6.32,16.36,174.15,199.41,265.2550097547641
7.23,246.0,8.92,16.67,175.27,197.66,264.70160067517537
8.32,246.0,2.13,19.69,182.58,184.24,260.1298331602894
10.0,245.0,2.18,23.65,183.56,168.07,250.00224198994695
11.61,245.0,0.94,26.98,182.9,155.97,241.88214340872707
13.35,246.0,2.02,29.27,173.27,145.45,228.11165752762395
14.98,245.0,1.33,30.52,164.53,137.31,216.4616072193866
16.61,245.0,1.36,32.19,157.52,130.4,207.00943577528056
18.34,245.0,1.59,34.17,152.73,124.1,199.7369565203195
19.97,245.0,2.03,36.46,150.07,118.93,194.92224449764578
21.6,245.0,2.36,38.96,146.26,114.35,189.69921375693679
23.33,244.0,4.61,41.25,143.04,110.03,185.11781383756667
26.7,243.0,10.6,44.17,136.92,102.85,176.8507783415159
29.95,239.0,17.0,44.8,130.32,97.11,168.58438391499968
33.32,231.0,18.3,44.07,123.68,92.07,160.36144237315904
36.68,219.0,12.1,44.17,117.57,87.75,153.21147574512818
39.94,210.0,7.5,43.75,111.91,84.09,146.65960145861573
43.3,210.0,3.56,43.34,107.39,80.76,141.18479131974522
46.67,212.0,2.64,44.9,104.0,77.79,137.4164986455411
49.92,213.0,6.5,46.88,101.06,75.22,134.42063234488967
53.29,218.0,6.53,47.82,96.26,72.8,129.81748726577632
