R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.87,20.9,4.7,4.05,19.26,0.0,19.68121185293223
1.74,36.4,3.9,8.89,32.89,0.0,34.07028323921009
2.61,43.4,3.9,12.07,42.35,0.0,44.03643264389158
3.5,51.2,4.7,13.47,46.88,0.0,48.7767905873275
4.37,59.7,3.9,14.33,50.13,0.0,52.13794971035973
5.24,64.5,4.4,18.1,50.81,0.0,53.93761303580276
6.11,67.9,3.9,21.23,49.78,0.0,54.11803119109194
6.55,72.8,7.3,22.41,49.26,0.0,54.11797945230401
6.98,70.3,6.1,23.49,48.73,0.0,54.096145888593576
7.85,73.7,6.1,25.32,47.5,0.0,53.82706010920529
8.72,77.6,6.1,26.4,46.22,0.0,53.22826692651189
9.16,79.1,7.3,26.4,45.5,0.0,52.60427739262274
