R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.25,20.9,3.4,-0.22,17.33,0.0,17.33139636613276
0.83,40.0,3.29,-1.8,34.96,0.0,35.00630800298712
1.38,51.5,2.96,-1.55,51.34,0.0,51.36339260601854
1.85,67.9,3.45,5.01,61.73,0.0,61.93297183245771
2.68,80.2,2.93,12.54,60.49,0.0,61.776141834854016
3.19,83.3,3.08,16.68,63.17,0.0,65.33506944972203
3.68,91.4,2.83,20.19,65.14,0.0,68.19718249312064
4.13,102.0,5.4,22.31,66.32,0.0,69.97198367918405
5.23,105.0,4.21,25.63,64.52,0.0,69.42425584765024
6.05,109.0,2.1,27.28,60.09,0.0,65.99247305564477
6.81,108.0,2.1,28.58,55.74,0.0,62.639955300111765
7.56,109.0,2.1,30.7,53.61,0.0,61.778006604292436
8.32,110.0,2.1,33.83,51.18,0.0,61.35031621760397
9.09,111.0,2.33,35.49,49.08,0.0,60.56720647347044
9.86,112.0,4.74,33.74,46.34,0.0,57.32175154337139
