R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.33,4.0,7.9,1.71,21.94,0.0,22.006537664975834
0.99,17.0,8.6,2.41,47.32,0.0,47.3813307115788
1.76,33.3,7.9,-7.34,59.39,0.0,59.84185575331033
2.42,44.9,10.5,-10.59,70.77,0.0,71.55795553256115
3.19,53.0,7.9,0.97,81.19,0.0,81.19579422605582
3.85,60.8,7.9,9.74,83.68,0.0,84.24494050089893
4.62,69.0,7.9,11.43,87.03,0.0,87.77736496386754
5.28,76.6,7.9,16.36,90.49,0.0,91.95699918983871
5.94,85.0,7.9,17.72,93.96,0.0,95.6163165992081
7.04,78.1,6.7,24.54,93.48,0.0,96.64741072579234
8.8,81.6,6.7,35.45,87.18,0.0,94.1119275118728
10.56,84.5,6.7,33.35,79.1,0.0,85.84306902714977
