R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
1.25,47.0,7.6,2.05,56.98,0.0,57.01686504886076
2.08,59.5,4.5,6.07,64.63,0.0,64.91441904538621
2.9,71.6,3.7,10.81,74.91,0.0,75.68595774646707
3.73,77.6,3.1,14.74,77.71,0.0,79.09558584396477
4.56,83.4,3.6,17.0,79.57,0.0,81.36574770749667
5.39,89.7,3.8,19.26,79.39,0.0,81.69283750733598
6.22,93.8,2.4,21.62,73.38,0.0,76.49868495601739
7.04,99.0,3.0,23.59,69.52,0.0,73.41334006840991
7.87,103.0,2.5,27.03,65.95,0.0,71.27428287959128
8.7,100.0,2.3,28.5,62.8,0.0,68.96441111181912
9.54,98.3,2.0,29.19,59.81,0.0,66.5529278093759
10.34,98.4,1.7,29.29,56.87,0.0,63.969531810073455
11.21,94.5,1.8,30.27,54.18,0.0,62.062430664613835
11.98,94.9,2.4,31.35,52.09,0.0,60.79630416398681
12.85,95.3,1.6,32.24,49.97,0.0,59.46779380471416
13.72,96.9,1.8,32.83,48.07,0.0,58.21111405908669
14.49,97.2,1.3,33.03,46.57,0.0,57.09418359167596
15.36,100.0,1.8,33.12,45.03,0.0,55.8984373663522
16.13,104.0,2.7,32.83,43.81,0.0,54.746004420414096
17.0,104.0,3.2,33.52,42.53,0.0,54.151558610994755
17.78,105.0,3.4,32.34,41.49,0.0,52.60509195885889
18.65,109.0,3.9,31.65,40.42,0.0,51.33711035888171
19.52,110.0,3.8,29.88,39.42,0.0,49.46464191723215
20.29,107.0,3.8,29.39,38.61,0.0,48.5232336103026
21.16,106.0,3.8,29.0,37.75,0.0,47.603177414958346
21.93,106.0,4.0,27.91,37.04,0.0,46.378116606865355
22.8,108.0,3.4,27.03,36.29,0.0,45.25024861810154
23.67,109.0,3.2,25.65,35.58,0.0,43.86181596787802
24.44,110.0,3.3,26.24,34.99,0.0,43.73600004572892
25.31,110.0,2.7,25.85,34.35,0.0,42.9900569899599
26.08,110.0,2.4,25.26,33.82,0.0,42.2120835780467
26.95,113.0,2.5,26.83,33.25,0.0,42.72483352805485
27.73,114.0,2.2,30.76,32.76,0.0,44.93768129309744
28.6,112.0,1.7,31.75,32.24,0.0,45.24908949360197
29.47,113.0,1.8,34.6,31.75,0.0,46.95979663499406
30.24,115.0,1.6,37.45,31.33,0.0,48.82695362194943
