R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.22,152.0,39.4,0.62,26.39,158.03,160.21952877224425
0.43,167.0,32.9,1.83,47.21,231.8,236.56579000354216
0.65,179.0,20.9,2.76,65.47,250.59,259.01599680328627
0.87,188.0,15.7,3.59,80.81,244.02,257.077623685921
1.08,195.0,10.6,4.38,93.2,231.39,249.4929988997687
1.31,199.0,8.88,5.12,104.66,217.32,241.26316005557084
1.52,202.0,4.4,5.84,113.51,203.82,233.36927411293885
1.73,202.0,2.3,6.53,120.8,191.4,226.42712050458974
1.96,202.0,3.38,7.2,127.95,179.83,220.82090344892623
2.17,200.0,4.47,7.85,133.72,170.88,217.12354846952923
2.39,196.0,2.88,8.49,138.13,162.54,213.47418719835895
2.6,193.0,3.32,9.1,140.07,156.06,209.89792400116778
2.83,189.0,2.21,9.69,139.86,149.58,205.00949270704518
3.04,184.0,14.0,10.26,138.24,144.32,200.10953900301706
5.87,170.0,5.45,16.97,124.36,103.86,162.91190901834034
6.08,172.0,6.66,17.59,125.28,102.05,162.5382693398696
6.3,174.0,3.96,18.32,126.27,100.25,162.264591947843
6.52,176.0,5.18,18.94,127.31,98.55,162.10694679747687
6.74,178.0,3.04,19.56,128.27,96.92,161.95453960911377
6.95,180.0,2.75,20.18,129.11,95.45,161.82498879962887
7.16,182.0,2.34,20.9,130.08,94.04,161.8676558179552
7.39,183.0,3.39,21.52,131.37,92.56,162.13741363423804
7.6,184.0,7.58,22.25,132.89,91.28,162.74782026190087
7.82,185.0,6.08,22.97,134.56,89.98,163.4943879770801
8.03,186.0,6.73,23.7,136.18,88.8,164.29279472940985
8.26,187.0,6.83,24.42,137.94,87.55,165.1931672315777
8.47,187.0,6.11,25.15,139.4,86.46,165.95244529683796
8.68,188.0,4.78,25.77,140.55,85.41,166.47301132616062
8.91,188.0,4.14,26.49,141.3,84.3,166.6550332273226
9.53,187.0,5.93,28.25,140.15,81.51,164.5720665848248
9.78,187.0,7.63,28.97,138.99,80.46,163.1909697256561
9.99,186.0,7.89,29.6,137.71,79.61,161.79603270785103
10.21,186.0,9.86,30.11,136.12,78.75,160.11504926146074
11.46,182.0,2.51,33.53,126.5,74.33,150.5040192154349
13.39,177.0,3.62,37.77,114.46,68.77,138.76951178122664
15.21,175.0,6.71,39.12,106.58,64.52,130.58522581057935
17.13,177.0,6.13,39.12,99.72,60.8,123.17099009101128
19.06,180.0,3.95,39.01,94.0,57.64,116.96217208995394
20.99,181.0,4.46,38.7,89.28,54.92,111.7354679589252
22.92,182.0,7.09,37.05,85.64,52.56,107.09559141253202
25.7,183.0,7.49,34.05,80.57,49.64,100.57363968754436
