R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.32,24.4,35.9,0.0,63.28,0.0,63.28
0.64,43.3,16.3,0.0,73.66,0.0,73.66
0.96,45.5,16.1,0.0,78.98,0.0,78.98
1.28,58.5,15.4,0.35,82.7,0.0,82.70074062546236
1.61,68.8,7.61,0.15,84.22,0.0,84.22013357861645
1.93,76.9,10.3,-0.05,83.17,0.0,83.17001502945638
2.24,82.0,8.09,-0.47,87.04,0.0,87.04126894755154
2.57,86.9,7.6,-0.95,88.91,0.0,88.91507521224958
2.89,97.6,3.03,-1.43,88.98,0.0,88.99149004258778
3.21,100.0,5.31,-1.14,93.81,0.0,93.81692651115789
3.54,107.0,7.51,-0.39,101.22,0.0,101.22075133094003
3.85,113.0,7.32,0.36,108.53,0.0,108.53059706829222
4.17,117.0,5.21,1.52,115.51,0.0,115.52000043282548
4.5,119.0,5.67,3.07,120.51,0.0,120.54909788131971
4.82,127.0,5.39,4.63,125.42,0.0,125.50543135657517
5.15,132.0,4.34,6.02,129.4,0.0,129.5399567701024
5.46,134.0,2.36,7.16,133.15,0.0,133.342371735319
5.78,137.0,0.89,8.31,136.45,0.0,136.70281123663844
6.1,140.0,2.84,9.46,139.41,0.0,139.73059686410846
6.43,142.0,0.88,10.61,141.85,0.0,142.2462463476629
6.74,144.0,1.23,11.77,142.32,0.0,142.80586577588468
7.06,146.0,1.57,12.87,140.94,0.0,141.5263950646663
8.04,147.0,3.0,16.39,135.68,0.0,136.66636199153032
9.04,148.0,3.0,20.03,130.79,0.0,132.3148706684173
10.04,152.0,2.0,23.68,128.1,0.0,130.27030513513046
11.04,155.0,2.0,27.08,126.67,0.0,129.53229442884117
12.05,156.0,2.0,30.11,124.98,0.0,128.5558730669276
14.05,157.0,2.0,34.48,118.12,0.0,123.04960300626736
16.07,153.0,2.0,36.43,108.22,0.0,114.18718535807773
18.13,153.0,2.0,37.76,101.1,0.0,107.92139546910983
20.05,154.0,2.0,39.83,96.4,0.0,104.30430911520388
22.12,153.0,2.0,40.92,91.56,0.0,100.28798532227079
24.03,150.0,2.0,41.77,87.03,0.0,96.53472846597747
26.1,149.0,2.0,43.71,82.67,0.0,93.51413262175937
28.16,148.0,2.0,45.41,79.06,0.0,91.1731961708045
30.08,146.0,2.0,45.29,76.07,0.0,88.53151416303687
32.14,147.0,2.0,44.56,73.27,0.0,85.75597063761799
34.06,148.0,2.0,44.81,70.91,0.0,83.88184666541385
36.12,148.0,2.0,45.9,68.62,0.0,82.55612878520891
38.19,149.0,2.0,46.75,66.59,0.0,81.3620955973972
40.1,150.0,2.0,47.48,64.84,0.0,80.36526612909336
42.17,150.0,3.0,48.93,63.1,0.0,79.84832434058964
44.08,149.0,3.0,47.84,61.63,0.0,78.01873172514406
