R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.76,77.0,10.0,4.04,70.72,0.0,70.83530193342865
1.52,100.0,5.0,7.62,123.17,0.0,123.40548326553403
2.28,110.0,2.0,9.72,142.64,0.0,142.97079422035816
3.04,118.0,2.0,12.42,134.42,0.0,134.99256572122775
3.79,121.0,2.0,13.35,121.97,0.0,122.69842460276334
4.55,121.0,2.0,14.78,111.53,0.0,112.50506344160692
5.31,117.0,2.0,17.55,103.23,0.0,104.7111999740238
6.07,116.0,2.0,19.2,96.65,0.0,98.53863455518349
6.83,116.0,2.0,20.33,91.96,0.0,94.18041463064388
7.59,116.0,2.0,21.66,87.62,0.0,90.25752046228614
8.35,115.0,1.0,22.79,83.25,0.0,86.31307316971167
9.11,115.0,1.0,23.92,79.58,0.0,83.09718888145375
9.86,116.0,1.0,24.84,76.81,0.0,80.72670995401708
10.64,117.0,1.0,25.46,74.18,0.0,78.42757168241282
11.38,117.0,1.0,26.38,71.5,0.0,76.21124851358886
12.12,118.0,1.0,27.2,69.18,0.0,74.33513570311149
12.86,117.0,1.0,28.13,67.04,0.0,72.70253434372148
13.7,116.0,1.0,28.74,64.84,0.0,70.9239959393152
14.44,115.0,1.0,28.64,63.05,0.0,69.24992490970658
15.18,117.0,1.0,28.33,61.39,0.0,67.61154487215921
15.91,116.0,1.0,28.13,59.88,0.0,66.1582292689277
16.65,115.0,2.0,28.33,58.45,0.0,64.9537635553168
17.49,115.0,2.0,28.23,56.93,0.0,63.544927413602416
18.23,115.0,2.0,27.82,55.71,0.0,62.27002890636875
18.97,114.0,2.0,27.2,54.55,0.0,60.955249978980476
19.71,115.0,2.0,26.9,53.46,0.0,59.846316511544806
20.45,114.0,2.0,26.69,52.44,0.0,58.841394443027944
21.29,116.0,2.0,26.49,51.35,0.0,57.78012287975857
22.03,115.0,3.0,26.18,50.44,0.0,56.82944659241368
22.76,118.0,4.0,25.87,49.61,0.0,55.95005808754804
23.5,115.0,10.0,25.46,48.79,0.0,55.03340530986612
