R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.61,47.3,2.77,2.98,31.89,0.0,32.02893223321689
1.22,70.4,3.27,8.37,39.0,0.0,39.888054602850715
1.84,83.7,2.5,14.43,37.15,0.0,39.8540763285263
2.45,89.1,2.45,17.93,36.43,0.0,40.60332252414819
3.07,91.7,2.48,20.44,35.9,0.0,41.31105905202625
3.68,95.1,3.01,21.54,34.58,0.0,40.74000490917987
4.3,96.9,3.62,21.34,33.94,0.0,40.091385608382254
4.91,100.0,3.9,23.04,32.94,0.0,40.19807458075573
5.52,103.0,4.82,25.45,31.6,0.0,40.57416049655248
6.13,106.0,4.97,25.55,31.05,0.0,40.21075726717914
