R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
2.89,189.0,10.0,7.68,203.92,89.57,222.856756011569
5.77,212.0,5.0,21.36,229.24,63.44,238.81344350768867
8.66,206.0,5.0,17.89,197.87,51.78,205.3138022637543
11.54,200.0,5.0,24.41,185.0,44.86,191.9199512817779
14.43,172.0,12.0,25.8,159.52,40.12,166.49890329969145
17.31,190.0,10.0,25.8,143.29,36.63,150.1313458275786
20.2,169.0,10.0,23.72,130.86,33.91,137.24746300023182
23.08,150.0,10.0,20.53,121.26,31.72,127.01034170491788
28.85,160.0,10.0,17.48,107.36,28.37,112.4125299955481
31.74,155.0,10.0,16.5,102.03,27.05,106.83666692666895
34.62,151.0,12.0,15.67,97.49,25.9,102.08162910142059
