R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.26,14.6,13.0,-0.5,5.06,0.0,5.084643546995206
0.44,10.0,7.0,-0.86,8.17,0.0,8.215138465053403
0.77,10.7,7.13,-1.55,13.14,0.0,13.23110350651071
0.89,17.4,9.6,-1.78,14.55,0.0,14.658475364102502
1.22,23.5,11.2,-2.43,17.29,0.0,17.45992554394205
1.55,31.0,5.2,-2.98,18.37,0.0,18.61013970930901
1.8,32.3,2.41,-3.18,18.25,0.0,18.524980431838518
2.21,40.9,5.9,-3.53,19.06,0.0,19.384130106868348
2.31,43.8,4.26,-3.66,19.39,0.0,19.732402286594503
2.54,44.8,4.5,-4.08,20.16,0.0,20.568714106623194
3.1,51.7,12.7,-5.16,22.16,0.0,22.752828395608315
3.43,55.7,4.5,-4.94,23.71,0.0,24.21915977072698
3.86,59.4,9.85,-3.07,24.94,0.0,25.128241084485005
4.09,62.0,4.5,1.31,25.34,0.0,25.37383888969109
4.37,63.0,3.2,4.42,25.74,0.0,26.11673792800318
4.76,66.6,6.9,7.13,26.09,0.0,27.046718839814933
5.4,71.3,2.95,11.25,26.17,0.0,28.48563497624724
5.86,72.3,15.5,13.88,25.92,0.0,29.402394460315644
6.08,73.4,6.0,14.94,25.73,0.0,29.75292422603197
6.43,72.4,5.81,16.72,25.39,0.0,30.400830580758807
6.97,77.1,12.1,19.67,24.74,0.0,31.606589502823617
7.96,80.3,13.5,24.09,23.76,0.0,33.83586410895989
10.29,84.7,6.0,31.66,22.09,0.0,38.60471085243354
15.49,86.9,5.6,39.34,17.78,0.0,43.17133308110835
16.26,85.8,8.6,39.55,17.09,0.0,43.08445891501946
