R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.82,107.0,25.6,8.12,32.7,0.0,33.69309127996421
2.46,159.0,26.5,22.67,79.76,0.0,82.91915641153135
4.1,194.0,13.9,31.68,107.57,0.0,112.13798330628208
5.74,198.0,14.6,34.72,124.14,0.0,128.90390994845734
7.38,211.0,13.2,31.78,137.6,0.0,141.22226594981402
9.02,222.0,13.6,23.89,155.68,0.0,157.50236347433014
10.65,230.0,11.6,14.68,168.58,0.0,169.21796240352265
12.29,239.0,11.6,14.98,175.29,0.0,175.92891888487236
13.93,237.0,11.6,26.72,175.91,0.0,177.92775640691926
15.57,240.0,11.6,39.88,176.17,0.0,180.6274710557616
17.21,245.0,11.6,50.51,175.33,0.0,182.46059574604047
18.85,249.0,11.6,57.09,172.3,0.0,181.5118676560847
20.49,248.0,11.6,60.02,168.12,0.0,178.51256202295679
22.13,250.0,11.6,60.43,164.68,0.0,175.417465778069
23.77,255.0,11.6,58.91,161.19,0.0,171.61761040173005
25.41,244.0,14.9,57.29,157.33,0.0,167.436175899953
27.05,244.0,11.6,58.0,153.64,0.0,164.22317010702233
28.68,249.0,11.6,61.94,149.77,0.0,162.0728740412781
30.32,251.0,11.6,65.99,146.07,0.0,160.28451266419972
31.96,249.0,11.6,67.21,143.32,0.0,158.29657766357425
33.6,244.0,12.9,64.98,140.67,0.0,154.95305514897083
35.24,239.0,16.2,62.25,138.0,0.0,151.39043067512557
36.88,238.0,18.4,61.64,135.58,0.0,148.93430095179554
38.52,241.0,24.9,63.36,133.6,0.0,147.86294194286816
40.16,237.0,23.0,64.98,131.71,0.0,146.86702999652442
41.8,228.0,14.0,64.88,130.03,0.0,145.3176358877339
43.44,233.0,16.9,63.87,129.69,0.0,144.56442508445846
45.08,233.0,13.7,64.47,130.42,0.0,145.48456034919994
46.71,230.0,11.6,69.03,123.79,0.0,141.73603987694875
48.35,226.0,11.6,76.21,119.55,0.0,141.77505633925875
49.99,225.0,11.6,82.59,116.42,0.0,142.74005919853053
