R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.58,23.9,3.87,1.43,21.96,0.0,22.00651040033381
1.17,34.7,3.87,3.24,34.79,0.0,34.940545216123915
1.75,42.8,3.87,-0.61,43.08,0.0,43.08431849292733
2.33,51.3,3.87,-3.66,48.67,0.0,48.80742259124118
2.91,57.7,3.87,9.71,52.39,0.0,53.28223155987369
3.5,67.3,3.87,13.91,55.75,0.0,57.45912112101959
4.07,75.4,3.87,18.68,58.69,0.0,61.59105860431366
4.65,79.5,3.87,24.75,61.08,0.0,65.90393690819995
5.23,82.8,3.87,27.13,61.82,0.0,67.5111050124348
5.82,85.6,3.87,28.72,60.87,0.0,67.30523976630646
