R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.47,15.3,4.4,0.25,12.99,0.0,12.992405473968244
1.41,41.0,4.36,0.88,32.88,0.0,32.891774047624736
2.35,60.7,4.4,1.88,41.13,0.0,41.172943785937875
3.29,74.9,4.4,3.41,42.43,0.0,42.566806316659466
4.22,83.0,6.28,5.43,44.37,0.0,44.701026833843535
5.17,86.8,4.4,7.8,46.69,0.0,47.33704785894448
6.11,89.4,4.4,10.44,48.85,0.0,49.95313904050475
7.05,92.5,4.4,13.15,49.34,0.0,51.06229626642343
7.99,94.7,4.4,16.07,50.15,0.0,52.661821085108706
8.92,96.3,4.4,18.98,49.17,0.0,52.706065115885856
9.87,97.8,4.4,21.99,49.76,0.0,54.40236851461524
10.79,98.8,4.62,25.0,50.33,0.0,56.197054193258204
11.8,99.5,4.4,27.82,50.68,0.0,57.813621232370494
12.6,99.7,5.14,30.02,50.19,0.0,58.48278806623364
