R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.28,11.9,7.89,0.95,6.22,0.0,6.2921300050142
0.87,34.8,7.89,2.93,17.64,0.0,17.881680569789854
1.46,58.5,8.68,4.98,27.33,0.0,27.78001619869938
2.05,81.5,14.2,7.2,35.16,0.0,35.88963081448456
2.35,91.8,17.5,8.24,37.71,0.0,38.599762952640006
4.76,114.0,8.68,16.62,45.06,0.0,48.02736719829643
7.86,116.0,8.68,34.33,41.16,0.0,53.59752326367329
8.7,117.0,16.6,39.57,40.09,0.0,56.32932628746771
10.18,118.0,51.9,39.57,38.11,0.0,54.93775568768714
10.47,118.0,40.3,39.57,37.78,0.0,54.70935294810203
