R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.31,3.1,4.5,1.0,4.05,0.0,4.17163037672323
1.47,15.7,8.5,4.69,16.67,0.0,17.317187993435887
2.52,28.0,10.0,7.69,21.39,0.0,22.73033655712119
3.35,36.0,11.0,9.58,24.52,0.0,26.325022317179524
4.09,43.6,4.5,11.47,24.68,0.0,27.21512998315459
4.82,49.8,4.5,13.0,26.85,0.0,29.831568849123578
6.6,61.5,4.5,16.38,35.05,0.0,38.68858875689316
7.86,68.1,12.2,18.53,38.67,0.0,42.880412777863974
9.43,73.4,12.2,20.89,42.63,0.0,47.473245096580456
11.43,77.6,11.0,23.34,39.29,0.0,45.69966848895077
22.85,78.9,11.0,36.96,26.56,0.0,45.51346174485083
