R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
5.03,214.0,6.0,0.0,178.85,0.0,178.85
7.55,220.0,6.0,0.0,207.41,0.0,207.41
10.07,235.0,4.0,0.0,227.06,0.0,227.06
12.58,235.0,4.0,16.93,232.81,0.0,233.42476518141774
15.1,230.0,2.0,24.45,224.63,0.0,225.95672019216423
17.61,231.0,2.0,31.1,217.25,0.0,219.46474090386363
20.13,232.0,2.0,42.26,208.93,0.0,213.16109518390076
22.65,225.0,7.0,53.67,198.38,0.0,205.51178384705827
25.16,224.0,7.0,49.79,187.6,0.0,194.09483274935477
27.68,229.0,2.0,54.3,177.97,0.0,186.069371203323
30.2,218.0,2.0,64.08,169.55,0.0,181.25520378736718
32.71,214.0,2.0,61.58,162.23,0.0,173.52426141609132
35.23,213.0,2.0,64.96,155.53,0.0,168.5508306120145
37.75,211.0,2.0,61.95,149.39,0.0,161.72561516346136
40.26,217.0,2.0,63.21,143.82,0.0,157.09772913699294
42.78,216.0,3.0,60.7,138.81,0.0,151.50150527305001
45.29,215.0,3.0,60.57,134.25,0.0,147.28132060787615
47.81,217.0,5.0,60.07,130.16,0.0,143.35281824924127
50.33,214.0,5.0,62.33,126.52,0.0,141.04020455175183
