R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
1.07,22.1,7.17,1.98,18.3,0.0,18.40680309016207
1.78,42.7,10.66,4.03,24.51,0.0,24.83910223820499
2.49,60.6,7.69,6.25,27.45,0.0,28.152530969701463
2.97,76.8,11.1,7.78,28.28,0.0,29.33064608903118
3.04,81.6,17.5,8.01,28.2,0.0,29.315526602808962
3.19,87.0,8.93,8.49,28.16,0.0,29.411999252005973
6.95,90.0,24.8,17.83,29.57,0.0,34.52960758537519
8.58,97.8,9.4,22.83,29.09,0.0,36.978872346246575
9.26,93.7,25.3,24.91,28.73,0.0,38.02526791490101
9.89,103.0,23.8,26.69,28.7,0.0,39.19242401281146
10.08,97.4,11.0,27.31,28.73,0.0,39.63898333711398
11.84,106.5,9.48,30.86,27.77,0.0,41.515208056807325
14.56,112.0,11.0,30.44,25.73,0.0,39.8575776986008
15.43,111.5,9.4,30.7,25.11,0.0,39.661090504422596
17.93,111.0,24.3,33.36,23.48,0.0,40.794607486774524
19.02,112.5,7.75,34.35,22.95,0.0,41.311318061761234
20.1,106.0,10.7,35.34,22.07,0.0,41.6653393121909
