R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
1.74,145.0,6.8,17.89,202.16,0.0,202.95003744764375
3.5,174.0,6.8,17.67,210.45,0.0,211.19050972995922
5.24,194.0,6.4,27.48,211.51,0.0,213.28767076415832
6.98,190.0,5.5,42.57,187.95,0.0,192.71068314963753
8.81,186.0,5.8,48.28,172.49,0.0,179.1193973303841
10.9,188.0,7.0,45.48,161.01,0.0,167.31004303388366
13.12,187.0,8.5,43.32,148.11,0.0,154.31524390027062
15.33,179.0,12.6,43.11,134.96,0.0,141.67806358078164
17.3,176.0,11.7,43.21,126.37,0.0,133.5532889898261
19.05,167.0,13.5,44.51,119.3,0.0,127.33275344545095
