galaxy,field_M_disk,field_R_disk,field_rho_c0,field_R_c,field_chi2_red,phenom_M_disk,phenom_R_disk,phenom_rho_c0,phenom_R_c,phenom_chi2_red,ratio_rho,ratio_R,ratio_chi2
CamB,281412570.5097084,1.08,1045577.0925337967,11.699778652489549,0.9229448813352799,9818347.961046202,1.08,8164461.338090689,3.0782003756884397,0.0265468464318529,0.1280644306141465,3.800850245128338,34.766648600033385
DDO154,2295404334.716976,1.66117838124459,24881804.710700184,15.446878244902209,1.0864077891458863,97275353.08213133,1.0579426419823634,30346482.532214932,1.4832946927367283,4.537523589859459,0.8199238473284801,10.413897063436668,0.23942746910976073
DDO168,3548918725.823605,1.6585519027205335,54947193.93164104,50.0,2.726063035434581,3646670151.695899,1.7075887303383466,7323971.448665828,0.5,3.7431487258266793,7.502376861620685,100.0,0.7282807163459759
NGC2403,20720301016.68775,2.1346124928873573,372508498.1817115,50.0,168.9006608060581,9569973579.84977,3.190242368037432,906631714.031266,0.5107357560394785,9.76902306156707,0.4108708005871337,97.89798229073888,17.28941161686278
DDO064,1791373342.2647,1.1579142637256086,15891395.283916911,50.0,0.45490501407410533,1655785581.0689216,1.289060028580035,12736854.677478127,1.788761974935997,0.4837334234918177,1.2476702990116377,27.952293653709308,0.9404043466551987
