parameter,level,variants,mean_heldout_roots,safe_variant_fraction,median_safe_cluster_RMS_arcsec,mean_SPARC_outer_RMSE_km_s
width_over_R80,0.18,9,8.0,0.0,,71.0069228479115
width_over_R80,0.23,9,9.0,0.1111111111111111,19.159352387520663,71.07865223381424
width_over_R80,0.28,9,8.333333333333334,0.0,,71.1634434634563
route_fraction_multiplier,0.5,9,7.888888888888889,0.0,,71.2363876760427
route_fraction_multiplier,0.75,9,8.444444444444445,0.0,,71.08075883286396
route_fraction_multiplier,1.0,9,9.0,0.1111111111111111,19.159352387520663,70.93187203627538
contrast_cap,5.0,9,8.444444444444445,0.0,,71.08300618172734
contrast_cap,10.0,9,8.444444444444445,0.0,,71.08300618172734
contrast_cap,20.0,9,8.444444444444445,0.1111111111111111,19.159352387520663,71.08300618172734
