routing_fraction,radius_kpc,inward_acceleration_km2_s2_kpc,circular_speed_km_s,azimuthal_scatter_fraction,ring_cells
0.0,0.375,243.23087502447504,9.550475283156233,0.3078808794141128,8
0.0,0.75,313.31693840278456,15.329308653755016,0.21921274133744226,12
0.0,1.125,339.7707404069203,19.551012325651715,0.25243278895624127,16
0.0,1.5,389.58963985271026,24.17404516788751,0.24955058055822746,32
0.0,1.875,448.278794033366,28.99177019108287,0.22508003637399276,28
0.0,2.25,466.0219026160841,32.381310672766,0.20163140718107125,40
0.0,2.625,475.707390447364,35.33740086543336,0.18043352582258204,40
0.0,3.0,482.2248631488239,38.035175685757935,0.20561652476236872,48
0.0,3.375,491.78570758941595,40.740357915883344,0.2175056485611392,68
0.0,3.75,502.61809362979324,43.414488953709046,0.2070191121365379,56
0.0,4.125,497.00006544460405,45.278309044828426,0.18554278267813565,72
0.0,4.5,495.0386404217706,47.19824024153832,0.14074329476596864,68
0.0,4.875,491.299056068835,48.93958416594455,0.142178159316969,88
0.0,5.25,488.88902627450403,50.66228763035821,0.16755095360347091,88
0.0,5.625,481.391830951469,52.036804754923345,0.16657598248516817,84
0.0,6.0,474.7061546259536,53.36887602110168,0.16284761824740596,112
0.0,6.375,456.03935749987494,53.918928995870296,0.14836180589198847,112
0.0,6.75,444.5380662976365,54.778024311844675,0.1453818713382388,112
0.0,7.125,434.7234753696475,55.65433282331878,0.15481504116356132,116
0.0,7.5,429.2377892409218,56.738729447414606,0.1579731233874508,112
0.0,7.875,418.0012907091464,57.37386307661815,0.15269988522628017,144
0.0,8.25,405.1769780837357,57.81617480593834,0.13079521990813434,140
0.0,8.625,385.0793034398789,57.63079898950696,0.10953370098060206,144
0.0,9.0,364.70690326540694,57.291902825693114,0.1001851960010844,144
0.0,9.375,346.12234313374495,56.96399711114783,0.08877120902267174,168
0.0,9.75,333.64217647353445,57.03517529224366,0.07536817808549677,164
0.0,10.125,321.2576946175104,57.03274636559503,0.06645239802770202,160
0.0,10.5,310.0119797036348,57.05370966806773,0.056927190093778814,184
0.0,10.875,300.68165154944876,57.18315276897781,0.05099459621161518,172
0.0,11.25,290.57163657996153,57.17456524998303,0.0689331515391268,200
0.0,11.625,282.6312819074297,57.32005453742931,0.0885498612570716,192
0.05,0.375,243.23087502232653,9.550475283114054,0.3078808793259713,8
0.05,0.75,313.31693837125704,15.32930865298376,0.21921274130316826,12
0.05,1.125,339.77074035059746,19.55101232403126,0.25243278894025506,16
0.05,1.5,389.58963977383087,24.174045165440273,0.24955058055795704,32
0.05,1.875,448.2787939365886,28.991770187953403,0.2250800363827269,28
0.05,2.25,466.0219025157796,32.38131066928119,0.201631407200734,40
0.05,2.625,475.70739035082914,35.33740086184787,0.18043352584871933,40
0.05,3.0,482.2248630597708,38.035175682245935,0.2056165247888912,48
0.05,3.375,491.7857075112582,40.74035791264598,0.21750564858725155,68
0.05,3.75,502.6180935632886,43.41448895083682,0.20701911216157245,56
0.05,4.125,497.00006538819173,45.278309042258755,0.18554278269962585,72
0.05,4.5,495.03864037410176,47.198240239265886,0.1407432947759789,68
