routing_fraction,registered_P0693_marker,mixed_source_identity_relative_RMS,field_normalized_residual_RMS,boundary_maximum_relative_mismatch,points,RMSE_km_s,weighted_RMSE_km_s,mean_bias_km_s,RMSE_to_algebraic_MOND_ratio,weighted_RMSE_to_algebraic_MOND_ratio,RMSE_to_3D_QUMOND_ratio,passes_all_diagnostic_viability_gates,failed_diagnostic_gates
0.0,False,0.0,4.469013637758747e-14,0.0,12,3.943087279935182,3.274006690709176,-1.4095195851296296,1.3521869948270782,2.6713901173259162,1.0017884761807447,False,"RMSE_vs_MOND,weighted_RMSE_vs_MOND,RMSE_vs_3D_QUMOND"
0.05,False,0.0,4.216546612871819e-14,0.0,12,3.9430872812531974,3.274006693395773,-1.4095195873636197,1.35218699527906,2.671390119518016,1.0017884765156024,False,"RMSE_vs_MOND,weighted_RMSE_vs_MOND,RMSE_vs_3D_QUMOND"
0.08352413225178856,True,0.0,4.5421189478976044e-14,0.0,12,3.943087282136909,3.2740066951971047,-1.4095195888614722,1.3521869955821075,2.671390120987793,1.00178847674012,False,"RMSE_vs_MOND,weighted_RMSE_vs_MOND,RMSE_vs_3D_QUMOND"
0.1,False,0.0,4.267270617486263e-14,0.0,12,3.943087282571218,3.274006696082381,-1.4095195895976074,1.3521869957310435,2.6713901217101244,1.0017884768504615,False,"RMSE_vs_MOND,weighted_RMSE_vs_MOND,RMSE_vs_3D_QUMOND"
0.2,False,0.0,4.480352788381839e-14,0.0,12,3.943087285207255,3.274006701455585,-1.4095195940655818,1.3521869966350089,2.6713901260943316,1.001788477520178,False,"RMSE_vs_MOND,weighted_RMSE_vs_MOND,RMSE_vs_3D_QUMOND"
0.3,False,0.0,4.362733686820025e-14,0.0,12,3.9430872878432974,3.2740067068288057,-1.4095195985335647,1.3521869975389762,2.6713901304785526,1.0017884781898962,False,"RMSE_vs_MOND,weighted_RMSE_vs_MOND,RMSE_vs_3D_QUMOND"
0.4,False,0.0,4.3451569897060854e-14,0.0,12,3.943087290479332,3.274006712202008,-1.4095196030015362,1.3521869984429409,2.6713901348627584,1.0017884788596123,False,"RMSE_vs_MOND,weighted_RMSE_vs_MOND,RMSE_vs_3D_QUMOND"
0.5,False,0.0,4.3456219747944606e-14,0.0,12,3.9430872931153695,3.274006717575215,-1.4095196074695135,1.3521869993469067,2.6713901392469683,1.001788479529329,False,"RMSE_vs_MOND,weighted_RMSE_vs_MOND,RMSE_vs_3D_QUMOND"
0.6,False,0.0,4.568847096739246e-14,0.0,12,3.943087295751409,3.2740067229484313,-1.4095196119374929,1.3521870002508731,2.6713901436311858,1.0017884801990464,False,"RMSE_vs_MOND,weighted_RMSE_vs_MOND,RMSE_vs_3D_QUMOND"
0.7,False,0.0,4.32637195040862e-14,0.0,12,3.943087298387447,3.274006728321642,-1.4095196164054735,1.352187001154839,2.6713901480153983,1.0017884808687634,False,"RMSE_vs_MOND,weighted_RMSE_vs_MOND,RMSE_vs_3D_QUMOND"
0.8,False,0.0,4.397746381110671e-14,0.0,12,3.9430873010234833,3.2740067336948466,-1.4095196208734475,1.3521870020588043,2.671390152399606,1.0017884815384799,False,"RMSE_vs_MOND,weighted_RMSE_vs_MOND,RMSE_vs_3D_QUMOND"
0.9,False,0.0,4.292808685612191e-14,0.0,12,3.9430873036595235,3.274006739068055,-1.409519625341427,1.352187002962771,2.671390156783817,1.0017884822081975,False,"RMSE_vs_MOND,weighted_RMSE_vs_MOND,RMSE_vs_3D_QUMOND"
1.0,False,0.0,4.382153080162541e-14,0.0,12,3.9430873062955594,3.274006744441265,-1.4095196298094042,1.352187003866736,2.6713901611680293,1.001788482877914,False,"RMSE_vs_MOND,weighted_RMSE_vs_MOND,RMSE_vs_3D_QUMOND"
