radius_grid_cells,radius,cells,single_alignment_mean,single_alignment_median,dual_alignment_mean,dual_alignment_median
1,0.4,18,1.0,1.0,0.4444444444444444,0.0
2,0.8,62,0.9999500814798723,0.9999425100748561,0.39567387145833466,0.4291179629361699
3,1.2000000000000002,98,0.9999276753267475,0.9999784407472653,0.44361164364764827,0.32221899443922714
4,1.6,210,0.9999325572415273,0.9999194753042611,0.5063886825327798,0.4487597211869215
5,2.0,350,0.9999577147264722,0.9999677448003447,0.5952041258746025,0.7000378830678678
6,2.4000000000000004,450,0.9999874662196259,0.9999846888856238,0.7240894332904746,0.7436046445952196
7,2.8000000000000003,602,0.9999949054126946,0.9999961726557223,0.8196955576915034,0.8360616599857158
8,3.2,762,0.9999981310822801,0.999998176317342,0.8813317527692699,0.895704526963461
9,3.6,1142,0.9999992750164369,0.9999993734864362,0.92087174003165,0.9257489196399874
10,4.0,1250,0.999999628668826,0.9999996258579165,0.9509699465771296,0.9562892815878107
11,4.4,1458,0.9999997835084445,0.9999998116067241,0.9668372705629561,0.9706383038881895
12,4.800000000000001,1814,0.9999998265803738,0.9999998342069304,0.9780923419879776,0.9773496214011699
13,5.2,2178,0.999999812923206,0.9999998482260978,0.9869696533654371,0.9871189195437877
14,5.6000000000000005,2498,0.99999974980175,0.9999998064070218,0.9924848229222747,0.9946729828515093
15,6.0,2622,0.9999996001235683,0.9999997850763428,0.9957775355657066,0.9966609311127848
16,6.4,3338,0.9999995359016132,0.9999998845222594,0.9972853424947792,0.9974387766993693
17,6.800000000000001,3380,0.9999997787854924,0.999999946720692,0.9972806401478094,0.9981217332794668
18,7.2,3084,0.9999999279388376,0.9999999688769505,0.997988963640717,0.999062218721302
19,7.6000000000000005,2600,0.9999999695285229,0.9999999814110939,0.9987268003166241,0.9995470144305667
20,8.0,2412,0.9999999655487517,0.9999999732058384,0.9992387118953409,0.9997892732460409
21,8.4,2060,0.9999999632134093,0.9999999626550793,0.9996185666609503,0.9999057084607103
22,8.8,1464,0.9999999163006218,0.9999999405718031,0.9998591807189067,0.9999584208886191
23,9.200000000000001,1028,0.999999865273847,0.9999999282910544,0.9999675781055406,0.9999908447957079
24,9.600000000000001,536,0.9999997467484466,0.9999997682579759,0.9999911281722572,0.9999977971854221
25,10.0,336,0.9999995534439867,0.9999994911281638,0.9999981303501141,0.9999992348149311
26,10.4,104,0.999999269508731,0.9999993515429796,0.9999995488065715,0.9999999031571724
27,10.8,72,0.9999991420466886,0.9999990964775419,0.9999993392851887,0.9999990964775419
