variant,routing_fraction,radius_kpc,inward_acceleration_km2_s2_kpc,circular_speed_km_s,azimuthal_scatter_fraction,ring_cells
local_vector_coherence_projected_routing,0.08352413225178856,0.375,472.7258549158199,13.31436050260892,0.14628862319982913,8
local_vector_coherence_projected_routing,0.08352413225178856,0.75,601.0093236926898,21.231038428902092,0.030127622504171284,12
local_vector_coherence_projected_routing,0.08352413225178856,1.125,612.2247971206366,26.244102132873895,0.03019406508073436,16
local_vector_coherence_projected_routing,0.08352413225178856,1.5,612.9503522745804,30.3220304137416,0.02959009792475872,32
local_vector_coherence_projected_routing,0.08352413225178856,1.875,610.4981105337687,33.833178349821296,0.03221438375054998,28
local_vector_coherence_projected_routing,0.08352413225178856,2.25,594.6176905179861,36.57717599358197,0.02758638792584027,40
local_vector_coherence_projected_routing,0.08352413225178856,2.625,576.5598552516024,38.90333687533058,0.024499183093546813,40
local_vector_coherence_projected_routing,0.08352413225178856,3.0,557.9630385186116,40.91318999486394,0.03193484649701322,48
local_vector_coherence_projected_routing,0.08352413225178856,3.375,538.94096413167,42.64886579903838,0.03737634766330508,68
local_vector_coherence_projected_routing,0.08352413225178856,3.75,521.1561089935741,44.20786591462998,0.03674723911175861,56
local_vector_coherence_projected_routing,0.08352413225178856,4.125,502.61755488713453,45.53347575036887,0.03534464232422501,72
local_vector_coherence_projected_routing,0.08352413225178856,4.5,485.51988939700544,46.74226676453041,0.030102654554108592,68
local_vector_coherence_projected_routing,0.08352413225178856,4.875,468.01414241823005,47.765771681077986,0.033665728770897047,88
local_vector_coherence_projected_routing,0.08352413225178856,5.25,451.115628374126,48.66576875961338,0.03984060028280447,88
local_vector_coherence_projected_routing,0.08352413225178856,5.625,434.6288193036795,49.444788487596924,0.03899431943325721,84
local_vector_coherence_projected_routing,0.08352413225178856,6.0,417.8664213912404,50.0719335391339,0.03860190251565905,112
local_vector_coherence_projected_routing,0.08352413225178856,6.375,398.7645630066765,50.419481246513854,0.032886530614655865,112
local_vector_coherence_projected_routing,0.08352413225178856,6.75,382.5496836645113,50.81545399517209,0.030087487103276585,112
local_vector_coherence_projected_routing,0.08352413225178856,7.125,368.33933237473855,51.229071269836744,0.029982775784091267,116
local_vector_coherence_projected_routing,0.08352413225178856,7.5,355.62293362245407,51.64467060760873,0.029273174578628484,112
local_vector_coherence_projected_routing,0.08352413225178856,7.875,342.12777302349355,51.90622518118623,0.029364902187749262,144
local_vector_coherence_projected_routing,0.08352413225178856,8.25,328.04037929563367,52.02242909735163,0.025989370795550876,140
local_vector_coherence_projected_routing,0.08352413225178856,8.625,314.1524538040924,52.053481286656485,0.02250678317787417,144
local_vector_coherence_projected_routing,0.08352413225178856,9.0,301.300554392827,52.074033735974815,0.02060971708747871,144
local_vector_coherence_projected_routing,0.08352413225178856,9.375,288.7684489175864,52.030800576219974,0.018939609663016964,168
local_vector_coherence_projected_routing,0.08352413225178856,9.75,277.7492633178581,52.03897882692469,0.016371547793992688,164
local_vector_coherence_projected_routing,0.08352413225178856,10.125,267.7472382754529,52.06669556961494,0.014512492426547752,160
local_vector_coherence_projected_routing,0.08352413225178856,10.5,258.45389774775435,52.09381850422774,0.013401802977739864,184
local_vector_coherence_projected_routing,0.08352413225178856,10.875,249.7461272173196,52.115152628466426,0.01095944686149811,172
local_vector_coherence_projected_routing,0.08352413225178856,11.25,241.39873163780368,52.1127213924325,0.012069906495912552,200
local_vector_coherence_projected_routing,0.08352413225178856,11.625,233.69241657977227,52.12172620644728,0.012141973818784742,192
