candidate_id,catalog_name,catalog_normalized_id,z,logc,e_logc,logw,e_logw,logP3_P0,e_logP3_P0,logalpha,e_logalpha,kappa,delta,e_delta,primary_state,multimetric_finite,relaxed_direction_votes,disturbed_direction_votes,morphology_class,eligible_for_balanced_metadata_pool
ACT-CL_J0206.2-0114,ACTCLJ0206-0114,ACTCLJ02060114,0.676,-0.81,0.01,-1.74,0.01,-7.0,0.14,-0.85,0.01,2.35,1.35,0.01,secure_disturbed,True,1,2,confirmed_disturbed,True
ACT-CL_J0248.2+0238,ACTCLJ0248.2+0238,ACTCLJ024820238,0.5568,-0.7,0.01,-1.69,0.03,-6.12,0.16,-0.87,0.01,1.61,0.79,0.01,secure_disturbed,True,1,2,confirmed_disturbed,True
SPT-CLJ0151-5954,SPTCLJ0151-5954,SPTCLJ01515954,,,,,,,,-0.83,0.01,2.22,1.27,0.01,secure_disturbed,False,,,secure_disturbed_missing_multimetric,False
SPT-CLJ0156-5541,SPTCLJ0156-5541,SPTCLJ01565541,,,,,,,,-1.25,0.01,1.55,0.49,0.01,secure_disturbed,False,,,secure_disturbed_missing_multimetric,False
SPT-CLJ0234-5831,SPTCLJ0234-5831,SPTCLJ02345831,0.415,-0.32,0.01,-2.73,0.01,-7.32,0.06,-1.47,0.01,0.74,-0.25,0.01,secure_relaxed,True,3,0,confirmed_relaxed,True
SPT-CLJ0304-4401,SPTCLJ0304-4401,SPTCLJ03044401,0.52,-0.93,0.03,-1.57,0.04,-4.71,0.02,-0.35,0.01,1.93,1.38,0.01,secure_disturbed,True,0,3,confirmed_disturbed,True
SPT-CLJ0313-5334,SPTCLJ0313-5334,SPTCLJ03135334,1.37,-0.53,0.01,-1.56,0.02,-4.69,0.09,-0.7,0.06,1.2,0.61,0.04,secure_disturbed,True,1,2,confirmed_disturbed,True
SPT-CLJ0329-2330,SPTCLJ0329-2330,SPTCLJ03292330,,,,,,,,-1.31,0.01,1.52,0.43,0.01,secure_disturbed,False,,,secure_disturbed_missing_multimetric,False
SPT-CLJ0446-5849,SPTCLJ0446-5849,SPTCLJ04465849,1.16,-0.77,0.07,-1.96,0.12,-4.86,0.14,-0.31,0.01,1.47,1.07,0.01,secure_disturbed,True,1,2,confirmed_disturbed,True
SPT-CLJ0449-4901,SPTCLJ0449-4901,SPTCLJ04494901,0.7853,-0.9,0.01,-1.44,0.01,-6.57,0.19,-0.63,0.01,2.03,1.26,0.01,secure_disturbed,True,1,2,confirmed_disturbed,True
SPT-CLJ0459-4947,SPTCLJ0459-4947,SPTCLJ04594947,,,,,,,,-0.82,0.01,1.07,0.43,0.01,secure_disturbed,False,,,secure_disturbed_missing_multimetric,False
SPT-CLJ0533-5005,SPTCLJ0534-5005,SPTCLJ05345005,0.881,-0.68,0.01,-1.28,0.01,-4.03,0.02,-0.2,0.01,1.37,1.07,0.01,secure_disturbed,True,0,3,confirmed_disturbed,True
SPT-CLJ0607-4448,SPTCLJ0607-4448,SPTCLJ06074448,1.43,-0.41,0.03,-2.43,0.16,-4.34,0.04,-0.85,0.02,1.21,0.52,0.01,secure_disturbed,True,2,1,discordant_extreme,True
SPT-CLJ0640-5113,SPTCLJ0640-5113,SPTCLJ06405113,1.25,-0.47,0.01,-2.28,0.03,-7.24,0.2,-1.03,0.03,1.0,0.24,0.02,secure_disturbed,True,3,0,discordant_extreme,True
SPT-CLJ0646-6236,SPTCLJ0646-6236,SPTCLJ06466236,1.2,-0.71,0.08,-1.76,0.17,-4.66,0.35,-0.69,0.04,2.3,1.42,0.03,secure_disturbed,True,0,3,confirmed_disturbed,True
SPT-CLJ2034-5936,SPTCLJ2034-5936,SPTCLJ20345936,0.92,-0.65,0.01,-2.25,0.01,-6.17,0.08,-0.87,0.01,1.48,0.7,0.01,secure_disturbed,True,3,0,discordant_extreme,True
SPT-CLJ2040-4451,SPTCLJ2040-4451,SPTCLJ20404451,1.478,-0.79,0.01,-1.29,0.01,-5.57,0.06,-0.5,0.01,1.85,1.22,0.01,secure_disturbed,True,0,3,confirmed_disturbed,True
SPT-CLJ2236-4555,SPTCLJ2236-4555,SPTCLJ22364555,,,,,,,,-0.6,0.01,1.35,0.79,0.01,secure_disturbed,False,,,secure_disturbed_missing_multimetric,False
SPT-CLJ2258-4044,SPTCLJ2258-4044,SPTCLJ22584044,,,,,,,,-0.74,0.01,1.63,0.9,0.01,secure_disturbed,False,,,secure_disturbed_missing_multimetric,False
SPT-CLJ2329-5831,SPTCLJ2329-5831,SPTCLJ23295831,0.81,-0.48,0.01,-2.6,0.01,-5.24,0.05,-0.72,0.01,1.37,0.72,0.01,secure_disturbed,True,2,1,discordant_extreme,True
SPT-CLJ2337-5942,SPTCLJ2337-5942,SPTCLJ23375942,0.7814,-0.69,0.02,-1.73,0.02,-6.22,0.1,-1.01,0.01,1.48,0.6,0.01,secure_disturbed,True,1,2,confirmed_disturbed,True
SPT-CLJ2341-5724,SPTCLJ2341-5724,SPTCLJ23415724,1.38,-0.51,0.02,-2.3,0.03,-5.71,0.15,-0.56,0.01,1.17,0.68,0.01,secure_disturbed,True,2,1,discordant_extreme,True
SPT-CLJ2344-4243,SPTCLJ2344-4243,SPTCLJ23444243,0.596,-0.36,0.01,-1.81,0.06,-7.52,0.28,-1.69,0.02,0.48,-0.59,0.01,secure_relaxed,True,3,0,confirmed_relaxed,True
Z2089,Z2089,Z2089,0.2492,-0.21,0.01,-3.56,0.01,-7.72,0.02,-1.39,0.01,0.59,-0.3,0.01,secure_relaxed,True,3,0,confirmed_relaxed,True
