object_class,label,system_path_coordinate
galaxy,CamB,1.1319125204743417
galaxy,D631-7,1.0136110442601958
galaxy,DDO064,1.4244282714976944
galaxy,DDO154,1.057284536051372
galaxy,DDO161,1.0346826160007103
galaxy,DDO168,1.202832457377965
galaxy,DDO170,1.056441241365089
galaxy,ESO079-G014,1.4078881862076214
galaxy,ESO116-G012,1.2490364953405284
galaxy,ESO563-G021,0.9600913766931445
galaxy,F568-3,1.6050635744328734
galaxy,F568-V1,1.5924996587566433
galaxy,F571-8,1.1659775110024018
galaxy,F574-1,1.3009572886196055
galaxy,F583-1,1.675941537341648
galaxy,F583-4,1.1634717782053505
galaxy,IC2574,1.2511685583306573
galaxy,IC4202,1.1057908897796491
galaxy,KK98-251,1.4033712177672815
galaxy,NGC0024,1.5632712989600903
galaxy,NGC0055,1.102355431045071
galaxy,NGC0100,1.25152097342687
galaxy,NGC0247,1.1151627664311634
galaxy,NGC0289,0.9859289456010507
galaxy,NGC0300,0.9522052795368914
galaxy,NGC0801,1.0265097067040556
galaxy,NGC0891,1.0474963096529046
galaxy,NGC1003,1.2299440257584031
galaxy,NGC1090,1.0926416405731427
galaxy,NGC2403,1.2517581525998007
galaxy,NGC2683,0.9725695604816968
galaxy,NGC2841,1.1244563790732607
galaxy,NGC2903,1.0097899503828978
galaxy,NGC2915,1.2937996071943898
galaxy,NGC2955,1.3471579895602048
galaxy,NGC2976,1.3450455735715832
galaxy,NGC2998,1.1158343201055794
galaxy,NGC3109,1.2825105239138028
galaxy,NGC3198,1.321543063520728
galaxy,NGC3521,1.1268827106598893
galaxy,NGC3726,0.9500202595554671
galaxy,NGC3741,1.4094696229114223
galaxy,NGC3769,1.2072753132167715
galaxy,NGC3877,1.1460453622572309
galaxy,NGC3893,1.0331104556836443
galaxy,NGC3917,1.0707296012904162
galaxy,NGC3953,1.0678057618337458
galaxy,NGC3972,1.0581881934546005
galaxy,NGC3992,0.9763612835463563
galaxy,NGC4010,1.1423513728510626
galaxy,NGC4013,1.0089212130606109
galaxy,NGC4088,0.9860801842366766
galaxy,NGC4100,0.9616053100062127
galaxy,NGC4157,1.0011531327915162
galaxy,NGC4183,1.035654105843696
galaxy,NGC4217,0.9974420868508573
galaxy,NGC4559,1.2912457271992668
galaxy,NGC5005,1.2049581960272198
galaxy,NGC5033,0.9672232669216534
galaxy,NGC5055,1.0784692317386972
galaxy,NGC5371,0.9090283644498256
galaxy,NGC5585,1.5123576381742458
galaxy,NGC5907,1.0269825551114586
galaxy,NGC5985,1.1959913310431416
galaxy,NGC6015,0.973886156134085
galaxy,NGC6195,1.1528634676736953
galaxy,NGC6503,1.03360235682135
galaxy,NGC6674,0.9845640836407796
galaxy,NGC6946,0.9254788024567145
galaxy,NGC7331,0.9622652059081591
galaxy,NGC7793,1.3944918595690157
galaxy,NGC7814,1.00004158409528
galaxy,UGC00128,0.9509552474858175
galaxy,UGC00191,1.571707208442123
galaxy,UGC00731,1.2588219472092599
galaxy,UGC01281,1.5313042057678512
galaxy,UGC02259,1.170201032988158
galaxy,UGC02487,0.9895201608251348
galaxy,UGC02885,1.1223518286495806
galaxy,UGC02916,1.6834814285122646
galaxy,UGC02953,0.9593278285217318
galaxy,UGC03205,1.0825593285451705
galaxy,UGC03546,1.0083795523311208
galaxy,UGC03580,1.559115543561915
galaxy,UGC04278,1.1764705949867358
galaxy,UGC04325,1.2382579597941479
galaxy,UGC04483,1.2936904658225363
galaxy,UGC04499,1.237584605889249
galaxy,UGC05005,1.4538236344378326
galaxy,UGC05253,1.392819453372074
galaxy,UGC05716,1.1587377001053882
galaxy,UGC05721,1.4361034266659651
galaxy,UGC05750,1.8536413452382277
galaxy,UGC05764,1.122482987425898
galaxy,UGC05829,1.2761326926230305
galaxy,UGC05918,1.2500460036992447
galaxy,UGC05986,1.0812015366278207
galaxy,UGC06399,1.2338010248507778
galaxy,UGC06446,1.2336681108449283
galaxy,UGC06614,1.3736102798924021
galaxy,UGC06667,1.240382293776805
galaxy,UGC06786,1.0837202244023527
galaxy,UGC06787,1.1950354356422273
galaxy,UGC06818,1.2827513475644512
galaxy,UGC06917,1.2610622520617751
galaxy,UGC06930,0.971661833690697
galaxy,UGC06983,1.1722890029274742
galaxy,UGC07089,1.2517882325120602
galaxy,UGC07125,1.0125822147351267
galaxy,UGC07151,1.2926744825615482
galaxy,UGC07323,1.2176850948118534
galaxy,UGC07399,1.2052619956023185
galaxy,UGC07524,1.2946475483086226
galaxy,UGC07577,1.2409839700176482
galaxy,UGC07603,1.2540334479721957
galaxy,UGC08286,1.1683456848134333
galaxy,UGC08490,1.0913369992024995
galaxy,UGC08550,1.2744823249582766
galaxy,UGC08699,1.0858836230678501
galaxy,UGC08837,1.2379191057637426
galaxy,UGC09037,1.2126988739959172
galaxy,UGC09133,1.039665264064293
galaxy,UGC11455,1.0743197525213475
galaxy,UGC11557,1.3842277627795414
galaxy,UGC11820,1.3059867708404609
galaxy,UGC11914,1.2267001615687587
galaxy,UGC12506,1.2298454013694171
galaxy,UGC12632,1.2857069702239312
galaxy,UGC12732,1.2422196685214024
galaxy,UGCA442,0.8801849713411963
galaxy,UGCA444,1.0864097021945531
cluster,MACS0329,3.604168317444285
cluster,MACS0429,4.256216914411909
cluster,MACS1115,2.353515001587253
cluster,MACS1931,3.1750202756998864
cluster,RXJ1347,3.0135459802706195
cluster,RXJ2129,2.992577336421091
