variant,galaxy_equal_RMSE_km_s,cluster_all5_log_RMS_dex,cluster_reliable3_log_RMS_dex,cluster_all6_stress_log_RMS_dex,all_cluster_exponent_profiles_nonincreasing,solar_solar_limb_fractional_force_change,solar_Mercury_fractional_force_change,solar_Earth_fractional_force_change,solar_Saturn_fractional_force_change,galaxy_ratio_to_fixed_RAR,all5_gap_fraction_closed_from_fixed_RAR,galaxy_gate_pass,all5_cluster_gate_pass,reliable3_cluster_gate_pass,gap_closed_gate_pass,solar_gate_pass
global_system_primary,11.243651223417022,0.23362991974343442,0.2013625849141511,0.21609318385340598,True,0.0,0.0,0.0,0.0,1.0291647299047881,0.5992505959896695,True,False,False,False,True
local_P0685_control,11.252618773273852,0.14522876354958342,0.16471684761988434,0.16648102046002597,False,0.0,0.0,0.0,0.0,1.0299855563287785,0.7508866137455052,True,True,True,True,True
capped_local_diagnostic,11.252655681968646,0.15355758791052643,0.17706604103936077,0.1730028654542774,False,0.0,0.0,0.0,0.0,1.0299889346910343,0.7366000386252464,True,True,True,False,True
