cluster,family_id,image_id,ra_deg,dec_deg,secure_image,selection_basis,spectroscopic_redshift,spectroscopic_quality,adopted_catalog_redshift,adopted_redshift_kind,source_catalog,clump_id,counterimage_id
AS295,1,1.1,41.350512499999994,-53.03084722222222,True,published_non_candidate_system,0.93,published,0.93,spectroscopic,Cibirka_et_al_2018_table,,
AS295,1,1.2,41.35189583333333,-53.02847777777777,True,published_non_candidate_system,0.93,published,0.93,spectroscopic,Cibirka_et_al_2018_table,,
AS295,1,1.3,41.354699999999994,-53.02710277777778,True,published_non_candidate_system,0.93,published,0.93,spectroscopic,Cibirka_et_al_2018_table,,
AS295,2,2.1,41.350424999999994,-53.03055833333333,True,published_non_candidate_system,0.93,published,0.93,spectroscopic,Cibirka_et_al_2018_table,,
AS295,2,2.2,41.35150416666666,-53.02856666666666,True,published_non_candidate_system,0.93,published,0.93,spectroscopic,Cibirka_et_al_2018_table,,
AS295,2,2.3,41.354699999999994,-53.02685555555556,True,published_non_candidate_system,0.93,published,0.93,spectroscopic,Cibirka_et_al_2018_table,,
AS295,3,3.1,41.35088749999999,-53.03095,True,published_non_candidate_system,0.93,published,0.93,spectroscopic,Cibirka_et_al_2018_table,,
AS295,3,3.2,41.352062499999995,-53.02867222222222,True,published_non_candidate_system,0.93,published,0.93,spectroscopic,Cibirka_et_al_2018_table,,
AS295,3,3.3,41.35514166666666,-53.02713333333333,True,published_non_candidate_system,0.93,published,0.93,spectroscopic,Cibirka_et_al_2018_table,,
AS295,4,4.1,41.3503875,-53.02981666666667,True,published_non_candidate_system,0.93,published,0.93,spectroscopic,Cibirka_et_al_2018_table,,
AS295,4,4.2,41.35075416666666,-53.02899444444444,True,published_non_candidate_system,0.93,published,0.93,spectroscopic,Cibirka_et_al_2018_table,,
AS295,4,4.3,41.35473749999999,-53.02646111111111,True,published_non_candidate_system,0.93,published,0.93,spectroscopic,Cibirka_et_al_2018_table,,
AS295,5,5.1,41.39530833333333,-53.05152777777778,True,published_non_candidate_system,,,1.52,lens_model,Cibirka_et_al_2018_table,,
AS295,5,5.2,41.396424999999994,-53.051336111111105,True,published_non_candidate_system,,,1.52,lens_model,Cibirka_et_al_2018_table,,
AS295,5,5.3,41.405362499999995,-53.046530555555556,True,published_non_candidate_system,,,1.52,lens_model,Cibirka_et_al_2018_table,,
AS295,6,6.1,41.394520833333324,-53.04428333333333,True,published_non_candidate_system,,,2.17,lens_model,Cibirka_et_al_2018_table,,
AS295,6,6.2,41.393608333333326,-53.044666666666664,True,published_non_candidate_system,,,2.17,lens_model,Cibirka_et_al_2018_table,,
AS295,6,6.3,41.38945,-53.04666666666667,True,published_non_candidate_system,,,2.17,lens_model,Cibirka_et_al_2018_table,,
AS295,7,c7.1,41.39504999999999,-53.044983333333334,False,catalog_candidate,,,2.4,lens_model,Cibirka_et_al_2018_table,,
AS295,7,c7.2,41.38764583333332,-53.048449999999995,False,catalog_candidate,,,,missing,Cibirka_et_al_2018_table,,
MACS0025,1,1.1,6.365349999999999,-12.369775,True,published_non_candidate_system,2.38,published,2.38,spectroscopic,Cibirka_et_al_2018_table,,
MACS0025,1,1.2,6.363175,-12.372691666666666,True,published_non_candidate_system,2.38,published,2.38,spectroscopic,Cibirka_et_al_2018_table,,
MACS0025,1,1.3,6.363262499999999,-12.376080555555555,True,published_non_candidate_system,2.38,published,2.38,spectroscopic,Cibirka_et_al_2018_table,,
MACS0025,1,1.4,6.364683333333333,-12.373194444444445,True,published_non_candidate_system,2.38,published,2.38,spectroscopic,Cibirka_et_al_2018_table,,
MACS0025,2,2.1,6.392095833333332,-12.386544444444445,True,published_non_candidate_system,,,3.8,lens_model,Cibirka_et_al_2018_table,,
MACS0025,2,2.2,6.392066666666666,-12.387324999999999,True,published_non_candidate_system,,,3.8,lens_model,Cibirka_et_al_2018_table,,
MACS0025,2,2.3,6.39195,-12.387605555555554,True,published_non_candidate_system,,,3.8,lens_model,Cibirka_et_al_2018_table,,
MACS0025,3,c3.1,6.382916666666666,-12.385077777777777,False,catalog_candidate,,,1.9,lens_model,Cibirka_et_al_2018_table,,
MACS0025,3,c3.2,6.382916666666666,-12.384725,False,catalog_candidate,,,1.9,lens_model,Cibirka_et_al_2018_table,,
MACS0025,3,c3.3,6.3839999999999995,-12.38281388888889,False,catalog_candidate,,,1.9,lens_model,Cibirka_et_al_2018_table,,
MACS0025,4,c4.1,6.371974999999999,-12.378491666666667,False,catalog_candidate,,,,missing,Cibirka_et_al_2018_table,,
MACS0025,4,c4.2,6.37205,-12.378366666666667,False,catalog_candidate,,,,missing,Cibirka_et_al_2018_table,,
MACS0025,5,c5.1,6.368125,-12.373075,False,catalog_candidate,,,2.2,lens_model,Cibirka_et_al_2018_table,,
MACS0025,5,c5.2,6.368058333333333,-12.37285,False,catalog_candidate,,,2.2,lens_model,Cibirka_et_al_2018_table,,
MACS0025,5,c5.3,6.365883333333333,-12.377616666666666,False,catalog_candidate,,,2.2,lens_model,Cibirka_et_al_2018_table,,
MACS0159,1,1.1,29.961454166666666,-8.839350000000001,True,published_non_candidate_system,,,1.55,lens_model,Cibirka_et_al_2018_table,,
MACS0159,1,1.2,29.951274999999995,-8.832658333333333,True,published_non_candidate_system,,,1.55,lens_model,Cibirka_et_al_2018_table,,
MACS0159,1,1.3,29.955279166666664,-8.83291388888889,True,published_non_candidate_system,,,1.55,lens_model,Cibirka_et_al_2018_table,,
MACS0159,2,2.1,29.961979166666666,-8.838533333333334,True,published_non_candidate_system,,,1.55,lens_model,Cibirka_et_al_2018_table,,
