galaxy,R_kpc,V_obs_kms,V_bar_kms,V_pred_kms,Sigma_req,Sigma_pred,dSigma,need_Sigma_lt_1,f_bulge,f_bulge_r,f_disk_r,f_gas_r,R_d_kpc,R_over_Rd,g_bar_SI,Omega_bar_SI,tau_dyn_Myr,dlnVbar_dlnR,dlnGbar_dlnR,h_term,C_term,A_use,omega2,shear2,theta2,tidal2
CamB,0.16,1.99,3.2389581658304882,9.5381912056057,0.3774813289676241,8.672041967494906,-8.294560638527281,1,0.0,0.0,0.6702269120233347,0.32977308797666544,0.73,0.21917808219178084,2.1246860823071936e-12,6.559782416215344e-16,48.30661415796066,0.9509939864557402,0.9019879729114834,6.575908946928919,0.9950274575286647,1.17251960642002,7624.518271186439,1904.890047566346,0.0,153.3721643835618
CamB,0.41,4.84,7.925783872904939,19.253235311664998,0.3729119257920294,5.900964292370489,-5.52805236657846,1,0.0,0.0,0.7138147395533609,0.28618526044663917,0.73,0.5616438356164384,4.964833314891802e-12,6.264154302597837e-16,50.586378117932746,0.7761598082128085,0.5523196164256134,4.180783222302669,0.9997784588273957,1.17251960642002,4949.054339105839,54.587747334296736,0.0,203.7320404369455
CamB,0.57,6.79,10.03099695942532,23.59398694303476,0.45819606065936597,5.532411455950949,-5.074215395291583,1,0.0,0.0,0.6872210445344854,0.31277895546551465,0.73,0.7808219178082191,5.720281747791385e-12,5.702605404955783e-16,55.567737137293044,0.6874430393298709,0.3748860786597348,3.8660147811201955,0.999874988670608,1.17251960642002,5102.133947904985,31.649849105129935,0.0,187.47441095060265
CamB,0.73,8.87,11.830135248592892,27.29590092802239,0.5621701996611697,5.32372295572852,-4.761552756067351,1,0.0,0.0,0.6725100945251985,0.3274899054748017,0.73,1.0,6.212417546320547e-12,5.251349554147716e-16,60.34275092009536,0.5564189967197173,0.11283799343942746,3.6918629799000744,0.9988313634786293,1.17251960642002,3409.6113056473355,199.21754888310366,0.0,72.47978370720256
CamB,0.9,10.9,13.034297065818317,30.12212219639611,0.699322926384799,5.340671950473618,-4.64134902408882,1,0.0,0.0,0.6446414182111202,0.35535858178887997,0.73,1.2328767123287672,6.116976308777993e-12,4.69298518968039e-16,67.52224124574113,0.37100312057847695,-0.25799375884304254,3.724030679262259,0.9940851845032338,1.17251960642002,1756.295106397149,522.2531926433423,0.0,28.821381351271192
CamB,1.06,12.9,13.688038573879021,32.05879184738876,0.888171799678057,5.48544497035798,-4.597273170679923,1,0.0,0.0,0.6198084567661388,0.3801915432338611,0.73,1.452054794520548,5.727705156580541e-12,4.1844601223660783e-16,75.72801959482196,0.15289022847197842,-0.6942195430560361,3.8632267261535436,0.9902280457052284,1.17251960642002,1085.8500017489766,535.5340760827693,0.0,93.16789778320948
CamB,1.22,14.7,13.740656825639741,32.64152540055944,1.1445102410865353,5.643206018863137,-4.498695777776602,0,0.0,0.0,0.6046220015131963,0.39537799848680377,0.73,1.6712328767123288,5.014864857686219e-12,3.649654395216828e-16,86.82490006604131,0.033050190499660737,-0.9338996190006768,4.157815283492025,0.9524290840493352,1.17251960642002,380.7935508144769,950.7282189396977,0.0,137.3957325688659
CamB,1.47,16.8,13.845266339077773,26.530354479523314,1.4723665224417994,3.671837697513622,-2.1994711750718228,0,0.0,0.0,0.6594192540719094,0.3405807459280906,0.73,2.0136986301369864,4.22560962168406e-12,3.0520247990877766e-16,103.8264427716978,-0.21067510361615938,-1.4213502072323223,4.565171179633154,0.4991520886317829,1.17251960642002,30.494648642540223,1529.6672030346879,0.0,133.23398220603923
CamB,1.79,20.1,12.605639610904321,32.20803555339877,2.5425080780845315,6.528278907547814,-3.9857708294632825,0,0.0,0.0,0.6995125616613747,0.3004874383386253,0.73,2.452054794520548,2.87660890596205e-12,2.2820015443513725e-16,138.86093939097597,-0.47625061474512015,-1.95250122949025,5.608505139578513,0.8406645030800941,1.17251960642002,96.56400059904924,914.8683905252349,0.0,110.47311320754714
D564-8,0.51,8.54,5.680290485529768,16.879913419567906,2.2603445764387557,8.830785541677654,-6.570440965238898,0,0.0,0.0,0.6268204316038395,0.3731795683961606,1.53,0.3333333333333333,2.0500997547431156e-12,3.6091459758363305e-16,87.79940746698675,0.5152119052632543,0.030423810526506057,6.699555011846847,0.9968716818534297,1.17251960642002,1494.7844245654537,234.29641780967805,0.0,16.40539215686275
D564-8,1.02,15.1,8.11829415579406,24.01666932402794,3.4595875684869672,8.751771905128079,-5.292184336641112,0,0.0,0.0,0.5689527771835035,0.43104722281649666,1.53,0.6666666666666666,2.093791696847242e-12,2.579103019262851e-16,122.86476180810301,0.35546667049660785,-0.2890666590067852,6.626332348366661,0.9977176547403511,1.17251960642002,835.255843614946,95.28978943526724,0.0,14.5658203125
D564-8,1.53,19.8,9.028269490882513,27.914129700091078,4.809737251969553,9.559587569244954,-4.749850317275401,0,0.0,0.0,0.5068608440841055,0.49313915591589463,1.53,1.0,1.7263214856043948e-12,1.9121288828914288e-16,165.72150600074485,0.15544689530853262,-0.6891062093829348,7.3250275507164595,0.9966059216023652,1.17251960642002,474.2221037548489,80.50606103803723,0.0,1.0076371368398331
D564-8,2.04,21.9,9.238011149592753,29.778514746409556,5.619934650287639,10.39080276915605,-4.770868118868411,0,0.0,0.0,0.44856888582665855,0.5514311141733413,1.53,1.3333333333333333,1.355597861309138e-12,1.4674131037056586e-16,215.94524223619794,0.002125204679474635,-0.9957495906410543,8.297656812584387,0.9652218334762673,1.17251960642002,120.78543117232852,217.35724628114633,0.0,19.747531272194347
D564-8,2.56,24.0,9.114655780664458,19.026303874597367,6.93333108642048,4.357408873682997,2.575922212737483,0,0.0,0.0,0.4017293605506702,0.5982706394493297,1.53,1.673202614379085,1.051585664087816e-12,1.15373052959237e-16,274.6576171926803,-0.10668260846320798,-1.2133652169264195,9.450548619455807,0.3029891659791754,1.17251960642002,2.970262772350433,341.40139360221417,0.0,22.852563439771586
D564-8,3.07,25.0,8.878223358307675,30.504127363063525,7.929172822347832,11.804975158624694,-3.8758023362768625,0,0.0,0.0,0.371228013196681,0.6287719868033189,1.53,2.0065359477124183,8.319894828172205e-13,9.371125834975729e-17,338.1460069158385,-0.1446696471106756,-1.2893392942213562,10.648889505927391,0.8653650247158329,1.17251960642002,33.40852732405323,259.64243453005736,0.0,20.8918749199026
D631-7,0.45,8.41,10.97542937656655,23.458416291650376,0.5871498476050773,4.568297081998287,-3.9811472343932093,1,0.0,0.0,0.4142456357937756,0.5857543642062243,2.69,0.16728624535315986,8.674303305249515e-12,7.90338401135346e-16,40.0943289210141,0.6652750909539729,0.33055018190794705,3.050851700172888,0.9975158241403013,1.17251960642002,4585.965473564899,570.7904239290715,0.0,142.90786419753078
D631-7,0.9,17.8,17.40561116421943,35.333054529780554,1.045830853594573,4.1208215944875235,-3.07499074089295,0,0.0,0.0,0.3975345537774055,0.6024654462225945,2.69,0.3345724907063197,1.0907874270900844e-11,6.266872313753665e-16,50.564438251732554,0.6265486058834941,0.25309721176698474,2.663776538605902,0.9991968111041918,1.17251960642002,3183.178595327729,127.69207745440951,0.0,130.16140864197527
D631-7,1.35,26.0,22.234630646808597,44.270878908632525,1.3673725491465247,3.9643907047446283,-2.5970181555981036,0,0.0,0.0,0.43587791385876584,0.5641220861412342,2.69,0.5018587360594796,1.1866705071889779e-11,5.337037192292215e-16,59.373931026362534,0.41088343867325516,-0.178233122653495,2.5311895548507053,0.9988278878086441,1.17251960642002,2381.9401717932424,139.5135032596855,0.0,48.84853313139657
D631-7,1.8,30.9,24.057781485415482,49.30710327783215,1.649703162799272,4.200566131231417,-2.550862968432145,0,0.0,0.0,0.3945189756639369,0.6054810243360631,2.69,0.6691449814126395,1.041940033844603e-11,4.3309896819715347e-16,73.16592774611284,0.15330419999485834,-0.6933916000102727,2.738013443780804,0.9969448067788474,1.17251960642002,1416.2857594588859,216.76898782071333,0.0,43.58574312872765
D631-7,2.25,34.7,24.38059064091762,52.21193607926856,2.025678433789829,4.586180571268651,-2.5605021374788217,0,0.0,0.0,0.33377993624636887,0.6662200637536314,2.69,0.8364312267657993,8.56071433714985e-12,3.5112825867239316e-16,90.24647555807894,0.04301980859448662,-0.9139603828110268,3.0743618509601127,0.9948487471966524,1.17251960642002,911.0752597818714,235.62863034688544,0.0,81.79307208070799
