galaxy,R_kpc,f_bulge_r,C_baseline,C_flow,dC,V_obs_kms,V_pred_baseline,V_pred_flow
CamB,0.16,0.0,0.0315839940029107,0.0315839940029107,0.0,1.99,3.611873575266172,3.611873575266172
CamB,0.41,0.0,0.2654704970508415,0.2654704970508415,0.0,4.84,12.023571906905456,12.023571906905456
CamB,0.57,0.0,0.4234227984760748,0.4234227984760748,0.0,6.79,17.139114564352685,17.139114564352685
CamB,0.73,0.0,0.5380658414691188,0.5380658414691188,0.0,8.87,21.58527906084797,21.58527906084797
CamB,0.9,0.0,0.6082800372791297,0.6082800372791297,0.0,10.9,24.922633175630388,24.922633175630388
CamB,1.06,0.0,0.6484005084383981,0.6484005084383981,0.0,12.9,27.15986142992318,27.15986142992318
CamB,1.22,0.0,0.667573610624103,0.667573610624103,0.0,14.7,28.34208718486604,28.34208718486604
CamB,1.47,0.0,0.6929474494339267,0.6929474494339267,0.0,16.8,30.04510951253166,30.04510951253166
CamB,1.79,0.0,0.6866142381996669,0.6866142381996669,0.0,20.1,29.603752704141872,29.603752704141872
D564-8,0.51,0.0,0.1489859000806139,0.1489859000806139,0.0,8.54,8.368241447542358,8.368241447542358
D564-8,1.02,0.0,0.4066475649507667,0.4066475649507667,0.0,15.1,16.55704080790178,16.55704080790178
D564-8,1.53,0.0,0.5313266298259725,0.5313266298259725,0.0,19.8,21.29490212429079,21.29490212429079
D564-8,2.04,0.0,0.5897449751994718,0.5897449751994718,0.0,21.9,23.97922627262218,23.97922627262218
D564-8,2.56,0.0,0.6206471133917385,0.6206471133917385,0.0,24.0,25.58177465749767,25.58177465749767
D564-8,3.07,0.0,0.638848153653286,0.638848153653286,0.0,25.0,26.600138500742787,26.600138500742787
D631-7,0.45,0.0,0.434927336045266,0.434927336045266,0.0,8.41,17.54632619729987,17.54632619729987
D631-7,0.9,0.0,0.7088043372986603,0.7088043372986603,0.0,17.8,31.203314463446144,31.203314463446144
D631-7,1.35,0.0,0.8076352445277076,0.8076352445277076,0.0,26.0,40.980275595665944,40.980275595665944
D631-7,1.8,0.0,0.8428171793571729,0.8428171793571729,0.0,30.9,46.31206503057616,46.31206503057616
D631-7,2.25,0.0,0.8588954615557792,0.8588954615557792,0.0,34.7,49.34346671483432,49.34346671483432
D631-7,2.69,0.0,0.8699633163182358,0.8699633163182358,0.0,38.8,51.7306008957619,51.7306008957619
D631-7,3.14,0.0,0.876041561357336,0.876041561357336,0.0,42.5,53.16848704717907,53.16848704717907
D631-7,3.59,0.0,0.8805033758424604,0.8805033758424604,0.0,45.6,54.289731047016566,54.289731047016566
D631-7,4.04,0.0,0.8837150912177882,0.8837150912177882,0.0,48.8,55.13462856736148,55.13462856736148
D631-7,4.49,0.0,0.8851502037166049,0.8851502037166049,0.0,51.8,55.52305678383321,55.52305678383321
D631-7,4.94,0.0,0.8862456876026528,0.8862456876026528,0.0,54.8,55.82427973094343,55.82427973094343
D631-7,5.39,0.0,0.8863856648781014,0.8863856648781014,0.0,56.6,55.86306908472642,55.86306908472642
D631-7,5.84,0.0,0.8862233373389108,0.8862233373389108,0.0,58.4,55.81809255413177,55.81809255413177
D631-7,6.29,0.0,0.8857141854889886,0.8857141854889886,0.0,58.5,55.67761606429436,55.67761606429436
D631-7,6.74,0.0,0.8850054984748607,0.8850054984748607,0.0,57.7,55.483575794959,55.483575794959
D631-7,7.19,0.0,0.8840315724449688,0.8840315724449688,0.0,57.3,55.21969446111283,55.21969446111283
DDO064,0.1,0.0,0.0016745872453649,0.0016745872453649,0.0,6.29,0.8191205507452214,0.8191205507452214
DDO064,0.3,0.0,0.0476723996566197,0.0476723996566197,0.0,13.9,4.474765867247931,4.474765867247931
DDO064,0.49,0.0,0.2154254168442519,0.2154254168442519,0.0,15.6,10.480001607806562,10.480001607806562
DDO064,0.69,0.0,0.4576924746297918,0.4576924746297918,0.0,18.4,18.37359190612353,18.37359190612353
DDO064,0.89,0.0,0.5296896231715106,0.5296896231715106,0.0,22.5,21.225036592768795,21.225036592768795
DDO064,1.09,0.0,0.6218310372508733,0.6218310372508733,0.0,26.5,25.646213419611684,25.646213419611684
DDO064,1.29,0.0,0.7107549160672229,0.7107549160672229,0.0,35.3,31.351399968184527,31.351399968184527
DDO064,1.48,0.0,0.7784422509990143,0.7784422509990143,0.0,40.5,37.488643279427016,37.488643279427016
DDO064,1.68,0.0,0.8143049160227149,0.8143049160227149,0.0,44.2,41.88160540828316,41.88160540828316
DDO064,1.88,0.0,0.8366205740075705,0.8366205740075705,0.0,46.3,45.25802343102644,45.25802343102644
DDO064,2.08,0.0,0.850551305047585,0.850551305047585,0.0,46.4,47.71272157786452,47.71272157786452
DDO064,2.27,0.0,0.8579450582357335,0.8579450582357335,0.0,46.3,49.15090977655986,49.15090977655986
DDO064,2.37,0.0,0.8623041332202332,0.8623041332202332,0.0,46.4,50.04950394746818,50.04950394746818
DDO064,2.98,0.0,0.8796960392311695,0.8796960392311695,0.0,46.9,54.08244920192139,54.08244920192139
DDO154,0.49,0.0,0.3737455080598797,0.3737455080598797,0.0,13.8,15.450500753060854,15.450500753060854
DDO154,0.99,0.0,0.6112796440918759,0.6112796440918759,0.0,21.6,25.080218786287947,25.080218786287947
DDO154,1.48,0.0,0.7020620468170455,0.7020620468170455,0.0,28.9,30.701163088306437,30.701163088306437
DDO154,1.97,0.0,0.7596455396256806,0.7596455396256806,0.0,34.3,35.55571355502713,35.55571355502713
DDO154,2.47,0.0,0.7927280425159431,0.7927280425159431,0.0,38.2,39.11306340075516,39.11306340075516
DDO154,2.96,0.0,0.820020746883982,0.820020746883982,0.0,42.0,42.690495266721136,42.690495266721136
DDO154,3.46,0.0,0.8426197100474312,0.8426197100474312,0.0,44.6,46.277579114622085,46.277579114622085
DDO154,3.95,0.0,0.8528520775220447,0.8528520775220447,0.0,46.3,48.14927853775132,48.14927853775132
DDO154,4.44,0.0,0.8560224650746489,0.8560224650746489,0.0,47.4,48.76690680633987,48.76690680633987
DDO154,4.94,0.0,0.8575891063530507,0.8575891063530507,0.0,48.2,49.07926132203052,49.07926132203052
DDO154,5.43,0.0,0.8575018977039653,0.8575018977039653,0.0,47.4,49.06174605565852,49.06174605565852
DDO154,5.92,0.0,0.8568719928186568,0.8568719928186568,0.0,45.5,48.935683363111025,48.935683363111025
DDO161,0.6,0.0,0.4851629626734555,0.4851629626734555,0.0,16.0,19.41506836558195,19.41506836558195
DDO161,0.73,0.0,0.576279110204449,0.576279110204449,0.0,16.6,23.324186013835423,23.324186013835423
DDO161,0.85,0.0,0.6349352366113808,0.6349352366113808,0.0,18.6,26.37604969095074,26.37604969095074
DDO161,0.98,0.0,0.6904849643624967,0.6904849643624967,0.0,20.0,29.872132927184087,29.872132927184087
DDO161,1.07,0.0,0.720499868824683,0.720499868824683,0.0,21.4,32.111156018807804,32.111156018807804
DDO161,1.54,0.0,0.8154324288374695,0.8154324288374695,0.0,28.9,42.03841048410416,42.03841048410416
DDO161,2.02,0.0,0.8606101178210721,0.8606101178210721,0.0,32.9,49.69556058338225,49.69556058338225
DDO161,2.49,0.0,0.8846307348423167,0.8846307348423167,0.0,35.2,55.38165686461107,55.38165686461107
DDO161,2.96,0.0,0.8984747326593656,0.8984747326593656,0.0,37.6,59.49710835010967,59.49710835010967
DDO161,3.43,0.0,0.9073489047264156,0.9073489047264156,0.0,40.6,62.58811566427384,62.58811566427384
DDO161,3.9,0.0,0.914518814747344,0.914518814747344,0.0,42.7,65.41706428162396,65.41706428162396
DDO161,4.37,0.0,0.9197847370858748,0.9197847370858748,0.0,45.5,67.7243100546297,67.7243100546297
DDO161,4.86,0.0,0.9242806914645688,0.9242806914645688,0.0,48.9,69.87609333818374,69.87609333818374
DDO161,5.34,0.0,0.928003154046166,0.928003154046166,0.0,51.5,71.80389219239271,71.80389219239271
DDO161,5.81,0.0,0.9309617795625073,0.9309617795625073,0.0,53.0,73.44312153042355,73.44312153042355
DDO161,6.28,0.0,0.933915616459337,0.933915616459337,0.0,55.0,75.18555204851047,75.18555204851047
DDO161,6.75,0.0,0.9366245107680332,0.9366245107680332,0.0,57.6,76.88685425805649,76.88685425805649
DDO161,7.22,0.0,0.9393867073343272,0.9393867073343272,0.0,59.7,78.73507809532607,78.73507809532607
DDO161,7.69,0.0,0.9422261887418876,0.9422261887418876,0.0,60.5,80.76851016300577,80.76851016300577
DDO161,8.16,0.0,0.944872966384465,0.944872966384465,0.0,61.8,82.8007738360822,82.8007738360822
DDO161,8.64,0.0,0.9469164731030792,0.9469164731030792,0.0,62.9,84.47067150357499,84.47067150357499
DDO161,9.11,0.0,0.9488362647712946,0.9488362647712946,0.0,63.0,86.1280296253059,86.1280296253059
DDO161,9.58,0.0,0.950014420795668,0.950014420795668,0.0,64.5,87.19121511350093,87.19121511350093
DDO161,10.05,0.0,0.9509199921446252,0.9509199921446252,0.0,65.6,88.03384545606839,88.03384545606839
DDO161,10.52,0.0,0.9509370615909548,0.9509370615909548,0.0,67.5,88.0499482731948,88.0499482731948
DDO161,10.99,0.0,0.9506921776926954,0.9506921776926954,0.0,66.8,87.8197193397478,87.8197193397478
DDO161,11.46,0.0,0.9501549178252278,0.9501549178252278,0.0,66.8,87.3204666113813,87.3204666113813
DDO161,11.94,0.0,0.9495654670622063,0.9495654670622063,0.0,66.6,86.78175928453349,86.78175928453349
DDO161,12.41,0.0,0.9488844955159876,0.9488844955159876,0.0,66.8,86.17084370637698,86.17084370637698
DDO161,12.9,0.0,0.9484197932371764,0.9484197932371764,0.0,66.3,85.76078760383156,85.76078760383156
DDO161,13.37,0.0,0.9475926232003424,0.9475926232003424,0.0,66.1,85.0441843489351,85.0441843489351
DDO168,0.41,0.0,0.4629783930643002,0.4629783930643002,0.0,15.0,18.570110046606356,18.570110046606356
DDO168,0.82,0.0,0.7415103190577117,0.7415103190577117,0.0,23.4,33.87403953010809,33.87403953010809
DDO168,1.24,0.0,0.8058027372282339,0.8058027372282339,0.0,29.2,40.74016773313875,40.74016773313875
DDO168,1.64,0.0,0.8297663215806913,0.8297663215806913,0.0,36.2,44.1555354716907,44.1555354716907
DDO168,2.06,0.0,0.857648411961084,0.857648411961084,0.0,44.0,49.09118113600672,49.09118113600672
DDO168,2.47,0.0,0.8715121055675344,0.8715121055675344,0.0,52.1,52.08775043273014,52.08775043273014
DDO168,2.89,0.0,0.8812174122371251,0.8812174122371251,0.0,52.9,54.47473665033992,54.47473665033992
DDO168,3.3,0.0,0.8872648992939356,0.8872648992939356,0.0,54.8,56.10829446422004,56.10829446422004
DDO168,3.71,0.0,0.8928100405889717,0.8928100405889717,0.0,55.0,57.72081775390107,57.72081775390107
DDO168,4.12,0.0,0.8964829666679809,0.8964829666679809,0.0,52.0,58.85659157872987,58.85659157872987
DDO170,1.87,0.0,0.7527205592241419,0.7527205592241419,0.0,27.7,34.894170581637674,34.894170581637674
DDO170,3.36,0.0,0.8570486663714597,0.8570486663714597,0.0,42.4,48.970961572175135,48.970961572175135
DDO170,4.86,0.0,0.9013830619383484,0.9013830619383484,0.0,52.5,60.46567912870363,60.46567912870363
DDO170,6.35,0.0,0.9229510337819978,0.9229510337819978,0.0,55.6,69.22068901874982,69.22068901874982
DDO170,7.85,0.0,0.934745871481876,0.934745871481876,0.0,58.6,75.69597312640758,75.69597312640758
DDO170,9.34,0.0,0.940094660452798,0.940094660452798,0.0,59.0,79.228789683311,79.228789683311
DDO170,10.83,0.0,0.9415842588004906,0.9415842588004906,0.0,60.0,80.29613561153546,80.29613561153546
DDO170,12.33,0.0,0.9405218048686834,0.9405218048686834,0.0,62.2,79.53083447189053,79.53083447189053
ESO079-G014,0.41,0.0,0.6793945281116682,0.6793945281116682,0.0,33.2,29.114246375894965,29.114246375894965
ESO079-G014,0.98,0.0,0.8608116145920375,0.8608116145920375,0.0,50.4,49.7373401302182,49.7373401302182
ESO079-G014,1.78,0.0,0.9183775879895292,0.9183775879895292,0.0,53.9,67.08662158880445,67.08662158880445
ESO079-G014,2.69,0.0,0.9446934229499928,0.9446934229499928,0.0,67.6,82.65841080186613,82.65841080186613
