galaxy,R_kpc,R_over_Rd,V_obs_kms,V_bar_kms,V_pred_kms,Sigma_req,Sigma_pred,dSigma,need_sigma_lt_1,f_bulge_global,f_bulge_r,f_disk_r,f_gas_r,g_bar_SI,Omega_bar_SI,tau_dyn_Myr,dlnVbar_dlnR,dlnGbar_dlnR,A_use,C_term,h_term,Sigma_term,g_for_h_SI
CamB,0.16,0.21917808219178084,1.99,3.2389581658304882,3.6118735752661717,0.3774813289676242,1.2435246642270206,-0.8660433352593964,True,0.0,0.0,0.6702269120233346,0.3297730879766654,2.1246860823071936e-12,6.559782416215344e-16,303.51940831689177,0.9509939864557402,0.9019879729114834,1.17251960642002,0.031583994002910794,6.575908946928919,1.243524664227126,2.1246860823071936e-12
CamB,0.41,0.5616438356164384,4.84,7.925783872904939,12.023571906905456,0.3729119257920295,2.3013493956040674,-1.928437469812038,True,0.0,0.0,0.7138147395533608,0.2861852604466391,4.964833314891802e-12,6.264154302597837e-16,317.84358773402596,0.7761598082128085,0.5523196164256134,1.17251960642002,0.2654704970508415,4.1807832223026695,2.30134972926901,4.964833314891802e-12
CamB,0.57,0.7808219178082191,6.79,10.03099695942532,17.139114564352685,0.45819606065936597,2.9193661361606416,-2.4611700755012755,True,0.0,0.0,0.6872210445344854,0.31277895546551465,5.720281747791385e-12,5.702605404955783e-16,349.1423895342571,0.6874430393298709,0.3748860786597348,1.17251960642002,0.42342279847607484,3.8660147811201946,2.919366285054656,5.720281747791385e-12
CamB,0.73,1.0,8.87,11.830135248592892,21.58527906084797,0.5621701996611697,3.3291695668352372,-2.7669993671740674,True,0.0,0.0,0.6725100945251984,0.3274899054748016,6.212417546320547e-12,5.251349554147716e-16,379.1446859759407,0.5564189967197173,0.11283799343942746,1.17251960642002,0.5380658414691188,3.691862979900074,3.3291695830926797,6.212417546320547e-12
CamB,0.9,1.2328767123287672,10.9,13.034297065818317,24.922633175630388,0.699322926384799,3.6560541635761856,-2.9567312371913865,True,0.0,0.0,0.6446414182111201,0.3553585817888799,6.116976308777993e-12,4.69298518968039e-16,424.2547541030761,0.37100312057847695,-0.25799375884304254,1.17251960642002,0.6082800372791297,3.7240306792622593,3.656054166193014,6.116976308777993e-12
CamB,1.06,1.452054794520548,12.9,13.688038573879021,27.15986142992318,0.8881717996780569,3.9370656700203917,-3.0488938703423347,True,0.0,0.0,0.6198084567661388,0.3801915432338611,5.727705156580541e-12,4.1844601223660783e-16,475.8131800599932,0.15289022847197842,-0.6942195430560361,1.17251960642002,0.6484005084383981,3.863226726153543,3.9370656708488476,5.727705156580541e-12
CamB,1.22,1.6712328767123288,14.7,13.740656825639741,28.342087184866042,1.144510241086535,4.254501419817404,-3.109991178730869,False,0.0,0.0,0.6046220015131963,0.39537799848680377,5.014864857686219e-12,3.649654395216828e-16,545.5369363922866,0.033050190499660737,-0.9338996190006768,1.17251960642002,0.667573610624103,4.157815283492026,4.254501420415959,5.014864857686219e-12
CamB,1.47,2.0136986301369864,16.8,13.845266339077773,30.04510951253166,1.4723665224417997,4.7091763408270815,-3.236809818385282,False,0.0,0.0,0.6594192540719094,0.3405807459280906,4.22560962168406e-12,3.0520247990877766e-16,652.3607797198538,-0.21067510361615938,-1.4213502072323223,1.17251960642002,0.6929474494339267,4.565171179633153,4.709176341159742,4.22560962168406e-12
CamB,1.79,2.452054794520548,20.1,12.605639610904321,29.603752704141872,2.5425080780845315,5.515231695530784,-2.9727236174462526,False,0.0,0.0,0.6995125616613747,0.3004874383386253,2.87660890596205e-12,2.2820015443513725e-16,872.4890141225353,-0.47625061474512015,-1.95250122949025,1.17251960642002,0.6866142381996669,5.608505139578513,5.515231696775456,2.87660890596205e-12
D564-8,0.51,0.3333333333333333,8.54,5.680290485529768,8.368241447542358,2.2603445764387566,2.1703376937232357,0.09000688271552093,False,0.0,0.0,0.6268204316038394,0.3731795683961605,2.0500997547431156e-12,3.6091459758363305e-16,551.6599469756447,0.5152119052632543,0.030423810526506057,1.17251960642002,0.1489859000806139,6.699555011846847,2.170337821309122,2.0500997547431156e-12
