candidate_id,q_R80,route_fraction,gate_power,fold,training_galaxies,test_galaxies,training_equal_galaxy_RMSE_km_s,test_equal_galaxy_RMSE_km_s
q0.5__f0.1__n6__RAR,0.5,0.1,6.0,3,106,25,9.801481591255223,14.13222014974823
q0.5__f0.1__n6__RAR,0.5,0.1,6.0,4,104,27,10.456146880120466,11.872602693717804
q0.5__f0.1__n8__RAR,0.5,0.1,8.0,0,109,22,11.228983021508585,8.054084417066692
q0.5__f0.1__n8__RAR,0.5,0.1,8.0,1,97,34,11.006074140195732,10.030765586490126
q0.5__f0.1__n8__RAR,0.5,0.1,8.0,2,108,23,11.24025193597673,8.14500675914864
q0.5__f0.1__n8__RAR,0.5,0.1,8.0,3,106,25,9.798812710639986,14.132438059300018
q0.5__f0.1__n8__RAR,0.5,0.1,8.0,4,104,27,10.454593254893332,11.869463592860964
q0.5__f0.15__n0__RAR,0.5,0.15,0.0,0,109,22,11.158048171740317,8.036787648227753
q0.5__f0.15__n0__RAR,0.5,0.15,0.0,1,97,34,10.944176946328236,9.960990679257353
q0.5__f0.15__n0__RAR,0.5,0.15,0.0,2,108,23,11.172325212173993,8.105417959726434
q0.5__f0.15__n0__RAR,0.5,0.15,0.0,3,106,25,9.730827439327989,14.077879095164095
q0.5__f0.15__n0__RAR,0.5,0.15,0.0,4,104,27,10.405352186250408,11.755976334051352
q0.5__f0.15__n1__RAR,0.5,0.15,1.0,0,109,22,11.19542207113067,7.992794013298028
q0.5__f0.15__n1__RAR,0.5,0.15,1.0,1,97,34,10.956957840816667,10.03218601350323
q0.5__f0.15__n1__RAR,0.5,0.15,1.0,2,108,23,11.199660331009353,8.130862201066314
q0.5__f0.15__n1__RAR,0.5,0.15,1.0,3,106,25,9.766029729211443,14.081851811570626
q0.5__f0.15__n1__RAR,0.5,0.15,1.0,4,104,27,10.42620647432696,11.803715952849828
q0.5__f0.15__n2__RAR,0.5,0.15,2.0,0,109,22,11.18463678530145,7.965846477649287
q0.5__f0.15__n2__RAR,0.5,0.15,2.0,1,97,34,10.941826154169405,10.02686574154075
q0.5__f0.15__n2__RAR,0.5,0.15,2.0,2,108,23,11.186209226946104,8.122166723530167
q0.5__f0.15__n2__RAR,0.5,0.15,2.0,3,106,25,9.751765060443633,14.072959623662603
q0.5__f0.15__n2__RAR,0.5,0.15,2.0,4,104,27,10.415780512623977,11.783032718057612
q0.5__f0.15__n4__RAR,0.5,0.15,4.0,0,109,22,11.177138561919708,7.9584833411564
q0.5__f0.15__n4__RAR,0.5,0.15,4.0,1,97,34,10.93760707189551,10.009394758393833
q0.5__f0.15__n4__RAR,0.5,0.15,4.0,2,108,23,11.178628886700675,8.115348336139057
q0.5__f0.15__n4__RAR,0.5,0.15,4.0,3,106,25,9.740386254206642,14.07673165580426
q0.5__f0.15__n4__RAR,0.5,0.15,4.0,4,104,27,10.409144026332308,11.77283987200728
q0.5__f0.15__n6__RAR,0.5,0.15,6.0,0,109,22,11.172241344092408,7.958708489950278
q0.5__f0.15__n6__RAR,0.5,0.15,6.0,1,97,34,10.935931431696742,9.997198893125
q0.5__f0.15__n6__RAR,0.5,0.15,6.0,2,108,23,11.174029472517578,8.113344913182488
q0.5__f0.15__n6__RAR,0.5,0.15,6.0,3,106,25,9.734057086085565,14.07845646864521
q0.5__f0.15__n6__RAR,0.5,0.15,6.0,4,104,27,10.405563525034275,11.766388282338433
q0.5__f0.15__n8__RAR,0.5,0.15,8.0,0,109,22,11.168942865931545,7.959782724315655
q0.5__f0.15__n8__RAR,0.5,0.15,8.0,1,97,34,10.934752191525154,9.989613733910579
q0.5__f0.15__n8__RAR,0.5,0.15,8.0,2,108,23,11.170944079943263,8.11278122714671
q0.5__f0.15__n8__RAR,0.5,0.15,8.0,3,106,25,9.730208430402467,14.07886045506132
q0.5__f0.15__n8__RAR,0.5,0.15,8.0,4,104,27,10.403389769562095,11.761741485436724
q0.5__f0.2__n0__RAR,0.5,0.2,0.0,0,109,22,11.103392137699238,7.984238995398855
q0.5__f0.2__n0__RAR,0.5,0.2,0.0,1,97,34,10.88472329077063,9.923632861972562
q0.5__f0.2__n0__RAR,0.5,0.2,0.0,2,108,23,11.113236546244137,8.081439483452531
