galaxy,fold,oof_RMSE_km_s,fixed_RAR_RMSE_km_s,delta_MSE_km_s2,improvement_fraction,concentration_R50_over_R80,R80_kpc,g_R80_m_s2,hubble_type,distance_mpc,inclination_deg,luminosity_3p6_billion_solar,effective_radius_kpc,effective_surface_brightness,disk_scale_kpc,disk_central_surface_brightness,HI_mass_billion_solar,HI_radius_kpc,flat_velocity_km_s,flat_velocity_error_km_s,quality,disk_luminosity_fit_solar,disk_velocity_fractional_rms,disk_fit_points,bulge_luminosity_fit_solar,bulge_scale_fit_kpc,bulge_velocity_fractional_rms,bulge_fit_points,disk_profile_light_solar,bulge_profile_light_solar,disk_mass_solar,bulge_mass_solar,gas_mass_solar,stellar_mass_solar,baryonic_mass_solar,stellar_bulge_fraction,baryonic_bulge_fraction,gas_fraction,bulge_scale_over_disk_scale,rotation_points,outer_rotation_points,morphology_input_pass,log10_baryonic_mass_solar,log10_effective_surface_brightness,log10_R80_kpc,log10_g_R80_over_a0
CamB,2,2.9008754790305864,3.3043278563028333,2.503504037097942,0.12209816786269634,0.7427406370153302,0.8834191145732155,3.6232645086114916e-12,10,3.36,65.0,0.075,1.21,7.89,0.47,66.2,0.012,1.21,0.0,0.0,2,62981285.97685064,0.3046870031795915,9,0.0,,,0,67760279.95418996,0.0,31490642.98842532,0.0,15960000.000000002,31490642.98842532,47450642.98842532,0.0,0.0,0.3363494990761904,,9,2,False,7.676242101788244,0.8970770032094203,-0.05383320812962852,-1.5200812061237152
D631-7,4,13.380575812600748,12.39114705452396,-25.499283749918362,-0.079849650215841,0.6237092011259662,3.437369032454009,4.5256943808270435e-12,10,7.72,59.0,0.196,1.22,20.93,0.7,115.04,0.29,0.0,57.7,2.7,1,176704997.27250543,0.1213458583836835,16,0.0,,,0,170996174.99336007,0.0,88352498.63625272,0.0,385700000.0,88352498.63625272,474052498.6362527,0.0,0.0,0.8136229660418964,,16,12,True,8.67582643999794,1.3207692283386865,0.536226160055458,-1.4234960232521252
DDO064,1,2.2455413060171856,3.561524398895069,7.642000286895514,0.36949995156179616,0.7422700402562312,2.3487244501598172,7.770678011062232e-12,10,6.8,60.0,0.157,1.2,17.41,0.69,151.65,0.211,3.49,46.1,3.9,1,141738311.91992322,0.4102391133894294,14,0.0,,,0,152341762.2410917,0.0,70869155.95996161,0.0,280630000.0,70869155.95996161,351499155.9599616,0.0,0.0,0.7983802954905698,,14,4,False,8.545924286504146,1.2407987711173312,0.37083206880205405,-1.1887223323153602
DDO154,0,1.6398915005212877,1.0644384071953121,-1.5562150107694674,-0.5406166194643769,0.7603293383254923,3.4368927435069634,2.997000308085798e-12,10,4.04,64.0,0.053,0.65,19.99,0.37,71.26,0.275,4.96,47.0,1.0,2,47327523.22160265,0.0541645133304896,12,0.0,,,0,37682081.269302405,0.0,23663761.610801324,0.0,365750000.00000006,23663761.610801324,389413761.6108014,0.0,0.0,0.9392323437340356,,12,10,True,8.590411295119369,1.300812794118117,0.5361659791462736,-1.6024944584573504
DDO161,1,4.636603652164308,3.036988474004326,-12.274794436028277,-0.5267109809115804,0.7356408719774632,4.60215540696504,4.432179569812082e-12,10,7.5,70.0,0.548,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1,490896251.8742029,0.0865962206121997,31,0.0,,,0,501083927.7166071,0.0,245448125.93710145,0.0,1832740000.0,245448125.93710145,2078188125.9371011,0.0,0.0,0.8818932112671833,,31,21,True,9.317684859081734,1.316808752053022,0.6629612799666537,-1.432563898524301
DDO168,0,5.689647649960584,4.3999194102732755,-13.012799563802467,-0.2931254233147884,0.6584516519323614,3.0461010407160156,6.463460801381908e-12,10,4.25,63.0,0.191,1.29,18.23,1.02,92.22,0.413,4.3,53.4,1.9,2,185432220.93045455,0.0559438353738933,10,0.0,,,0,172292308.1576369,0.0,92716110.46522728,0.0,549290000.0,92716110.46522728,642006110.4652272,0.0,0.0,0.855583756986299,,10,3,True,8.807539161602655,1.2607866686549762,0.4837443050071218,-1.2687161267389835
DDO170,3,2.6829285217152865,4.198389602418979,10.428369801066424,0.3609624699505096,0.7427673812111837,5.574447345329753,3.628969474507135e-12,10,15.4,66.0,0.543,3.03,9.39,1.95,73.93,0.735,9.14,60.0,1.6,2,506721243.6863263,0.038025547940249,8,0.0,,,0,401145828.4593559,0.0,253360621.84316316,0.0,977550000.0,253360621.84316316,1230910621.843163,0.0,0.0,0.7941681407673765,,8,5,True,9.090226519341112,0.9726655922661109,0.7462018175908861,-1.5193979309495387
ESO079-G014,1,6.220897382232489,1.89564376298376,-35.10609896412781,-2.2816806109396537,0.7585739785608185,13.997870598242486,2.5438165359134214e-11,4,28.7,79.0,51.733,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,3.5,1,46179477389.85584,0.1401130478501828,15,0.0,,,0,44820971315.236885,0.0,23089738694.92792,0.0,4176200000.000001,23089738694.92792,27265938694.92792,0.0,0.0,0.1531654584397957,,15,1,True,10.4356204539029,2.196839145833112,1.1460619744089295,-0.6736954599492325
ESO116-G012,3,2.92238880659512,2.9872376500580446,0.3832324410118595,0.0217086322079747,0.6061131190138883,11.079186526401863,7.936341588427535e-12,7,13.0,74.0,4.292,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,3955979760.6390734,0.0633944388789634,15,0.0,,,0,4259941748.139932,0.0,1977989880.3195367,0.0,1440390000.0,1977989880.3195367,3418379880.319537,0.0,0.0,0.4213662759638515,,15,7,True,9.53382032367413,1.9568404901592336,1.0445078741050164,-1.1795608940113127
ESO563-G021,0,11.605130603966469,11.098557526849449,-11.501077158332563,-0.04564314559721172,0.6371788733244474,19.71627085279749,1.0026876071697711e-10,4,60.8,83.0,311.177,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,259451117028.7356,0.1478027032733229,30,0.0,,,0,308916509480.4,0.0,129725558514.36778,0.0,32316340000.0,129725558514.36778,162041898514.36777,0.0,0.0,0.1994320005892464,,30,16,True,11.209627322819893,2.6328316970876364,1.2948247756557125,-0.07801559878453662
F568-3,4,7.986828936806155,10.416073442941265,44.70514950294214,0.2332207543891075,0.7301487775940422,13.817226935760239,5.021628513454333e-12,7,82.4,40.0,8.346,7.47,23.81,4.99,132.08,3.195,16.14,0.0,0.0,1,8632884441.382534,0.0570571322366274,18,0.0,,,0,7532872015.842852,0.0,4316442220.691267,0.0,4249350000.0,4316442220.691267,8565792220.691267,0.0,0.0,0.4960837118761063,,18,2,True,9.932767535563508,1.3767593954048798,1.1404208905532989,-1.3783366644178907
F568-V1,3,17.106849251688352,19.611871525410436,91.98121340921426,0.12772989413460167,0.7281167640663961,13.869997373981077,5.510245657609088e-12,7,80.6,40.0,3.825,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1,3660742313.878037,0.0550913716850451,15,0.0,,,0,3777084898.034888,0.0,1830371156.9390185,0.0,3313030000.0000005,1830371156.9390185,5143401156.939018,0.0,0.0,0.6441321411475665,,15,4,True,9.711250398217786,1.4967913157000425,1.1420763788479327,-1.338010285060476
F571-8,3,48.629360788746325,46.839840522143895,-170.84407058218585,-0.03820508880162432,0.308761587129883,7.441445937492403,7.514746367579945e-12,5,53.3,85.0,10.164,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1,18706994899.54168,0.3946928204707112,13,0.0,,,0,9747959622.618872,0.0,9353497449.770838,0.0,2370060000.0,9353497449.770838,11723557449.770838,0.0,0.0,0.2021621858513883,,13,2,False,10.069059415980144,2.916827544276814,0.8716573309304053,-1.2032669188784322
F574-1,0,8.596096522815447,11.145093570735817,50.320235270897044,0.22871024202195922,0.7702212278992244,11.59251165423477,6.22708461525283e-12,7,96.8,65.0,6.537,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,7135739422.670256,0.1256535565195652,14,0.0,,,0,5548853166.879562,0.0,3567869711.335128,0.0,4686920000.000001,3567869711.335128,8254789711.335129,0.0,0.0,0.5677818774188905,,14,0,True,9.916706014198446,1.4768316285122607,1.064177541174899,-1.2848964789792332
