name,A_empirical,l0_empirical,p_empirical,n_coh_empirical,Rd,Vf,Mbar
UGC07323,0.6141028922896975,1.3933247643893196,4.999999999999998,0.8242167343484067,2.26,82.8,2.7765
UGC07399,5.806374461908338,2.9642679652038395,1.2734609824378642,2.999999999999158,1.64,103.0,1.323
UGC07524,2.2650254915514414,0.5000000000000021,0.6872348040869115,1.6041201055586913,3.46,79.5,2.997
UGC07559,1.1431442122066584,2.631725349695697,4.9616130118119015,2.0062205532501336,0.58,31.1,0.2235
UGC07577,0.3758252213340722,2.852597570586578,4.999999999999972,2.9999999998164633,0.9,15.9,0.0665
UGC07603,3.540994724884004,5.887693888704105,2.349837136023047,2.9999999999999996,0.53,61.6,0.446
UGC07608,5.305342640130012,0.5275808735873678,4.732846171629066,0.5930469844787475,1.5,66.0,0.667
UGC07690,0.9007907090817041,1.7358434937777492,3.3762708381495705,0.5000000000000001,0.57,57.4,0.819
UGC07866,1.292126283727601,7.664232690642837,0.500000001585691,2.999999863973466,0.61,30.6,0.18
UGC08286,3.5769157069535917,0.5000000000000044,0.5000000001622422,1.0095899002596211,1.05,82.4,1.2695
UGC08490,2.2916296511773595,4.943536586685193,1.5278887556461398,2.999999999998463,0.67,78.6,1.2285
UGC08550,2.770547479608491,9.999999999761629,0.8918696248754041,2.942037750291071,0.45,56.9,0.4325
UGC08699,1.2866636821191786,6.217905494014192,3.4287814035097863,2.9999999999701616,3.09,182.4,28.889
UGC08837,0.9289720718679016,2.0995114345435084,4.999999999999999,2.999999999999861,1.72,46.6,0.5705
UGC09037,0.47657702674406305,5.832903292774891,4.999999999977646,2.9999999988590136,4.28,152.3,53.385000000000005
UGC09133,0.6667046317943711,3.599242058168534,4.712204042267779,0.9041667566972829,6.97,226.8,174.891
UGC09992,0.7273997807785083,0.5000000000000001,0.5000000000000001,1.014759901321243,1.04,33.6,0.486
UGC10310,1.5834858964192322,0.5000000000000132,0.5000000000035882,1.8791179257667718,1.8,71.4,2.0665
UGC11455,0.3457079815609721,8.281179239537673,4.999999999872817,2.999999936394717,5.93,269.4,200.496
UGC11820,2.9188426165778703,0.5000000000059864,0.5455895836462081,1.4837818647372933,2.08,81.25,2.462
UGC11914,0.3818794551850431,4.935438818936208,4.999999999999997,2.9999999999998015,2.44,288.1,75.902
UGC12506,6.521907511195458,8.891456504935196,0.5000000000005824,0.5000000000000003,7.38,234.0,105.3415
UGC12632,2.936135171724983,0.5000000000000001,0.5000000000000641,1.6941563108007567,2.42,71.7,2.3945
UGC12732,3.4861651805164175,3.6618317853126086,1.037945272521005,2.9999999999999982,1.98,93.15,4.4935
UGCA442,6.972985677103255,7.658829223722291,1.287920443999967,2.9999999999999996,1.18,56.4,0.333
UGCA444,8.58836380726127,0.5000000000000001,0.5000000000000001,0.5000000000502074,0.83,37.0,0.073
