name,A_empirical,l0_empirical,p_empirical,n_coh_empirical,Rd,Vf,Mbar
D564-8,4.684417782726071,4.731966336799227,2.2719197423150486,2.9999999999999996,0.61,24.0,0.0455
D631-7,2.92975835498506,5.859401948779924,4.778740961665285,2.9999999999989173,0.7,57.7,0.388
DDO064,6.062199357100421,1.4725970976438096,0.5000000000000001,0.5000000000003413,0.69,46.1,0.2895
DDO154,3.161347955498067,5.404373776356813,3.273806562016193,2.999999999999952,0.37,47.0,0.3015
DDO161,1.757982266347569,5.566712737060589,4.173043008519265,2.9999999999999556,1.22,66.3,1.652
DDO168,2.726965099598474,2.6445991536586417,3.777323256437482,2.9999999999999996,1.02,53.4,0.5085
DDO170,3.206547277564563,0.759022931467882,1.6385815299668494,0.5000000000000001,1.95,60.0,1.0065
ESO079-G014,0.8572733765724123,0.7840037751219495,4.25043002429976,0.5000000000000001,5.08,175.0,29.0065
ESO116-G012,2.3530903208506664,5.082108213394309,2.4394523022803236,2.9999999999949316,1.51,109.1,3.229
ESO444-G084,6.647375431923177,8.843376469815242,0.9354617146910349,2.9999999998038684,0.46,62.7,0.1705
ESO563-G021,0.8472791266548529,8.999683410455676,1.6356456465216314,2.9999999963391963,5.45,314.6,179.8865
F561-1,0.16491440581942773,9.99999999999876,4.999999999997524,0.5000000000001583,2.79,50.0,3.6605
F563-1,7.742383949565095,0.500000000000002,0.9567114302765487,0.8985519046455088,3.52,109.9,4.1515
F563-V1,0.23365547342999288,9.999999875263462,0.5000000000000969,0.5000000026764263,3.79,28.6,1.38
F563-V2,4.654729910142272,0.5000000000000001,0.5000000000000001,1.9519607598396542,2.43,116.6,3.662
F565-V2,5.952838765044193,0.8309791462151747,2.5805685206748126,0.7006657029698693,2.17,78.5,0.9785
F567-2,1.0864951169636026,0.5876147537962642,2.3060140340387836,0.5000000000000001,3.08,48.1,3.516
F568-1,5.772429471714945,0.5000000000000001,0.5000000000000002,1.3016714680162458,5.18,133.0,7.624
F568-3,2.6338462118222394,0.5000000000004213,1.4092472325978571,0.6886786354389617,4.99,107.0,7.368
F568-V1,4.780355245288933,0.5000000000000001,0.9520093750030483,1.1026218827155339,2.85,112.3,4.4035
F571-8,5.442656489274622,3.443943405462851,3.5835909247853968,2.1966540434498634,3.56,139.7,6.864
F571-V1,3.508082702873716,4.618033077870962,1.5186434300170706,2.753844438962176,2.47,83.6,2.1415
F574-1,2.4146317274296636,0.5000000000000001,2.8318935337347146,1.1099154136828198,4.46,97.8,6.7925
F579-V1,4.032232366165855,0.564667900794136,0.5000000000000001,0.5000000000000644,3.37,112.1,8.169
F583-1,5.217474994568949,0.5000000000005099,2.1071638377907207,0.5000000000000001,2.36,85.8,2.619
F583-4,2.1164635583221965,0.5000000000000001,0.5000000000000079,0.8037049458972074,1.93,67.2,1.4985
IC2574,2.5425898312511115,3.957819911226546,1.3171052077287424,2.9999999997703375,2.78,66.4,1.544
IC4202,0.6078660654793968,5.7137970579081445,4.999999999999999,2.999999999999958,4.78,242.6,102.2005
KK98-251,1.5505215570283166,2.3838456169457807,0.830125671454526,2.9999999999166547,1.34,33.7,0.1575
NGC0024,2.705239527497085,9.999999996756122,0.7356433018765203,2.831256241951233,1.34,106.3,2.6205
NGC0055,1.3050040534821754,0.719694143009477,3.992846385097353,0.7969018012369559,6.11,85.6,3.879
NGC0100,2.984093355576638,5.682396174004307,3.0577618408534306,2.9999999999999996,1.66,88.1,3.606
NGC0247,2.18369130544205,0.5000000000000001,0.5000000000000814,1.054916165115652,3.74,104.9,5.412
NGC0289,1.6247178037319816,5.556701936271932,3.400652400855997,2.9999999999999836,6.74,163.0,63.5015
NGC0300,3.5280367540685984,7.538186075450145,1.5084695991165953,2.9999999999999964,1.75,93.3,2.397
NGC0801,0.4296100714719023,6.861055921374064,4.999999999999966,2.999999999965269,8.72,220.1,179.486
NGC1003,1.2092734543432624,5.254962121903512,4.999999999999963,2.9999999999999543,1.61,109.8,9.29
NGC1090,0.4423255208724737,6.495470193482484,4.999999999999788,2.9999999999992992,3.53,164.4,44.8055
NGC1705,2.9665653460766053,7.010857370753177,1.3895930580033133,2.9999999999986255,0.39,71.9,0.4055
NGC2366,2.0313064110255374,2.7488060407467203,4.728313599718771,0.6765272396147521,0.65,50.2,0.765
NGC2403,1.180080298924041,4.422976348040083,4.999999999999997,1.4988496358966517,1.39,131.2,8.2195
NGC2841,0.970899376491978,6.287558352357223,2.360965273394475,2.999999999999785,3.64,284.8,103.8355
NGC2903,0.30129370020988655,7.026155965182145,4.9999999999998925,2.9999999999709273,2.33,184.6,43.4835
NGC2915,5.674559171426996,5.384625754144589,4.999999999999998,2.999999999999999,0.55,83.5,0.8285
NGC2955,0.16557601639290545,1.7829846806094132,4.999999999999807,2.9999999997584426,18.76,257.0,188.66000000000005
NGC2976,0.18949740919917518,2.972700412203943,4.99999999999875,2.9999999999822693,1.01,85.4,1.8575
NGC2998,0.8961803645360913,4.52530114267678,4.999999999999999,1.4671315761345922,6.2,209.9,98.902
NGC3109,7.366479507142214,4.440824596527062,1.0438461284989866,2.9999999999999996,1.56,66.2,0.574
NGC3198,1.072745746730431,5.800016599492228,3.625582496617131,2.9999999999999427,3.14,150.1,30.0085
NGC3521,0.44206299814808,6.579693522976823,4.999999999993516,2.9999999999608797,2.4,213.7,46.572
NGC3726,0.24151747147358443,9.564618344531713,4.99999999999988,2.9999999715155226,3.4,168.0,41.59
NGC3741,3.0453293961738437,5.153018917770156,3.478649310567631,2.9999999999999996,0.2,50.1,0.196
NGC3769,1.7549187923958518,5.663659726299559,3.597921730762336,2.999999999999994,3.38,118.6,14.8685
NGC3877,0.139520468179031,9.99999999999809,4.999999999997145,0.5000000000002587,2.53,168.4,37.7505
NGC3893,0.5355406678113976,6.024737717702886,4.9999999999993205,2.9999999999952416,2.38,174.0,35.0615
NGC3917,1.1251839098249832,9.999999999999975,0.8938913681206563,2.502252466325631,2.63,135.9,12.871
NGC3972,0.8961670176785907,8.052396251034844,0.9968684047083775,2.9999999999951283,2.18,132.7,8.3905
NGC3992,0.5453333221318555,6.862251729721811,2.013042935595629,2.999999999985779,4.96,241.0,130.065
NGC4010,0.5848595726112309,2.9593144332936143,4.999999999999997,2.9999999999640807,2.81,125.8,11.4285
NGC4013,0.7031515214560166,6.907282172776793,4.999999999999999,2.9999999999943094,3.53,172.9,42.514
NGC4068,0.8880916133782293,3.8883391241774174,4.999999999999999,2.9999999999999925,0.59,36.0,0.272
NGC4100,0.41594280432175007,6.333550120751877,4.999999999999998,2.999999999999551,2.15,158.2,32.799
NGC4138,0.25566925240595373,6.275800507675122,4.999999999999455,2.9999999999569695,1.51,147.3,23.5385
NGC4183,1.6619160628708987,9.999999990932093,0.5000000000000012,2.030619842286291,2.79,110.6,8.924999999999999
NGC4214,2.1778903389146884,5.882805576046865,3.4229131422169865,2.9999999999999996,0.51,80.1,1.0565
NGC4217,0.33082094244935867,6.688333513961357,4.999999999999734,2.999999999412095,2.94,181.3,45.2115
NGC4559,0.60368989898338,6.575328610628562,4.9999999999999964,2.9999999999932916,2.1,121.2,15.4995
NGC5033,1.2391195260944752,4.251305403832819,3.9381778714778393,1.923983943859588,5.16,194.2,66.5685
NGC5371,0.18638562223094607,9.999999999994856,4.99999999999998,0.5000000000011459,7.44,209.5,181.3765
NGC5585,2.319947080391485,5.283416120593661,3.5357619883778506,2.99999999999968,1.53,90.3,3.1545
NGC5907,0.5099972423196985,5.486342526182381,4.999999999999245,2.9999999999999996,5.34,215.0,108.7375
NGC5985,1.373585236177653,0.5000000000000001,0.5000000000000001,1.109992632792525,7.01,293.6,115.95
NGC6015,0.7769903278720068,6.180726309893514,4.999999999999925,2.999999999999969,2.3,154.1,21.8985
NGC6195,0.1622724908553565,3.8088155737971663,4.999999999994392,2.999999972933419,13.94,251.7,216.445
NGC6503,1.5999807129170232,5.447234937973759,3.9052159057916653,2.999999997388205,2.16,116.3,8.166500000000001
NGC6674,0.9237924319604192,7.637644947874487,1.2130879914215127,2.9999999999071187,6.04,241.3,139.492
NGC6946,0.1878851693145022,8.018889449055296,4.999999999999994,2.999999999743123,2.44,158.9,38.7565
NGC7331,0.37977338531332455,7.59415706907878,4.999999999999996,2.999999999985945,5.02,239.0,136.3825
NGC7793,0.6387380869456315,4.241945798915206,4.999999999999999,2.999999999999867,1.21,109.0,4.386
NGC7814,1.026808743519761,4.878083699073389,4.468927692062958,1.7473810023004395,2.54,218.9,38.3345
PGC51017,1.8695318180307774,9.999999983814263,4.999999920593127,0.500000001974259,0.53,18.6,0.2785
UGC00128,3.732557310438598,0.5000000000000181,1.4477876537749914,0.6849926710654517,5.95,129.3,13.441
UGC00191,2.1410274473469846,0.5000000000000009,0.958160763134393,0.9070406357180242,1.58,81.0,2.345
UGC00731,7.377520729129287,0.5000000000000001,0.5000000000000236,0.7520704149904665,2.3,73.3,1.9685
UGC00891,4.547486678815175,5.080422133040497,2.2648564012974988,2.9999999999999996,1.43,60.15,0.615
UGC01230,2.8149949004320454,0.5000000000000001,1.1702365445102143,0.8030017204345558,4.34,103.7,10.24
UGC01281,3.5622376460799137,2.113363318612648,1.8045483951235266,2.9999999999999947,1.63,55.2,0.4705
UGC02023,0.8903454438577193,2.5470705097984534,4.9999999999995675,2.9999999999943676,1.55,47.9,1.131
UGC02259,3.976350156762085,0.5000000000000001,0.5000000000000001,1.0079235569631704,1.62,86.2,1.3565
UGC02487,1.3031624784856741,5.20838048650438,2.6728759963005104,2.999999999999959,7.89,332.0,262.9405
UGC02885,1.474548668228678,5.628959302849267,3.4561115601910246,2.9999999999999996,11.4,289.5,241.8375
UGC02916,0.5741502818871005,2.232000646844852,4.999999999999966,0.5291885368977544,6.15,182.7,85.3495
UGC02953,0.4057323408404518,6.77125788842931,4.999999999999996,2.9999999999846163,3.55,264.9,137.43699999999998
UGC03205,0.5196956906593448,6.152923874194661,4.999999999931038,2.9999999999913936,3.19,219.6,66.49799999999999
UGC03546,0.6780461039604301,6.110362299889078,4.999999999999999,2.999999999999397,3.79,196.9,53.343
UGC03580,1.3703884317055781,4.13444809612869,4.999999999999999,1.083205282376349,2.43,126.2,11.003
UGC04278,3.7706649964599324,2.2877955292564023,2.1337133608406433,1.9044803043918923,2.21,91.4,1.7695
UGC04305,0.43202943452929277,9.999999999659492,4.999999999508746,0.5000000000444846,1.16,34.5,1.0579999999999998
UGC04325,3.2911384942094513,0.5000000000000001,0.500000000000016,1.141349634310308,1.86,90.9,1.6909999999999998
UGC04483,1.8994895427950325,5.300139152450372,1.7344017907600733,2.9999999999999996,0.18,24.2,0.0385
UGC04499,1.6426501697285019,1.0662942729301306,3.597664920179324,0.5000000000000001,1.73,72.8,1.876
UGC05005,3.086257031094069,5.444455625981022,2.3929654888715097,2.9999999999999996,3.2,98.9,5.143
UGC05253,1.4505211646030423,2.209796096210524,4.181711567990128,0.5000000000000001,8.07,213.7,102.187
UGC05414,1.1400426328189102,2.4450412899409275,2.4347470540443203,2.9999999999999782,1.47,56.8,1.1355
UGC05716,3.9512059368883232,4.90564234875604,1.098171127113717,2.999999999999851,1.14,73.1,1.388
UGC05721,3.6492780879071267,5.795933550047017,2.8713847218533095,2.9999999999997633,0.38,79.7,0.8275000000000001
UGC05750,1.9829049523207052,0.7226569311329621,3.4954860456081516,0.5000000000000081,3.46,77.6,2.767
UGC05764,7.0138285159874005,0.5000000000000001,0.5000000000000638,1.4167440082312253,1.17,50.0,0.2055
UGC05829,3.0494732406057743,0.5000000000000001,0.5000000000000012,1.5008310149868136,1.99,65.6,1.305
UGC05918,4.530272121781221,0.5000000000000001,0.5000000000000759,1.439500596397555,1.66,42.6,0.4135
UGC05986,2.724740222140085,5.043360392658996,2.1321287423234128,2.9999999999973666,1.67,113.0,5.0145
UGC05999,2.731081871926945,1.3628361373585929,4.655261581069642,0.5000000000004415,3.22,97.7,3.714
UGC06399,2.251179368657081,3.123490163772572,1.2171424439403329,2.999999995657044,2.05,85.0,1.822
UGC06446,3.5571326792859863,0.50000000000001,1.0748441851175659,1.024253199038101,1.49,82.2,1.873
UGC06614,0.9367242752736968,6.251634608892509,4.999999999999999,2.9999999999999396,5.1,199.8,84.063
UGC06786,2.003791380973767,5.819262773785526,3.090125796226864,2.9999999999999987,3.6,219.4,41.7335
UGC06787,3.061103364259163,5.707070743512827,3.176339930710193,2.9999999999976477,5.37,248.1,54.158
UGC06818,2.266005680029319,3.6603574513031596,4.999999999999999,1.5552913743682335,1.39,71.2,1.873
UGC06917,1.5364043721311986,0.9160044973318556,3.515682184545475,0.500000000000031,2.76,108.7,5.439
UGC06923,0.7914339654221029,2.470135271030606,4.999999999999999,2.066260276867655,1.44,79.6,2.254
UGC06930,1.6434708725103069,7.968272771498647,0.6513067137714796,2.999999983890489,3.94,107.2,7.703
UGC06983,2.6409669181314315,0.8042741654534972,2.444591864600489,0.5000000000000014,3.21,109.0,5.616
UGC07089,1.2155222029857438,3.9819804995348744,3.4564775009665176,2.9999999999999996,2.26,77.6,3.0065
UGC07125,1.2507400979925631,1.3026002719796714,2.3371091227253746,0.5000000000000001,3.38,65.2,5.984999999999999
UGC07151,0.8729182060308386,0.8525736043755218,4.150975567094246,0.5000000000000001,1.25,73.5,1.758
UGC07261,1.7919478860163431,9.99999999942451,0.6475132512014787,2.788681658661346,1.2,74.7,2.2645
