registry_id,family,formula,schematic_equation,final_theory_eligibility,convenience_switch,per_object_gravity_fit,lensing_only_closure,empirical_gate_or_screen,empirical_composite,published_overlap_ids,galaxy_error,galaxy_error_unit,derived_lensing_error_dex,raw_lensing_error_arcsec,verdict,evidence
T001,Controls and bridge,Newtonian,g = g_bar,published_control_not_novel,False,False,False,False,False,NEWTON-POISSON,60.721,km/s,0.8836668315415412,25.199375215312845,baseline fails galaxies and clusters,phenomenology_formula_sweep; SPARC/raw overrides where available
T002,Controls and bridge,Fixed RAR,g/g_bar = [1-exp(-sqrt(g_bar/a0))]^-1,published_control_not_novel,False,False,False,False,False,RAR-EMPIRICAL;MOND-ALGEBRAIC,10.348465773189679,km/s,0.5229290379463523,25.673186,excellent galaxy control; fails raw cluster lensing,phenomenology_formula_sweep; SPARC/raw overrides where available
T003,Controls and bridge,Simple MOND,g/g_bar = (1+sqrt(1+4 a0/g_bar))/2,published_control_not_novel,False,False,False,False,False,MOND-ALGEBRAIC,10.385167718947924,km/s,0.5184098718698747,25.636323304729075,excellent galaxies; fails cluster lensing,phenomenology_formula_sweep; SPARC/raw overrides where available
T004,Controls and bridge,Cluster-retuned RAR,RAR law with a0 retuned to cluster data,prohibited_convenience_switch,True,False,False,False,False,RAR-EMPIRICAL;MOND-ALGEBRAIC,0.13209286722235497,dex,0.10825196795953458,2.8163679569314946,cluster-only retuning; not universal,phenomenology_formula_sweep; SPARC/raw overrides where available
T005,Controls and bridge,Density-only refracted gravity,g = g_bar / epsilon(rho_b),published_control_not_novel,False,False,False,False,False,NEWTON-POISSON;REFRACTED-GRAVITY;COVARIANT-RG,0.09343518408188183,dex,0.15564686324535573,,diagnostic only; no independent SPARC transfer,phenomenology_formula_sweep; SPARC/raw overrides where available
T006,Controls and bridge,RG with acceleration-moving density threshold,g = g_bar / epsilon[rho_b; rho_c(g_bar)],diagnostic_not_final_theory,False,False,False,True,False,NEWTON-POISSON;REFRACTED-GRAVITY;COVARIANT-RG,0.08492492356891329,dex,0.11595839101398647,,diagnostic only; no independent SPARC transfer,phenomenology_formula_sweep; SPARC/raw overrides where available
T007,Controls and bridge,RG with potential-moving density threshold,g = g_bar / epsilon[rho_b; rho_c(Phi_bar)],diagnostic_not_final_theory,False,False,False,True,False,NEWTON-POISSON;EMOND;REFRACTED-GRAVITY;COVARIANT-RG,0.08691407861800247,dex,0.11113832142009719,,diagnostic only; no independent SPARC transfer,phenomenology_formula_sweep; SPARC/raw overrides where available
T008,Controls and bridge,RG with acceleration-dependent floor,g = g_bar / epsilon[rho_b; epsilon0(g_bar)],diagnostic_not_final_theory,False,False,False,False,False,NEWTON-POISSON;REFRACTED-GRAVITY;COVARIANT-RG,0.08709448168309517,dex,0.10364655458690131,,diagnostic only; no independent SPARC transfer,phenomenology_formula_sweep; SPARC/raw overrides where available
T009,Controls and bridge,RG + Sigma additive,E = E_RG + B E_Sigma,diagnostic_not_final_theory,False,False,False,False,True,REFRACTED-GRAVITY;COVARIANT-RG,0.08866387908877083,dex,0.10223033028598305,,diagnostic only; no independent SPARC transfer,phenomenology_formula_sweep; SPARC/raw overrides where available
T010,Controls and bridge,RG + Sigma quadrature,E = sqrt(E_RG^2 + (B E_Sigma)^2),diagnostic_not_final_theory,False,False,False,False,True,REFRACTED-GRAVITY;COVARIANT-RG,0.09222695167561762,dex,0.10314605196857649,,diagnostic only; no independent SPARC transfer,phenomenology_formula_sweep; SPARC/raw overrides where available
