system,target_kind,fraction_max,length_over_R80,radius_exponent,width_over_R80,external_direction_mix,tensor_axis_ratio,tensor_orientation,shape_gate,candidate_id,changed_parameter,changed_level,jensen_shannon,pearson,normalized_RMSE,centroid_offset_kpc
RXC J0600.1-2007,glafic_best,0.6,1.0,0.0,0.25,0.0,1.5,tidal,H,T012_radius_exponent_0.0,radius_exponent,0.0,0.03713326116732592,0.9064672650380767,0.36288162339571184,32.00929793291279
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.1,0.0,1.5,tidal,H,T013_width_over_R80_0.1,width_over_R80,0.1,0.032673281705098686,0.9176743925668962,0.36788694409675043,28.992390498736142
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.175,0.0,1.5,tidal,H,T014_width_over_R80_0.175,width_over_R80,0.175,0.028062045850895792,0.926510007110751,0.33192015063922153,28.989000828099574
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.35,0.0,1.5,tidal,H,T015_width_over_R80_0.35,width_over_R80,0.35,0.026806001272607745,0.9282091490838181,0.3034411808740538,29.309583455713017
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.5,0.0,1.5,tidal,H,T016_width_over_R80_0.5,width_over_R80,0.5,0.02782466949470886,0.9253792096959377,0.2986581982424764,29.646197690588522
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.25,0.25,1.5,tidal,H,T017_external_direction_mix_0.25,external_direction_mix,0.25,0.027249851031262966,0.9290986818815252,0.31047919232958315,29.537991646726176
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.25,0.5,1.5,tidal,H,T018_external_direction_mix_0.5,external_direction_mix,0.5,0.02761336336051458,0.9298616228400844,0.30327921094096694,30.12993390714883
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.25,0.75,1.5,tidal,H,T019_external_direction_mix_0.75,external_direction_mix,0.75,0.02775396191228098,0.9289914574564871,0.299782064126412,30.54572695599373
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.25,1.0,1.5,tidal,H,T020_external_direction_mix_1.0,external_direction_mix,1.0,0.02723108571223761,0.928083022230093,0.297904536524695,30.82409965778606
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.25,0.0,1.0,tidal,H,T021_tensor_axis_ratio_1.0,tensor_axis_ratio,1.0,0.02701330551112232,0.9283132982818219,0.31577582852188835,29.22980056473252
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.25,0.0,1.25,tidal,H,T022_tensor_axis_ratio_1.25,tensor_axis_ratio,1.25,0.026844730195304034,0.9283501683132148,0.31564764963287095,29.180937752514616
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.25,0.0,2.0,tidal,H,T023_tensor_axis_ratio_2.0,tensor_axis_ratio,2.0,0.027074127079461954,0.9280500515336385,0.3146082172987506,29.12864592768818
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.25,0.0,3.0,tidal,H,T024_tensor_axis_ratio_3.0,tensor_axis_ratio,3.0,0.02724313006756983,0.9275075954610977,0.3127792979034851,29.010323404797028
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.25,0.0,1.5,radial,H,T025_tensor_orientation_radial,tensor_orientation,radial,0.02743131682700653,0.9280517886115472,0.31998275894847017,29.404765117940954
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.25,0.0,1.5,external,H,T026_tensor_orientation_external,tensor_orientation,external,0.027279144851690654,0.9285650265047586,0.3171334573249779,29.368905276716866
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.25,0.0,1.5,tidal,none,T027_shape_gate_none,shape_gate,none,0.021582908730217634,0.9433518197727009,0.2919092561313103,20.125972421841883
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.25,0.0,1.5,tidal,sqrt_H,T028_shape_gate_sqrt_H,shape_gate,sqrt_H,0.022915342834287818,0.9380151595415908,0.29628005279465086,26.156124966084818
RXC J0600.1-2007,glafic_best,0.6,1.0,-0.5,0.25,0.0,1.5,tidal,H2,T029_shape_gate_H2,shape_gate,H2,0.03263470091994965,0.9165226289862187,0.3395001739863889,31.640143494244594
RXC J0600.1-2007,glafic_best,,,,,,,,,LOCAL75,control,LOCAL75,0.027978957071853258,0.9266758219011665,0.2813178785446926,33.92346004815886
RXC J0600.1-2007,glafic_best,,,,,,,,,CENTRAL100,control,CENTRAL100,0.025876771981222114,0.9377525974334198,0.27125006595456497,25.955950276014846
RXC J0600.1-2007,glafic_best,,,,,,,,,C0351,control,C0351,0.02012132675807437,0.9488477394458147,0.27840861223398433,23.53931528815062
RXC J0600.1-2007,glafic_best,,,,,,,,,W060,control,W060,0.017710140429984797,0.9553907222546917,0.22239211341450218,24.07385391078064
