parameter,best_level,worst_level,equal_JS_span,best_equal_JS,worst_equal_JS
length_over_R80,0.75,1.5,0.025890091229958556,0.06505671534548832,0.09094680657544688
width_over_R80,0.25,0.1,0.01738536748802892,0.06588225241798516,0.08326761990601408
external_direction_mix,0.0,1.0,0.014399916519431927,0.06588225241798516,0.08028216893741709
fraction_max,0.75,0.3,0.011042115161982724,0.06397437913441818,0.0750164942964009
tensor_axis_ratio,1.0,3.0,0.004657727416494409,0.06487731057988644,0.06953503799638085
shape_gate,sqrt_H,H2,0.00426893981053382,0.06478857715202142,0.06905751696255524
radius_exponent,-0.5,-1.0,0.0031221653993403348,0.06588225241798516,0.0690044178173255
tensor_orientation,external,tidal,0.0005079649659697066,0.06537428745201546,0.06588225241798516
