source_id,designation,ref_epoch,ra,dec,ra_error,dec_error,pmra,pmdec,pmra_error,pmdec_error,astrometric_params_solved,phot_g_mean_mag,ruwe,duplicated_source,visibility_periods_used,target_epoch,ra_epoch,dec_epoch,image_x_pixel,image_y_pixel,residual_pixel,residual_arcsec,initial_x_pixel,initial_y_pixel,accepted,rejection_reason,refined_x_pixel,refined_y_pixel,centroid_shift_pixel,background_adu,net_weight_adu,fwhm_pixel,ellipticity,moment_xx,moment_yy,moment_xy,fitted_residual_pixel,loo_residual_pixel,loo_residual_arcsec
5484995363836722048,Gaia DR3 5484995363836722048,2016.0,104.58326434965498,-56.00488562732364,0.039232302,0.038845334,0.3039072594332179,7.171683587435474,0.048086777,0.047795743,31,16.741814,0.9950073,False,26,1998.9507289938715,104.5832617754825,-56.004919591761706,1375.0,122.0,1.198691525796915,0.2392249775003757,1375.0,122.0,True,,1375.2022064642529,120.90508332657352,1.1134316215794124,1063.489990234375,1394278.4182128906,3.9045741481079967,0.07553804621485671,2.669471323097176,2.829252362887559,-0.20014564169148738,0.22308164800775312,0.24313030125528765,0.04852194213084796
5484995359540276096,Gaia DR3 5484995359540276096,2016.0,104.58757727715609,-56.00979332975308,0.06294566,0.061689552,1.115226206948202,4.004240197111796,0.077500634,0.074824795,31,17.52428,1.045836,False,26,1998.9507289938715,104.5875678297039,-56.00981229346872,1332.0,33.0,0.240960909411961,0.0480889927825456,1332.0,33.0,True,,1331.9448525832422,32.530218394649324,0.47300739349498055,835.3905029296875,559507.9609375,3.842930987616359,0.08212457176678112,2.536982307666323,2.789490550536789,-0.18945022237199083,0.16663051522675537,0.18489730112379427,0.0369002798045256
5484995569995150976,Gaia DR3 5484995569995150976,2016.0,104.57936915313074,-56.00128783783968,0.06638139,0.06386637,-1.7869307541174544,10.39917010012924,0.08216359,0.07822352,31,17.504492,1.0949609,False,26,1998.9507289938715,104.57938428748368,-56.00133708735893,1414.0,186.0,0.7320123870328595,0.1460890004219489,1414.0,186.0,True,,1414.1326061301472,185.58162394111818,0.4388882686950126,902.2193603515625,678420.6163330078,3.8167815283209396,0.08328736526243963,2.5149589276683195,2.7392719355181008,-0.19837237961133572,0.3892796297189445,0.41927536098304163,0.08367552171602094
5484995359540280448,Gaia DR3 5484995359540280448,2016.0,104.59047778531574,-56.0066720528429,0.15675375,0.15782996,1.6120062115129947,5.4461519481032745,0.18691151,0.18369454,95,18.98714,0.9693437,False,26,1998.9507289938715,104.5904641305781,-56.00669784532082,1303.0,89.0,0.2635312316857657,0.052593391722496,1303.0,89.0,True,,1302.7237737700198,88.91452043783531,0.2891499363253662,723.4324340820312,32039.495483398438,3.779150044455146,0.07111669653680575,2.4683614162599,2.682772231626879,-0.15645564647211654,0.32095042572343585,0.3554619484434229,0.07094016666388316
5484995668777932544,Gaia DR3 5484995668777932544,2016.0,104.61124822790022,-56.00255410071991,0.15526362,0.1474884,-0.8045259491254835,7.454979321667241,0.18113431,0.1704474,95,18.84998,1.0591533,False,26,1998.9507289938715,104.61125504203034,-56.00258940682069,1093.0,163.0,0.7898966325377329,0.1576410611736286,1093.0,163.0,True,,1093.3853931399176,163.19245547011104,0.4307748603054805,740.0167846679688,56852.220764160156,3.7907313381035443,0.06918964736099165,2.5148535246053405,2.667900038083098,-0.16896222295514893,0.895259394501579,1.045908449944206,0.20873379015423707
5484995569995151232,Gaia DR3 5484995569995151232,2016.0,104.59593714487151,-55.99291745608458,0.040216032,0.040355608,-1.185010024120794,2.9063640524195886,0.048942678,0.048790053,31,16.72598,1.0142636,False,26,1998.9507289938715,104.59594717910277,-55.992931220359125,1247.0,337.0,0.774153104235532,0.1544990975217485,1247.0,337.0,True,,1247.286245497889,337.39465419308215,0.4875329908622074,915.5035400390625,837174.3326416016,3.802865228681243,0.05910710734032676,2.5297813984145696,2.6862045975936373,-0.13808714769155425,1.0670596885193941,1.1635715705163256,0.2322160262139072
5484995569995995264,Gaia DR3 5484995569995995264,2016.0,104.57874966537476,-55.99207197258836,0.04852218,0.049376033,6.370794352328428,4.837420437278455,0.058966003,0.059030257,95,17.049496,1.0459312,False,25,1998.9507289938715,104.57869572099928,-55.99209488216948,1421.0,352.0,0.3959919683864012,0.0790288140767384,1421.0,352.0,True,,1420.8560413382886,352.26975531603296,0.30576465919032536,962.9050903320312,1066535.609008789,3.8110265313580722,0.07514531619941645,2.530328228797442,2.708069773256051,-0.18383908251372175,0.7623370717846604,0.8074847737847484,0.1611511574774241
5484995531338985984,Gaia DR3 5484995531338985984,2016.0,104.5653470761897,-55.99583909434255,0.12976937,0.124444194,2.1517760928690537,0.8683765980585678,0.15584294,0.15169369,31,18.753998,0.9465996,False,25,1998.9507289938715,104.56532885435992,-55.99584320689476,1555.0,285.0,1.025372179603674,0.2046353305385413,1555.0,285.0,True,,1555.5081962244647,284.5496722891113,0.6790128494766404,758.338134765625,158596.93981933594,3.81300865745521,0.07586269309221716,2.541870656242927,2.7019777752206053,-0.19027290637906802,0.38087352300584393,0.40436311837093825,0.08069945921237648
5484995535635409792,Gaia DR3 5484995535635409792,2016.0,104.54715692375773,-56.01016994346844,0.05273379,0.05072436,48.83872335928828,-65.73547108405562,0.06456528,0.06345998,31,17.059448,1.1197053,False,26,1998.9507289938715,104.54674319065236,-56.00985862628477,1743.0,31.0,1.072828251633523,0.214106222356225,1743.0,31.0,True,,1743.3516769758928,30.893495119827275,0.3674506563794954,744.5237426757812,137894.27416992188,3.801696795581003,0.06277183485646487,2.587991403417504,2.624789854033217,-0.16772597283667123,1.374924000111909,1.5299290331082613,0.30533062981251397
5484996355972729472,Gaia DR3 5484996355972729472,2016.0,104.55932158058704,-55.97972220110532,0.06691837,0.06615873,-2.5265729521710902,-3.3680942828291647,0.08371659,0.08552374,31,17.681183,1.0138578,False,25,1998.9507289938715,104.55934296738258,-55.9797062501186,1616.0,575.0,0.3848459719825176,0.0768043879574617,1616.0,575.0,True,,1615.4892962010854,575.2232376958686,0.557362933000183,784.8979797363281,252944.60614013672,3.7574034426480347,0.06851800127450203,2.517638206679077,2.5743830216946,-0.17816394195857327,0.6787407470076087,0.7088645918616571,0.14146935419951256
