cohort,system_label,phase_degrees,variant_id,epsilon,heldout_images,heldout_converged_roots,heldout_all_roots,heldout_RMS_arcsec,scalar_control_RMS_arcsec,complete,improvement_fraction
P0581_four,MACS0329,-90.0,phase_-90.0,0.0094362129027287,3,3,True,19.66378461456687,19.640918303224144,True,-0.001164218036535214
P0581_four,MACS0329,-67.5,phase_-67.5,0.0094362129027287,3,3,True,19.67593907761673,19.640918303224144,True,-0.001783051782606071
P0581_four,MACS0329,-45.0,phase_-45.0,0.0094362129027287,3,3,True,19.67791969159402,19.640918303224144,True,-0.0018838929931195292
P0581_four,MACS0329,-22.5,phase_-22.5,0.0094362129027287,3,3,True,19.666675937574546,19.640918303224144,True,-0.0013114271925958043
P0581_four,MACS0329,0.0,phase_+00.0,0.0094362129027287,3,3,True,19.64637432027277,19.640918303224144,True,-0.0002777882869016146
P0581_four,MACS0329,22.5,phase_+22.5,0.0094362129027287,3,3,True,19.6317399538114,19.640918303224144,True,0.0004673075500363222
P0581_four,MACS0329,45.0,phase_+45.0,0.0094362129027287,3,3,True,19.62616536070449,19.640918303224144,True,0.0007511330321674503
P0581_four,MACS0329,67.5,phase_+67.5,0.0094362129027287,3,3,True,19.62091087418887,19.640918303224144,True,0.0010186605700605034
P0581_four,MACS0329,90.0,phase_+90.0,0.0094362129027287,3,3,True,19.61820403769137,19.640918303224144,True,0.0011564767584744118
P0581_four,MACS0429,-90.0,phase_-90.0,0.0061721911026827,2,2,True,13.299910890434086,13.340671165155747,True,0.0030553391367685867
P0581_four,MACS0429,-67.5,phase_-67.5,0.0061721911026827,2,2,True,13.310098570738775,13.340671165155747,True,0.0022916833822291816
P0581_four,MACS0429,-45.0,phase_-45.0,0.0061721911026827,2,2,True,13.3250245118442,13.340671165155747,True,0.0011728535332176104
P0581_four,MACS0429,-22.5,phase_-22.5,0.0061721911026827,2,2,True,13.343410572545244,13.340671165155747,True,-0.00020534254653181705
P0581_four,MACS0429,0.0,phase_+00.0,0.0061721911026827,2,2,True,13.361839037627032,13.340671165155747,True,-0.001586717205546151
P0581_four,MACS0429,22.5,phase_+22.5,0.0061721911026827,2,2,True,13.37594342832705,13.340671165155747,True,-0.0026439646652434146
P0581_four,MACS0429,45.0,phase_+45.0,0.0061721911026827,2,2,True,13.384052256637151,13.340671165155747,True,-0.003251792278240906
P0581_four,MACS0429,67.5,phase_+67.5,0.0061721911026827,2,2,True,13.38651843852914,13.340671165155747,True,-0.0034366541837220765
P0581_four,MACS0429,90.0,phase_+90.0,0.0061721911026827,2,2,True,13.383339304546723,13.340671165155747,True,-0.0031983502825869703
P0581_four,MACS1115,-90.0,phase_-90.0,0.0171850286544052,2,2,True,26.793746420628118,26.997076834472395,True,0.007531571476829146
P0581_four,MACS1115,-67.5,phase_-67.5,0.0171850286544052,2,2,True,26.535681030185646,26.997076834472395,True,0.017090583810821847
P0581_four,MACS1115,-45.0,phase_-45.0,0.0171850286544052,2,2,True,26.587214082903294,26.997076834472395,True,0.015181745567570126
P0581_four,MACS1115,-22.5,phase_-22.5,0.0171850286544052,2,2,True,26.713751491691436,26.997076834472395,True,0.01049466742337013
P0581_four,MACS1115,0.0,phase_+00.0,0.0171850286544052,2,2,True,26.74239225466736,26.997076834472395,True,0.009433783567257437
P0581_four,MACS1115,22.5,phase_+22.5,0.0171850286544052,2,2,True,26.682896493601756,26.997076834472395,True,0.011637568867065795
P0581_four,MACS1115,45.0,phase_+45.0,0.0171850286544052,2,2,True,26.699887815745107,26.997076834472395,True,0.011008192499856406
P0581_four,MACS1115,67.5,phase_+67.5,0.0171850286544052,2,2,True,26.761122612471965,26.997076834472395,True,0.008739991497862531
P0581_four,MACS1115,90.0,phase_+90.0,0.0171850286544052,2,2,True,26.831314166330568,26.997076834472395,True,0.00614002283129278
P0581_four,MACS1931,-90.0,phase_-90.0,0.0210865751909808,4,4,True,26.93124679342858,27.11031803547668,True,0.006605280019724047
P0581_four,MACS1931,-67.5,phase_-67.5,0.0210865751909808,4,4,True,26.96911942580408,27.11031803547668,True,0.005208297795984085
P0581_four,MACS1931,-45.0,phase_-45.0,0.0210865751909808,4,4,True,27.004422633130822,27.11031803547668,True,0.0039060922194745773
P0581_four,MACS1931,-22.5,phase_-22.5,0.0210865751909808,4,4,True,27.111457653013343,27.11031803547668,True,-4.203630275267933e-05
P0581_four,MACS1931,0.0,phase_+00.0,0.0210865751909808,4,4,True,27.249567434314397,27.11031803547668,True,-0.005136398571772283
P0581_four,MACS1931,22.5,phase_+22.5,0.0210865751909808,4,4,True,27.292234569230757,27.11031803547668,True,-0.00671023237411017
P0581_four,MACS1931,45.0,phase_+45.0,0.0210865751909808,4,4,True,27.281931164675065,27.11031803547668,True,-0.006330177645788249
P0581_four,MACS1931,67.5,phase_+67.5,0.0210865751909808,4,4,True,27.224664948644204,27.11031803547668,True,-0.004217837393788226
P0581_four,MACS1931,90.0,phase_+90.0,0.0210865751909808,4,4,True,27.17159634557372,27.11031803547668,True,-0.002260331657373049
