feature,target,galaxies,spearman_rho,p_value,partial_rho_controlling_log_mass,partial_p_value_controlling_log_mass,input_safe_for_blind_prediction,BH_q_value,partial_BH_q_value
median_outer_gbar,P0554_mean_velocity_residual,131,0.48380932045054187,4.7975628161045545e-09,0.39267602626381254,3.5003222612203365e-06,True,1.055463819543002e-07,3.8503544873423704e-05
potential_depth,P0554_mean_velocity_residual,131,0.41801099663695085,6.768429530104962e-07,0.4001868360646987,2.180882285970915e-06,True,7.445272483115458e-06,3.8503544873423704e-05
outer_rotation_slope_observed,P0554_mean_velocity_residual,131,-0.34577483585117175,5.2291021460105954e-05,-0.2241285432125127,0.010067289031669875,False,0.00038346749070744367,0.05537008967418432
gas_fraction,P0554_mean_velocity_residual,131,-0.2878556557945871,0.0008562561784894888,-0.06310254630865318,0.47397057932548226,True,0.0037675271853537507,0.5488080392189795
log10_baryonic_mass,P0554_mean_velocity_residual,131,0.28993754337265787,0.0007818616004538462,0.019965928356921996,0.8209269697962436,True,0.0037675271853537507,0.9030196667758679
disk_scale_kpc,P0554_mean_velocity_residual,131,0.28345315487053585,0.0010353801095420241,0.0822612502001815,0.35026073493071075,True,0.003796393734987422,0.428096453804202
disk_central_surface_brightness,P0554_mean_velocity_residual,131,0.18748548660296435,0.0320043534462381,0.007334650082741685,0.9337358925499162,True,0.08801197197715478,0.9781995064808646
hubble_type,P0554_mean_velocity_residual,131,-0.1686324997427897,0.054179186929175206,0.14942080819943415,0.08849604676033135,True,0.1324380124935394,0.20963756803996283
inclination,P0554_mean_velocity_residual,131,-0.09203710691995537,0.29577448219956326,-0.10952863929963166,0.21300376824981526,True,0.4376222863021999,0.3124055267663957
stellar_bulge_fraction,P0554_mean_velocity_residual,131,0.07952702569572527,0.3665599496384001,-0.09212619441627075,0.2953052574657049,True,0.44801771622471126,0.38215974495561816
median_radius_over_R80,P0554_mean_velocity_residual,131,0.07263652378156196,0.40966405948011153,-0.1392462499332728,0.11269183816265961,True,0.4506304654281227,0.22538367632531922
inclination,log_P0554_to_RAR_error_ratio,131,0.2520110696761891,0.003686954230551921,0.25383013932632253,0.0034396460059134544,True,0.011587570438877466,0.025224070710031996
outer_rotation_slope_observed,log_P0554_to_RAR_error_ratio,131,0.15874125874125875,0.070146360823289,0.14636203491165323,0.09528980365452855,False,0.1543219938112358,0.20963756803996283
disk_scale_kpc,log_P0554_to_RAR_error_ratio,131,-0.13962464085080178,0.1117080958205842,-0.130117973629424,0.138526643737533,True,0.21794184376239487,0.2344297047865943
median_outer_gbar,log_P0554_to_RAR_error_ratio,131,-0.13692414455773233,0.11887736932494265,-0.10120108898734853,0.25008058725753834,True,0.21794184376239487,0.34386080747911524
potential_depth,log_P0554_to_RAR_error_ratio,131,-0.13053435114503817,0.1372576695988946,-0.18308332888485562,0.036337802747441035,True,0.232282210090437,0.13454413029960993
median_radius_over_R80,log_P0554_to_RAR_error_ratio,131,0.09154433352906635,0.29837883156968176,0.16786953504510754,0.05529337289744596,True,0.4376222863021999,0.1612941166979304
disk_central_surface_brightness,log_P0554_to_RAR_error_ratio,131,0.08676295133276328,0.3244327599172634,0.18274168579512093,0.03669385371807544,True,0.4382146364987739,0.13454413029960993
log10_baryonic_mass,log_P0554_to_RAR_error_ratio,131,-0.08426306517909571,0.33862040093087076,-0.0007316775522247927,0.9933822847076175,True,0.4382146364987739,0.9933822847076175
stellar_bulge_fraction,log_P0554_to_RAR_error_ratio,131,0.07276015702503566,0.40886534321991297,0.16564351678855496,0.05865240607197469,True,0.4506304654281227,0.1612941166979304
gas_fraction,log_P0554_to_RAR_error_ratio,131,0.012806277691773874,0.8845721479241582,-0.11690065659531308,0.18360732765563975,True,0.9238629162756875,0.2885258006017196
hubble_type,log_P0554_to_RAR_error_ratio,131,0.008430550689504632,0.9238629162756875,-0.1311268883787968,0.13546712366508365,True,0.9238629162756875,0.2344297047865943
