outlier_type,galaxy,points,P0554_RMSE_km_s,RAR_RMSE_km_s,P0554_to_RAR_ratio,P0554_mean_residual_km_s,baryonic_mass_solar,gas_fraction,stellar_bulge_fraction,disk_central_surface_brightness,outer_log_velocity_slope,stellar_structure,hubble_family,surface_brightness_family,baryonic_mass_family,gas_fraction_family,inclination_family,outer_rotation_shape
most_negative_bias,UGC06818,3,17.23673773252321,11.075045216609665,1.556358226571628,-17.065013448016508,2185274827.6259923,0.6567000094715825,0.0,286.31,0.14204050883295802,disk_dominated,late_Sd_to_BCD,intermediate_surface_brightness,intermediate_mass,gas_rich,edge_on,rising
most_negative_bias,NGC0100,7,16.61617408705528,8.507647938742156,1.9530867058318775,-16.532159532062376,4107672687.353753,0.6443307929934063,0.0,1193.52,0.30303301372208585,disk_dominated,spiral_Sbc_to_Scd,high_surface_brightness,intermediate_mass,gas_rich,edge_on,rising
most_negative_bias,NGC3109,8,15.038141581982028,6.885114561282238,2.184152703362052,-15.025475669322269,733504413.4105853,0.8649027714096161,0.0,140.87,0.4170770076097206,disk_dominated,late_Sd_to_BCD,intermediate_surface_brightness,dwarf_mass,gas_rich,edge_on,rising
most_positive_bias,IC4202,10,31.014419871580444,19.389473242200264,1.5995493783750163,30.535771697754647,108701873577.65315,0.1508123039690658,0.3649073360027581,8888.53,-0.03148247305409387,bulge_dominated,spiral_Sbc_to_Scd,high_surface_brightness,giant_mass,gas_poor,edge_on,approximately_flat
most_positive_bias,UGC12506,10,29.151320922066425,28.839591719765888,1.0108090712701348,28.26620528707242,113726213537.51756,0.4158186448755677,0.0,5608.28,-0.1868903139607346,disk_dominated,spiral_Sbc_to_Scd,high_surface_brightness,giant_mass,mixed_gas,edge_on,declining
most_positive_bias,NGC3953,3,26.039765894242986,16.945641341265507,1.536664524512964,25.973854545947244,91921937510.34424,0.0409756376118175,0.0,1999.08,-0.1409533864320065,disk_dominated,spiral_Sbc_to_Scd,high_surface_brightness,intermediate_mass,gas_poor,intermediate_inclination,declining
most_positive_bias,NGC3877,4,23.536963210608288,18.4132788880354,1.2782602899640085,23.449660309801892,28621846099.09365,0.0689120468739596,0.0,3410.59,-0.004298535685294745,disk_dominated,spiral_Sbc_to_Scd,high_surface_brightness,intermediate_mass,gas_poor,edge_on,approximately_flat
most_positive_bias,NGC5985,10,22.4427263456387,9.78623768876818,2.2932946306215896,22.27095508837857,119753294716.71498,0.1286760421619463,0.0683070793001573,1461.61,-0.026146611968401564,mixed_disk_bulge,early_S0_to_Sb,high_surface_brightness,giant_mass,gas_poor,intermediate_inclination,approximately_flat
most_positive_bias,UGC02916,13,25.44904957858333,26.122704634514104,0.9742118947729203,19.186974592716307,128782630217.13396,0.2403514351882046,0.752386217632439,520.99,-0.11663812130837288,bulge_dominated,early_S0_to_Sb,high_surface_brightness,giant_mass,mixed_gas,intermediate_inclination,declining
most_positive_bias,NGC0801,4,18.997251514824846,15.892204085529205,1.1953817993139775,18.202781370865424,215099629792.3163,0.143455988417058,0.0,1558.94,-0.04593680725733914,disk_dominated,spiral_Sbc_to_Scd,high_surface_brightness,giant_mass,gas_poor,edge_on,approximately_flat
most_positive_bias,UGC04325,3,12.63645665159052,14.637268093781799,0.8633070440896505,12.524942028405766,2202671138.372617,0.4093847621148865,0.0,213.22,-0.0017127028281688974,disk_dominated,late_Sd_to_BCD,intermediate_surface_brightness,intermediate_mass,mixed_gas,moderate_inclination,approximately_flat
most_positive_bias,UGC02487,6,14.338267881156007,11.107237816531176,1.290894110488569,10.839988564798054,284164341752.8139,0.0840738491417825,0.2911057973798603,1150.35,0.012208453477943887,mixed_disk_bulge,early_S0_to_Sb,high_surface_brightness,giant_mass,gas_poor,moderate_inclination,approximately_flat
most_positive_bias,UGC11455,11,16.42469649344767,9.700224780939342,1.6932284420585508,10.589726851402242,191364292860.58545,0.0926795157805164,0.0,9568.2,-0.09086599819417719,disk_dominated,spiral_Sbc_to_Scd,high_surface_brightness,giant_mass,gas_poor,edge_on,approximately_flat
most_positive_bias,NGC4100,8,10.961957944882123,13.468325850669155,0.8139064993246724,9.85608448314381,28579187604.14233,0.1443588970108449,0.0,8970.78,-0.4302844684053408,disk_dominated,spiral_Sbc_to_Scd,high_surface_brightness,intermediate_mass,gas_poor,edge_on,declining
most_positive_bias,NGC2683,4,12.525829130346173,22.488791450595592,0.5569809812974382,9.795139369038438,40395365059.67497,0.0462919445643709,0.0981405519700203,10205.4,0.03196213226268016,mixed_disk_bulge,early_S0_to_Sb,high_surface_brightness,intermediate_mass,gas_poor,edge_on,approximately_flat
