dimension,bin,galaxies,points,P0554_RMSE_km_s,fixed_RAR_RMSE_km_s,P0554_to_RAR_ratio,P0554_equal_galaxy_RMSE_km_s,RAR_equal_galaxy_RMSE_km_s,P0554_mean_residual_km_s,RAR_mean_residual_km_s,P0554_galaxies_better_fraction
all,all,131,968,12.57091168672948,10.348465773189677,1.2147609087423965,12.608152310051063,10.716437036615254,-2.469939015004746,1.742624817150273,0.45038167938931295
stellar_structure,bulge_dominated,13,181,15.744564934813456,12.30550257985143,1.279473538983529,18.217840286359166,13.638885397957042,-1.7567610754526286,-0.18844370704940766,0.46153846153846156
stellar_structure,disk_dominated,104,640,11.620944199260311,9.942288606424803,1.1688399582115072,11.734168622457304,10.201865780340142,-3.4368185712799617,2.587467043831553,0.46153846153846156
stellar_structure,mixed_disk_bulge,14,147,12.142280193565622,9.401265669081456,1.2915580328187848,12.507371460929484,11.345032412709882,0.8614739710986871,0.4421103804436274,0.35714285714285715
hubble_family,early_S0_to_Sb,26,308,13.791349283617643,10.725983983629979,1.2857887262060088,14.96862816418784,11.920122981351753,-2.6353279113897052,-1.5752334218224822,0.34615384615384615
hubble_family,late_Sd_to_BCD,61,324,9.467136913100306,8.132247767315997,1.1641476236311086,9.013484394504845,8.25811969006008,-4.9195988814435765,2.679916494303358,0.4426229508196721
hubble_family,spiral_Sbc_to_Scd,44,336,13.946099534129084,11.802215219863712,1.1816510099440578,15.10802661323371,12.783150631197268,0.04383948741414842,3.8801778951443486,0.5227272727272727
surface_brightness_family,high_surface_brightness,67,585,12.746673970255143,10.438316206930484,1.2211427319850718,13.156984819711159,10.879330663841696,-0.1786129434988751,2.3455745224624334,0.43283582089552236
surface_brightness_family,intermediate_surface_brightness,37,247,11.461277091133255,8.380517609365969,1.3676096901609354,10.30686468291366,8.175285488130749,-6.769647645748059,-0.32743198182986377,0.40540540540540543
surface_brightness_family,low_surface_brightness,27,136,13.686441855454182,12.883978870375662,1.0622837861775476,14.005023421155407,13.111050126064407,-4.516981074102805,2.908642844653802,0.5555555555555556
baryonic_mass_family,dwarf_mass,19,92,9.350152888002361,6.315121038797132,1.4805975737534438,8.997879059178585,6.501240774148452,-6.038483909868682,0.22853549132228917,0.3157894736842105
baryonic_mass_family,giant_mass,22,228,15.253785505864892,12.807628583496323,1.1909921814504085,15.527902620946627,13.113683441835976,4.672657322056645,2.8581880070750993,0.4090909090909091
baryonic_mass_family,intermediate_mass,90,648,11.907385641832299,9.828369033085178,1.2115322086247007,12.464019180910618,10.779578030280343,-4.476429500378997,1.5650751422634122,0.4888888888888889
gas_fraction_family,gas_poor,41,416,12.14004703410445,9.628359297758395,1.2608635239578987,12.73609220992076,10.623076567615664,1.0013530786243285,0.7705467888264834,0.43902439024390244
gas_fraction_family,gas_rich,50,275,11.222491736991879,8.624709022190821,1.301202360348289,10.225697220736347,8.776379243769965,-6.247336053581282,2.4492577693664415,0.44
gas_fraction_family,mixed_gas,40,277,14.348153441725072,12.695033357859206,1.1302178605810798,14.954687470613424,12.812321573180625,-3.9330196119041965,2.5009656038768084,0.475
inclination_family,edge_on,49,342,14.123309485737723,11.089940445730518,1.2735243759739947,14.379274031693106,11.620740344791148,-2.418356702079491,1.158824842424897,0.2857142857142857
inclination_family,intermediate_inclination,57,452,12.38712964176585,9.811257247583885,1.2625425395727237,11.683758759514417,9.755316459718815,-3.0454508655208765,1.4153823921339403,0.45614035087719296
inclination_family,moderate_inclination,25,174,9.407014760637784,10.197051105980648,0.9225230571925346,10.792564257290383,10.95954912132097,-1.076317144815931,3.740171756595451,0.76
outer_rotation_shape,approximately_flat,62,514,11.813118281256543,9.453497501504106,1.2496029410677907,12.16551193630631,10.195444144677785,-1.3569408134480727,1.80260892328851,0.46774193548387094
outer_rotation_shape,declining,22,192,12.965520130232662,12.922513334795692,1.0033280519294314,12.696319428515892,12.795779849961006,2.1538903487346226,4.7575972844188605,0.5454545454545454
outer_rotation_shape,rising,47,262,13.670920714098242,9.897573256677115,1.381239659416064,13.129613528246137,10.311615364677987,-8.041909676982185,-0.5844993976230964,0.3829787234042553
